,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-367096000.0,-306614000.0,-298932000.0,-206599000.0
Repurchase Of Capital Stock,,,,0.0
Repayment Of Debt,-1137528000.0,-849915000.0,-1037188000.0,-646451000.0
Issuance Of Debt,1347446000.0,1157319000.0,1346750000.0,931125000.0
Issuance Of Capital Stock,247900000.0,435066000.0,214501000.0,190529000.0
Capital Expenditure,-301300000.0,-217847000.0,-332322000.0,-220998000.0
Interest Paid Supplemental Data,78978000.0,50910000.0,14884000.0,28351000.0
End Cash Position,304226000.0,251077000.0,18518000.0,67675000.0
Beginning Cash Position,251077000.0,18518000.0,67675000.0,30724000.0
Changes In Cash,53149000.0,232559000.0,-49157000.0,36951000.0
Financing Cash Flow,420245000.0,544173000.0,249775000.0,406521000.0
Cash Flow From Continuing Financing Activities,420245000.0,544173000.0,249775000.0,406521000.0
Net Other Financing Charges,19531000.0,12764000.0,-158282000.0,2487000.0
Cash Dividends Paid,-57104000.0,-211061000.0,-116006000.0,-71169000.0
Common Stock Dividend Paid,,,,-133217000.0
Net Preferred Stock Issuance,247900000.0,,,
Preferred Stock Issuance,247900000.0,,,
Net Common Stock Issuance,0.0,435066000.0,214501000.0,190529000.0
Common Stock Payments,,,,0.0
Common Stock Issuance,0.0,435066000.0,214501000.0,190529000.0
Net Issuance Payments Of Debt,209918000.0,307404000.0,309562000.0,284674000.0
Net Short Term Debt Issuance,,-30000000.0,346000000.0,120000000.0
Short Term Debt Payments,,-810000000.0,-679000000.0,-635500000.0
Short Term Debt Issuance,,780000000.0,1025000000.0,755500000.0
Net Long Term Debt Issuance,209918000.0,337404000.0,-36438000.0,164674000.0
Long Term Debt Payments,-1137528000.0,-39915000.0,-358188000.0,-10951000.0
Long Term Debt Issuance,1347446000.0,377319000.0,321750000.0,175625000.0
Investing Cash Flow,-301300000.0,-222847000.0,-332322000.0,-383969000.0
Cash Flow From Continuing Investing Activities,-301300000.0,-222847000.0,-332322000.0,-383969000.0
Net Other Investing Changes,,,,328000.0
Net Business Purchase And Sale,0.0,-5000000.0,0.0,-163299000.0
Purchase Of Business,0.0,-5000000.0,0.0,-163299000.0
Net PPE Purchase And Sale,-301300000.0,-217847000.0,-332322000.0,-220998000.0
Purchase Of PPE,-301300000.0,-217847000.0,-332322000.0,-220998000.0
Operating Cash Flow,-65796000.0,-88767000.0,33390000.0,14399000.0
Cash Flow From Continuing Operating Activities,-65796000.0,-88767000.0,33390000.0,14399000.0
Change In Working Capital,108554000.0,-114183000.0,29302000.0,-18102000.0
Change In Other Working Capital,25084000.0,-3983000.0,-10116000.0,-4388000.0
Change In Other Current Liabilities,43203000.0,-17306000.0,-10111000.0,-9817000.0
Change In Payables And Accrued Expense,27960000.0,87427000.0,39116000.0,71174000.0
Change In Accrued Expense,11734000.0,7694000.0,-11241000.0,8630000.0
Change In Interest Payable,11734000.0,7694000.0,-11241000.0,8630000.0
Change In Payable,16226000.0,79733000.0,50357000.0,62544000.0
Change In Account Payable,16226000.0,79733000.0,50797000.0,62080000.0
Change In Prepaid Assets,-24931000.0,-25534000.0,1723000.0,-12892000.0
Change In Inventory,77585000.0,-91444000.0,-15398000.0,-1903000.0
Change In Receivables,-40347000.0,-63343000.0,24088000.0,-60276000.0
Changes In Account Receivables,,,24088000.0,-60235000.0
Other Non Cash Items,81909000.0,12077000.0,764000.0,2506000.0
Stock Based Compensation,44431000.0,54148000.0,55924000.0,39528000.0
Asset Impairment Charge,196629000.0,,,
Deferred Tax,-231000.0,2074000.0,-21629000.0,336000.0
Deferred Income Tax,-231000.0,2074000.0,-21629000.0,336000.0
Depreciation Amortization Depletion,166112000.0,113177000.0,92919000.0,82436000.0
Depreciation And Amortization,166112000.0,113177000.0,92919000.0,82436000.0
Operating Gains Losses,22610000.0,12308000.0,21381000.0,14019000.0
Gain Loss On Investment Securities,6279000.0,3935000.0,1829000.0,5294000.0
Net Foreign Currency Exchange Gain Loss,928000.0,-234000.0,22000.0,10000.0
Net Income From Continuing Operations,-685810000.0,-168368000.0,-145271000.0,-106324000.0
