,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-14173.955897,-1807470.0,-2043327.724566,-2353050.0
Tax Rate For Calcs,6.1e-05,0.21,0.104625,0.27
Normalized EBITDA,-106295000.0,27495000.0,6700000.0,30992000.0
Total Unusual Items,-231458000.0,-8607000.0,-19530000.0,-8715000.0
Total Unusual Items Excluding Goodwill,-231458000.0,-8607000.0,-19530000.0,-8715000.0
Net Income From Continuing Operation Net Minority Interest,-685994000.0,-168307000.0,-122069000.0,-86290000.0
Reconciled Depreciation,166112000.0,113177000.0,92919000.0,82436000.0
Reconciled Cost Of Revenue,1363557000.0,1040630000.0,953669000.0,797140000.0
EBITDA,-337753000.0,18888000.0,-12830000.0,22277000.0
EBIT,-503865000.0,-94289000.0,-105749000.0,-60159000.0
Net Interest Income,-181987000.0,-71585000.0,-56497000.0,-45996000.0
Interest Expense,181987000.0,71585000.0,56497000.0,45996000.0
Normalized Income,-454550173.955897,-161507470.0,-104582327.724566,-79928050.0
Net Income From Continuing And Discontinued Operation,-685994000.0,-168307000.0,-122069000.0,-86290000.0
Total Expenses,1480736000.0,1181156000.0,1128777000.0,926677000.0
Total Operating Income As Reported,-507870000.0,-95487000.0,-97252000.0,-60430000.0
Diluted Average Shares,,66966092.0,61137744.0,36813000.0
Basic Average Shares,,66966092.0,61137744.0,36813000.0
Diluted EPS,,-2.514228,-2.376126,-0.36
Basic EPS,,-2.514228,-2.376126,-0.36
Diluted NI Availto Com Stockholders,-686848000.0,-171777000.0,-122069000.0,-86290000.0
Net Income Common Stockholders,-686848000.0,-171777000.0,-122069000.0,-86290000.0
Otherunder Preferred Stock Dividend,854000.0,3470000.0,,
Preferred Stock Dividends,,,,26917000.0
Net Income,-685994000.0,-168307000.0,-122069000.0,-86290000.0
Minority Interests,-184000.0,61000.0,23202000.0,20034000.0
Net Income Including Noncontrolling Interests,-685810000.0,-168368000.0,-145271000.0,-106324000.0
Net Income Continuous Operations,-685810000.0,-168368000.0,-145271000.0,-106324000.0
Tax Provision,-42000.0,2494000.0,-16975000.0,169000.0
Pretax Income,-685852000.0,-165874000.0,-162246000.0,-106155000.0
Other Income Expense,-227453000.0,-7409000.0,-18650000.0,-8444000.0
Other Non Operating Income Expenses,4005000.0,1198000.0,880000.0,271000.0
Special Income Charges,-231458000.0,-8607000.0,-19530000.0,-8715000.0
Gain On Sale Of Ppe,-15067000.0,-8607000.0,-10153000.0,-8715000.0
Other Special Charges,,,9377000.0,
Write Off,26471000.0,,,
Impairment Of Capital Assets,170294000.0,,,
Restructuring And Mergern Acquisition,19626000.0,,,
Net Non Operating Interest Income Expense,-181987000.0,-71585000.0,-56497000.0,-45996000.0
Interest Expense Non Operating,181987000.0,71585000.0,56497000.0,45996000.0
Operating Income,-276412000.0,-86880000.0,-87099000.0,-51715000.0
Operating Expense,117179000.0,140526000.0,175108000.0,129537000.0
Other Operating Expenses,,20813000.0,,
Selling General And Administration,117179000.0,119713000.0,175108000.0,129537000.0
General And Administrative Expense,,,,45345000.0
Other Gand A,,,,45345000.0
Gross Profit,-159233000.0,53646000.0,88009000.0,77822000.0
Cost Of Revenue,1363557000.0,1040630000.0,953669000.0,797140000.0
Total Revenue,1204324000.0,1094276000.0,1041678000.0,874962000.0
Operating Revenue,1217725000.0,1094276000.0,1041678000.0,874962000.0
