,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,106847475.0,106609094.0,106332315.0,105980466.0
Share Issued,106847475.0,106609094.0,106332315.0,105980466.0
Total Debt,624389000.0,234131000.0,398594000.0,482271000.0
Tangible Book Value,6593271000.0,5790487000.0,5899580000.0,5450328000.0
Invested Capital,7247775000.0,6020404000.0,6199452000.0,5800159000.0
Working Capital,3328651000.0,2753373000.0,2464365000.0,2167137000.0
Net Tangible Assets,6593271000.0,5790487000.0,5899580000.0,5450328000.0
Capital Lease Obligations,64083000.0,49782000.0,158693000.0,203040000.0
Common Stock Equity,6687469000.0,5836055000.0,5959551000.0,5520928000.0
Total Capitalization,7151537000.0,6020404000.0,6195556000.0,5758619000.0
Total Equity Gross Minority Interest,6687469000.0,5836055000.0,5959551000.0,5520928000.0
Stockholders Equity,6687469000.0,5836055000.0,5959551000.0,5520928000.0
Gains Losses Not Affecting Retained Earnings,-174131000.0,-191817000.0,-96362000.0,-61726000.0
Other Equity Adjustments,-174131000.0,-191817000.0,-96362000.0,-61726000.0
Retained Earnings,3971066000.0,3140289000.0,3184455000.0,2715762000.0
Additional Paid In Capital,2890427000.0,2887476000.0,2871352000.0,2866786000.0
Capital Stock,107000.0,107000.0,106000.0,106000.0
Common Stock,107000.0,107000.0,106000.0,106000.0
Total Liabilities Net Minority Interest,3677663000.0,2415173000.0,1454195000.0,1588003000.0
Total Non Current Liabilities Net Minority Interest,2371505000.0,1377125000.0,727317000.0,740605000.0
Other Non Current Liabilities,44783000.0,37135000.0,43658000.0,41784000.0
Derivative Product Liabilities,,,,341000.0
Non Current Accrued Expenses,135123000.0,128114000.0,178100000.0,203506000.0
Tradeand Other Payables Non Current,39431000.0,13284000.0,,6515000.0
Non Current Deferred Liabilities,1634375000.0,973654000.0,123642000.0,68590000.0
Non Current Deferred Revenue,1591604000.0,944725000.0,95943000.0,44919000.0
Non Current Deferred Taxes Liabilities,42771000.0,28929000.0,27699000.0,23671000.0
