,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-784515000.0,-30236000.0,-302732000.0,-379515000.0
Repayment Of Debt,0.0,-75896000.0,-72676000.0,-225344000.0
Issuance Of Debt,367983000.0,397380000.0,129215000.0,156679000.0
Capital Expenditure,-1386775000.0,-903605000.0,-540291000.0,-416635000.0
End Cash Position,1965069000.0,1493462000.0,1455837000.0,1273594000.0
Beginning Cash Position,1493462000.0,1455837000.0,1273594000.0,1446510000.0
Effect Of Exchange Rate Changes,5285000.0,47438000.0,3174000.0,3778000.0
Changes In Cash,466322000.0,-9813000.0,179069000.0,-176694000.0
Financing Cash Flow,336853000.0,309392000.0,40550000.0,-82587000.0
Cash Flow From Continuing Financing Activities,336853000.0,309392000.0,40550000.0,-82587000.0
Net Other Financing Charges,-31130000.0,-12092000.0,-15989000.0,-13922000.0
Net Issuance Payments Of Debt,367983000.0,321484000.0,56539000.0,-68665000.0
Net Long Term Debt Issuance,367983000.0,321484000.0,56539000.0,-68665000.0
Long Term Debt Payments,0.0,-75896000.0,-72676000.0,-225344000.0
Long Term Debt Issuance,367983000.0,397380000.0,129215000.0,156679000.0
Investing Cash Flow,-472791000.0,-1192574000.0,-99040000.0,-131227000.0
Cash Flow From Continuing Investing Activities,-472791000.0,-1192574000.0,-99040000.0,-131227000.0
Net Other Investing Changes,-9046000.0,-3050000.0,-6707000.0,-5500000.0
Net Investment Purchase And Sale,951089000.0,-728221000.0,147459000.0,290908000.0
Sale Of Investment,4563890000.0,2646787000.0,2294595000.0,1192832000.0
Purchase Of Investment,-3612801000.0,-3375008000.0,-2147136000.0,-901924000.0
Net Business Purchase And Sale,-28059000.0,442302000.0,300499000.0,0.0
Sale Of Business,7680000.0,442302000.0,300499000.0,0.0
Purchase Of Business,-35739000.0,0.0,0.0,
Net PPE Purchase And Sale,-1386775000.0,-903605000.0,-540291000.0,-416635000.0
Purchase Of PPE,-1386775000.0,-903605000.0,-540291000.0,-416635000.0
Operating Cash Flow,602260000.0,873369000.0,237559000.0,37120000.0
Cash Flow From Continuing Operating Activities,602260000.0,873369000.0,237559000.0,37120000.0
Dividend Received Cfo,,,,0.0
Change In Working Capital,-526664000.0,998638000.0,-336705000.0,-562452000.0
Change In Other Working Capital,791863000.0,956538000.0,34000000.0,-334715000.0
Change In Other Current Liabilities,-13114000.0,-11948000.0,-139817000.0,-391710000.0
Change In Other Current Assets,-215707000.0,-86938000.0,-46540000.0,73802000.0
Change In Payables And Accrued Expense,79328000.0,5569000.0,48968000.0,-109583000.0
Change In Accrued Expense,,,-78706000.0,-615292000.0
Change In Payable,,,34919000.0,-43285000.0
Change In Account Payable,,,34919000.0,-43285000.0
Change In Prepaid Assets,,,,-992000.0
Change In Inventory,-205106000.0,16693000.0,-136365000.0,-145396000.0
Change In Receivables,-963928000.0,118724000.0,-96951000.0,345150000.0
Changes In Account Receivables,-304183000.0,118724000.0,-96951000.0,345150000.0
Other Non Cash Items,22053000.0,-146310000.0,-88974000.0,-117448000.0
Stock Based Compensation,34219000.0,28656000.0,20902000.0,29267000.0
Asset Impairment Charge,1568000.0,63338000.0,22876000.0,35806000.0
Deferred Tax,-60813000.0,-12799000.0,49847000.0,36013000.0
Deferred Income Tax,-60813000.0,-12799000.0,49847000.0,36013000.0
Depreciation Amortization Depletion,307994000.0,269724000.0,259900000.0,232925000.0
Depreciation And Amortization,307994000.0,269724000.0,259900000.0,232925000.0
Depreciation,307994000.0,269724000.0,259900000.0,232925000.0
Operating Gains Losses,-6874000.0,-283712000.0,-158980000.0,-15346000.0
Earnings Losses From Equity Investments,,,,2129000.0
Gain Loss On Investment Securities,9000.0,,-11696000.0,-15346000.0
Gain Loss On Sale Of Business,-6883000.0,-253511000.0,-147284000.0,0.0
Net Income From Continuing Operations,830777000.0,-44166000.0,468693000.0,398355000.0
