,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-3416320.0,49790370.0,25214929.0,-2940300.0
Tax Rate For Calcs,0.068,0.21,0.181,0.27
Normalized EBITDA,1262489000.0,53450000.0,705860000.0,561041000.0
Total Unusual Items,-50240000.0,237097000.0,139309000.0,-10890000.0
Total Unusual Items Excluding Goodwill,-50240000.0,237097000.0,139309000.0,-10890000.0
Net Income From Continuing Operation Net Minority Interest,830777000.0,-44166000.0,468693000.0,398355000.0
Reconciled Depreciation,307994000.0,269724000.0,259900000.0,232925000.0
Reconciled Cost Of Revenue,2017923000.0,2549461000.0,2193423000.0,2030659000.0
EBITDA,1212249000.0,290547000.0,845169000.0,550151000.0
EBIT,904255000.0,20823000.0,585269000.0,317226000.0
Net Interest Income,84702000.0,21059000.0,-6928000.0,-7477000.0
Interest Expense,12965000.0,12225000.0,13107000.0,24036000.0
Interest Income,97667000.0,33284000.0,6179000.0,16559000.0
Normalized Income,877600680.0,-231472630.0,354598929.0,406304700.0
Net Income From Continuing And Discontinued Operation,830777000.0,-44166000.0,468693000.0,398355000.0
Total Expenses,2432629000.0,2900066000.0,2483910000.0,2387843000.0
Total Operating Income As Reported,857266000.0,-27236000.0,586751000.0,317489000.0
Diluted Average Shares,107372000.0,106551000.0,106924000.0,106686000.0
Basic Average Shares,106795000.0,106551000.0,106263000.0,105867000.0
Diluted EPS,7.74,-0.41,4.38,3.73
Basic EPS,7.78,-0.41,4.41,3.76
Diluted NI Availto Com Stockholders,830777000.0,-44166000.0,468693000.0,398355000.0
Net Income Common Stockholders,830777000.0,-44166000.0,468693000.0,398355000.0
Net Income,830777000.0,-44166000.0,468693000.0,398355000.0
Net Income Including Noncontrolling Interests,830777000.0,-44166000.0,468693000.0,398355000.0
Net Income Continuous Operations,830777000.0,-44166000.0,468693000.0,398355000.0
Earnings From Equity Interest Net Of Tax,,0.0,0.0,-2129000.0
Tax Provision,60513000.0,52764000.0,103469000.0,-107294000.0
Pretax Income,891290000.0,8598000.0,572162000.0,293190000.0
Other Income Expense,-79385000.0,268286000.0,139623000.0,-22822000.0
Other Non Operating Income Expenses,-29145000.0,31189000.0,314000.0,-11932000.0
Special Income Charges,-28707000.0,253511000.0,147284000.0,-6000000.0
Gain On Sale Of Business,6883000.0,253511000.0,147284000.0,0.0
Other Special Charges,35590000.0,,,6000000.0
Gain On Sale Of Security,-21533000.0,-16414000.0,-7975000.0,-4890000.0
Net Non Operating Interest Income Expense,84702000.0,21059000.0,-6928000.0,-7477000.0
Interest Expense Non Operating,12965000.0,12225000.0,13107000.0,24036000.0
Interest Income Non Operating,97667000.0,33284000.0,6179000.0,16559000.0
Operating Income,885973000.0,-280747000.0,439467000.0,323489000.0
Operating Expense,414706000.0,350605000.0,290487000.0,357184000.0
Other Operating Expenses,64777000.0,73077000.0,21052000.0,40528000.0
Research And Development,152307000.0,112804000.0,99115000.0,93738000.0
Selling General And Administration,197622000.0,164724000.0,170320000.0,222918000.0
Gross Profit,1300679000.0,69858000.0,729954000.0,680673000.0
Cost Of Revenue,2017923000.0,2549461000.0,2193423000.0,2030659000.0
Total Revenue,3318602000.0,2619319000.0,2923377000.0,2711332000.0
Operating Revenue,3318602000.0,2619319000.0,2923377000.0,2711332000.0
