,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3678000000.0,4327000000.0,5255000000.0,2368000000.0,
Repurchase Of Capital Stock,-5827000000.0,-7028000000.0,-1192000000.0,-107000000.0,
Repayment Of Debt,-788000000.0,-3282000000.0,-11088000000.0,-36510000000.0,
Issuance Of Debt,0.0,0.0,0.0,359000000.0,
Capital Expenditure,-1032000000.0,-862000000.0,-662000000.0,-1113000000.0,
Interest Paid Supplemental Data,969000000.0,1067000000.0,1561000000.0,2536000000.0,
End Cash Position,14553000000.0,15993000000.0,14223000000.0,15527000000.0,
Beginning Cash Position,19755000000.0,19092000000.0,16859000000.0,37608000000.0,
Effect Of Exchange Rate Changes,-193000000.0,120000000.0,-369000000.0,-213000000.0,
Changes In Cash,-5009000000.0,-3219000000.0,-2267000000.0,-21868000000.0,
Cash Flow From Discontinued Operation,-1327000000.0,-3762000000.0,-4868000000.0,-1332000000.0,
Financing Cash Flow,-6726000000.0,-8613000000.0,-5585000000.0,-45397000000.0,
Cash From Discontinued Financing Activities,-98000000.0,1899000000.0,7955000000.0,-140000000.0,
Cash Flow From Continuing Financing Activities,-6628000000.0,-10511000000.0,-13540000000.0,-45256000000.0,
Net Other Financing Charges,993000000.0,458000000.0,-663000000.0,-7720000000.0,
Cash Dividends Paid,-1008000000.0,-589000000.0,-639000000.0,-575000000.0,
Common Stock Dividend Paid,,,,,-648000000.0
Net Preferred Stock Issuance,0.0,-5795000000.0,-144000000.0,0.0,
Preferred Stock Payments,0.0,-5795000000.0,-144000000.0,0.0,
Net Common Stock Issuance,-5827000000.0,-1233000000.0,-1048000000.0,-107000000.0,
Common Stock Payments,-5827000000.0,-1233000000.0,-1048000000.0,-107000000.0,
Net Issuance Payments Of Debt,-786000000.0,-3353000000.0,-11046000000.0,-36855000000.0,
Net Short Term Debt Issuance,2000000.0,-71000000.0,42000000.0,-704000000.0,
Net Long Term Debt Issuance,-788000000.0,-3282000000.0,-11088000000.0,-36151000000.0,
Long Term Debt Payments,-788000000.0,-3282000000.0,-11088000000.0,-36510000000.0,
Long Term Debt Issuance,0.0,0.0,0.0,359000000.0,
Investing Cash Flow,-1666000000.0,3967000000.0,2270000000.0,21379000000.0,
Cash From Discontinued Investing Activities,-1110000000.0,-3726000000.0,-8099000000.0,17913000000.0,
Cash Flow From Continuing Investing Activities,-556000000.0,7694000000.0,10370000000.0,3465000000.0,
Net Other Investing Changes,-4289000000.0,518000000.0,7052000000.0,1642000000.0,
Net Investment Purchase And Sale,-963000000.0,-986000000.0,-876000000.0,-1290000000.0,
Net Business Purchase And Sale,5614000000.0,8963000000.0,4702000000.0,4076000000.0,
Sale Of Business,5749000000.0,9004000000.0,4732000000.0,4145000000.0,
Purchase Of Business,-135000000.0,-41000000.0,-30000000.0,-69000000.0,
Net Intangibles Purchase And Sale,,,-113000000.0,-111000000.0,-151000000.0
Purchase Of Intangibles,,,-113000000.0,-111000000.0,-151000000.0
Net PPE Purchase And Sale,-918000000.0,-802000000.0,-509000000.0,-962000000.0,
Sale Of PPE,114000000.0,60000000.0,153000000.0,151000000.0,
Purchase Of PPE,-1032000000.0,-862000000.0,-662000000.0,-1113000000.0,
Operating Cash Flow,4710000000.0,5189000000.0,5917000000.0,3481000000.0,
Cash From Discontinued Operating Activities,-1107000000.0,580000000.0,1889000000.0,4332000000.0,
Cash Flow From Continuing Operating Activities,5817000000.0,4609000000.0,4027000000.0,-850000000.0,
Taxes Refund Paid,-334000000.0,-1041000000.0,-547000000.0,-373000000.0,
Change In Working Capital,-697000000.0,420000000.0,1129000000.0,-278000000.0,
Change In Other Working Capital,1331000000.0,1265000000.0,2309000000.0,-1113000000.0,
Change In Payables And Accrued Expense,688000000.0,713000000.0,1639000000.0,-390000000.0,
Change In Payable,688000000.0,713000000.0,1639000000.0,-390000000.0,
Change In Account Payable,688000000.0,713000000.0,1639000000.0,,
Change In Inventory,-1528000000.0,-1321000000.0,-980000000.0,-306000000.0,
Change In Receivables,-1188000000.0,-237000000.0,-1839000000.0,1531000000.0,
Changes In Account Receivables,-1076000000.0,-210000000.0,-1875000000.0,524000000.0,
Other Non Cash Items,-535000000.0,558000000.0,247000000.0,-1479000000.0,
Asset Impairment Charge,251000000.0,0.0,0.0,0.0,
Deferred Tax,962000000.0,994000000.0,169000000.0,-757000000.0,
Deferred Income Tax,962000000.0,994000000.0,169000000.0,-757000000.0,
Depreciation Amortization Depletion,1184000000.0,1179000000.0,1184000000.0,2360000000.0,
Depreciation And Amortization,1184000000.0,1179000000.0,1184000000.0,2360000000.0,
Amortization Cash Flow,350000000.0,382000000.0,338000000.0,738000000.0,
Amortization Of Intangibles,350000000.0,382000000.0,338000000.0,738000000.0,
Depreciation,834000000.0,797000000.0,846000000.0,1622000000.0,
Operating Gains Losses,-1671000000.0,-6949000000.0,494000000.0,4615000000.0,
Pension And Employee Benefit Expense,-952000000.0,-1103000000.0,-27000000.0,866000000.0,
Gain Loss On Investment Securities,-719000000.0,-5846000000.0,56000000.0,-1143000000.0,
Gain Loss On Sale Of Business,,-5842000000.0,113000000.0,-1632000000.0,-12526000000.0
Net Income From Continuing Operations,6657000000.0,9448000000.0,1352000000.0,-4939000000.0,
