,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-43470000.0,449445000.0,-168831000.0,-384306000.0,
Tax Rate For Calcs,0.126,0.095,0.111,0.078,
Normalized EBITDA,10135000000.0,7918000000.0,5566000000.0,3382000000.0,
Total Unusual Items,-345000000.0,4731000000.0,-1521000000.0,-4927000000.0,
Total Unusual Items Excluding Goodwill,-345000000.0,4731000000.0,-1521000000.0,-4927000000.0,
Net Income From Continuing Operation Net Minority Interest,6647000000.0,9485000000.0,1285000000.0,-4868000000.0,
Reconciled Depreciation,1184000000.0,1179000000.0,1184000000.0,2360000000.0,
Reconciled Cost Of Revenue,24308000000.0,22939000000.0,18987000000.0,43378000000.0,
EBITDA,9790000000.0,12649000000.0,4045000000.0,-1545000000.0,
EBIT,8606000000.0,11470000000.0,2861000000.0,-3905000000.0,
Net Interest Income,-173000000.0,-392000000.0,-873000000.0,-1205000000.0,
Interest Expense,986000000.0,1029000000.0,1339000000.0,1790000000.0,
Interest Income,813000000.0,637000000.0,466000000.0,585000000.0,
Normalized Income,6948530000.0,5203445000.0,2637169000.0,-325306000.0,
Net Income From Continuing And Discontinued Operation,6556000000.0,9482000000.0,336000000.0,-6337000000.0,
Total Expenses,31941000000.0,30631000000.0,25543000000.0,55411000000.0,
Diluted Average Shares,1094000000.0,1099000000.0,1101000000.0,1098000000.0,
Basic Average Shares,1085000000.0,1089000000.0,1096000000.0,1098000000.0,
Diluted EPS,5.99,8.36,0.05,-6.16,
Basic EPS,6.04,8.44,0.05,-6.16,
Diluted NI Availto Com Stockholders,6556000000.0,9188000000.0,48000000.0,-6573000000.0,
Net Income Common Stockholders,6556000000.0,9188000000.0,48000000.0,-6573000000.0,
Preferred Stock Dividends,,295000000.0,289000000.0,237000000.0,474000000.0
Net Income,6556000000.0,9482000000.0,336000000.0,-6337000000.0,
Minority Interests,-11000000.0,37000000.0,-67000000.0,71000000.0,
Net Income Including Noncontrolling Interests,6566000000.0,9445000000.0,403000000.0,-6408000000.0,
Net Income Discontinuous Operations,-91000000.0,-3000000.0,-949000000.0,-1469000000.0,
Net Income Continuous Operations,6657000000.0,9448000000.0,1353000000.0,-4939000000.0,
Tax Provision,962000000.0,994000000.0,169000000.0,-757000000.0,
Pretax Income,7620000000.0,10441000000.0,1522000000.0,-5695000000.0,
Other Income Expense,1031000000.0,6118000000.0,-1202000000.0,-5549000000.0,
Other Non Operating Income Expenses,1203000000.0,1218000000.0,249000000.0,-499000000.0,
Special Income Charges,-345000000.0,4721000000.0,-2433000000.0,-4927000000.0,
Gain On Sale Of Business,917000000.0,5663000000.0,-827000000.0,1597000000.0,
Other Special Charges,,,465000000.0,6524000000.0,301000000.0
Impairment Of Capital Assets,251000000.0,0.0,0.0,0.0,
Restructuring And Mergern Acquisition,1011000000.0,942000000.0,1141000000.0,0.0,
Earnings From Equity Interest,173000000.0,169000000.0,70000000.0,-123000000.0,
Gain On Sale Of Security,,10000000.0,912000000.0,1649000000.0,
Net Non Operating Interest Income Expense,-173000000.0,-392000000.0,-873000000.0,-1205000000.0,
Interest Expense Non Operating,986000000.0,1029000000.0,1339000000.0,1790000000.0,
Interest Income Non Operating,813000000.0,637000000.0,466000000.0,585000000.0,
Operating Income,6761000000.0,4717000000.0,3596000000.0,1058000000.0,
Operating Expense,7633000000.0,7692000000.0,6556000000.0,12033000000.0,
Research And Development,1286000000.0,1011000000.0,808000000.0,1682000000.0,
Selling General And Administration,6347000000.0,6681000000.0,5748000000.0,10351000000.0,
General And Administrative Expense,6347000000.0,6681000000.0,5748000000.0,10351000000.0,
Other Gand A,3918000000.0,3795000000.0,3156000000.0,8177000000.0,
Insurance And Claims,2429000000.0,2886000000.0,2592000000.0,2174000000.0,
Gross Profit,14394000000.0,12409000000.0,10152000000.0,13091000000.0,
Cost Of Revenue,24308000000.0,22939000000.0,18987000000.0,43378000000.0,
Total Revenue,38702000000.0,35348000000.0,29139000000.0,56469000000.0,
Operating Revenue,38702000000.0,35348000000.0,29139000000.0,56469000000.0,
