,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,2805059.0,2805059.0,2805059.0,8244456.0,
Ordinary Shares Number,64707223.0,59521563.0,59295496.0,53595978.0,
Share Issued,67512282.0,62326622.0,62100555.0,61840434.0,
Net Debt,402366000.0,250149000.0,190098000.0,296489000.0,
Total Debt,649308000.0,676510000.0,710995000.0,789318000.0,
Tangible Book Value,865215000.0,843733000.0,910031000.0,950500000.0,
Invested Capital,1440622000.0,1443456000.0,1544790000.0,1673209000.0,
Working Capital,183345000.0,347768000.0,441828000.0,645945000.0,
Net Tangible Assets,865215000.0,843733000.0,910031000.0,950500000.0,
Capital Lease Obligations,73901000.0,76787000.0,76236000.0,66609000.0,
Common Stock Equity,865215000.0,843733000.0,910031000.0,950500000.0,
Total Capitalization,1297675000.0,1335651000.0,1405274000.0,1464506000.0,
Total Equity Gross Minority Interest,874537000.0,990056000.0,1061066000.0,1102019000.0,
Minority Interest,9322000.0,146323000.0,151035000.0,151519000.0,
Stockholders Equity,865215000.0,843733000.0,910031000.0,950500000.0,
Gains Losses Not Affecting Retained Earnings,973000.0,-3160000.0,-26591000.0,-12310000.0,
Other Equity Adjustments,973000.0,-3160000.0,-26591000.0,-12310000.0,
Treasury Stock,31174000.0,31174000.0,31174000.0,91626000.0,
Retained Earnings,-318298000.0,-235801000.0,-142417000.0,-15199000.0,
Additional Paid In Capital,1213646000.0,1113806000.0,1110151000.0,1069573000.0,
Capital Stock,68000.0,62000.0,62000.0,62000.0,
Common Stock,68000.0,62000.0,62000.0,62000.0,
Total Liabilities Net Minority Interest,907637000.0,949266000.0,1062065000.0,1057736000.0,
Total Non Current Liabilities Net Minority Interest,521950000.0,564304000.0,575143000.0,585932000.0,
Other Non Current Liabilities,40300000.0,18507000.0,24385000.0,22131000.0,
Long Term Debt And Capital Lease Obligation,481650000.0,545797000.0,550758000.0,563801000.0,
Long Term Capital Lease Obligation,49190000.0,53879000.0,55515000.0,49795000.0,
Long Term Debt,432460000.0,491918000.0,495243000.0,514006000.0,
Current Liabilities,385687000.0,384962000.0,486922000.0,471804000.0,
Other Current Liabilities,9500000.0,10577000.0,47941000.0,43244000.0,
Current Debt And Capital Lease Obligation,167658000.0,130713000.0,160237000.0,225517000.0,
Current Capital Lease Obligation,24711000.0,22908000.0,20721000.0,16814000.0,
Current Debt,142947000.0,107805000.0,139516000.0,208703000.0,
Other Current Borrowings,142947000.0,107805000.0,139516000.0,208703000.0,
Line Of Credit,,,,,117951000.0
Current Notes Payable,,,,,1175000.0
Payables And Accrued Expenses,208529000.0,243672000.0,278744000.0,203043000.0,
Current Accrued Expenses,53712000.0,57029000.0,44443000.0,56980000.0,
Payables,154817000.0,186643000.0,234301000.0,146063000.0,
Accounts Payable,154817000.0,186643000.0,234301000.0,146063000.0,
Total Assets,1782174000.0,1939322000.0,2123131000.0,2159755000.0,
Total Non Current Assets,1213142000.0,1206592000.0,1194381000.0,1042006000.0,
Other Non Current Assets,98521000.0,110671000.0,91810000.0,84447000.0,
Investments And Advances,,,,,3994000.0
Long Term Equity Investment,,,,,3994000.0
Net PPE,1114621000.0,1095921000.0,1102571000.0,957559000.0,
Accumulated Depreciation,-749593000.0,-686077000.0,-632298000.0,-567027000.0,
Gross PPE,1864214000.0,1781998000.0,1734869000.0,1524586000.0,
Leases,27516000.0,31551000.0,29074000.0,27609000.0,
Construction In Progress,174151000.0,115243000.0,207366000.0,111745000.0,
Other Properties,104298000.0,106745000.0,106380000.0,97013000.0,
Machinery Furniture Equipment,1232046000.0,1202791000.0,1114714000.0,1024103000.0,
Buildings And Improvements,218660000.0,218269000.0,186391000.0,180713000.0,
Land And Improvements,107543000.0,107399000.0,90944000.0,83403000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,569032000.0,732730000.0,928750000.0,1117749000.0,
Other Current Assets,27138000.0,23940000.0,19837000.0,16483000.0,
Hedging Assets Current,10154000.0,19772000.0,19791000.0,26738000.0,
Restricted Cash,36354000.0,29188000.0,55615000.0,134739000.0,
Prepaid Assets,,,,16483000.0,16531000.0
Inventory,227444000.0,215810000.0,278950000.0,267838000.0,
Finished Goods,121363000.0,119873000.0,159604000.0,163768000.0,
Work In Process,13569000.0,14454000.0,18499000.0,19783000.0,
Raw Materials,92512000.0,81483000.0,100847000.0,84287000.0,
Receivables,94901000.0,94446000.0,109896000.0,120872000.0,
Taxes Receivable,,822000.0,1286000.0,911000.0,661000.0
Accounts Receivable,94901000.0,94446000.0,108610000.0,119961000.0,
Allowance For Doubtful Accounts Receivable,-80000.0,-85000.0,-429000.0,-682000.0,
Gross Accounts Receivable,94981000.0,94531000.0,109039000.0,120643000.0,
Cash Cash Equivalents And Short Term Investments,173041000.0,349574000.0,444661000.0,551079000.0,
Other Short Term Investments,,,0.0,124859000.0,0.0
Cash And Cash Equivalents,173041000.0,349574000.0,444661000.0,426220000.0,
