,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,6451830.0,359124.033079,0.0,7992270.0,
Tax Rate For Calcs,0.21,0.06821,0.21,0.27,
Normalized EBITDA,21661000.0,48333000.0,26639000.0,86494000.0,
Total Unusual Items,30723000.0,5265000.0,0.0,29601000.0,
Total Unusual Items Excluding Goodwill,30723000.0,5265000.0,0.0,29601000.0,
Net Income From Continuing Operation Net Minority Interest,-82497000.0,-93384000.0,-127218000.0,-65992000.0,
Reconciled Depreciation,90587000.0,98244000.0,92698000.0,91952000.0,
Reconciled Cost Of Revenue,2328346000.0,3130992000.0,3550169000.0,2625109000.0,
EBITDA,52384000.0,53598000.0,26639000.0,116095000.0,
EBIT,-38203000.0,-44646000.0,-66059000.0,24143000.0,
Net Interest Income,-25535000.0,-25996000.0,-27365000.0,-66569000.0,
Interest Expense,33095000.0,37703000.0,32642000.0,67144000.0,
Interest Income,7560000.0,11707000.0,5277000.0,575000.0,
Normalized Income,-106768170.0,-98289875.966921,-127218000.0,-87600730.0,
Net Income From Continuing And Discontinued Operation,-82497000.0,-93384000.0,-127218000.0,-65992000.0,
Total Expenses,2536978000.0,3362586000.0,3761797000.0,2831261000.0,
Total Operating Income As Reported,-47459000.0,-61578000.0,-98948000.0,25508000.0,
Diluted Average Shares,63796000.0,58814000.0,55541000.0,46652000.0,
Basic Average Shares,63796000.0,58814000.0,55541000.0,46652000.0,
Diluted EPS,-1.29,-1.59,-2.29,-1.41,
Basic EPS,-1.29,-1.59,-2.29,-1.41,
Diluted NI Availto Com Stockholders,-82497000.0,-93384000.0,-127218000.0,-65992000.0,
Net Income Common Stockholders,-82497000.0,-93384000.0,-127218000.0,-65992000.0,
Net Income,-82497000.0,-93384000.0,-127218000.0,-65992000.0,
Minority Interests,-1308000.0,-17085000.0,-23841000.0,-21846000.0,
Net Income Including Noncontrolling Interests,-81189000.0,-76299000.0,-103377000.0,-44146000.0,
Net Income Discontinuous Operations,,,,0.0,0.0
Net Income Continuous Operations,-81189000.0,-76299000.0,-103377000.0,-44146000.0,
Earnings From Equity Interest Net Of Tax,-3679000.0,433000.0,71000.0,700000.0,
Tax Provision,6212000.0,-5617000.0,4747000.0,1845000.0,
Pretax Income,-71298000.0,-82349000.0,-98701000.0,-43001000.0,
Other Income Expense,32419000.0,10490000.0,27612000.0,27661000.0,
Other Non Operating Income Expenses,1696000.0,5225000.0,27612000.0,-1940000.0,
Special Income Charges,30723000.0,5265000.0,0.0,29601000.0,
Gain On Sale Of Ppe,30723000.0,5265000.0,0.0,29601000.0,
Impairment Of Capital Assets,,,0.0,0.0,24091000.0
Net Non Operating Interest Income Expense,-25535000.0,-25996000.0,-27365000.0,-66569000.0,
Interest Expense Non Operating,33095000.0,37703000.0,32642000.0,67144000.0,
Interest Income Non Operating,7560000.0,11707000.0,5277000.0,575000.0,
Operating Income,-78182000.0,-66843000.0,-98948000.0,-4093000.0,
Operating Expense,208632000.0,231594000.0,211628000.0,206152000.0,
Other Operating Expenses,,27154000.0,25158000.0,23061000.0,26125000.0
Depreciation Amortization Depletion Income Statement,90587000.0,98244000.0,92698000.0,91952000.0,
Depreciation And Amortization In Income Statement,90587000.0,98244000.0,92698000.0,91952000.0,
Selling General And Administration,118045000.0,133350000.0,118930000.0,91139000.0,
Gross Profit,130450000.0,164751000.0,112680000.0,202059000.0,
Cost Of Revenue,2328346000.0,3130992000.0,3550169000.0,2625109000.0,
Total Revenue,2458796000.0,3295743000.0,3662849000.0,2827168000.0,
Operating Revenue,2458796000.0,3295743000.0,3662849000.0,2827168000.0,
