,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,130924070.0,179712558.0,189280186.0,195566412.0
Ordinary Shares Number,6219353930.0,6182381442.0,6248282814.0,6154494588.0
Share Issued,6350278000.0,6362094000.0,6437563000.0,6350061000.0
Net Debt,56035000000.0,43372000000.0,37823000000.0,35023000000.0
Total Debt,61646000000.0,50418000000.0,44267000000.0,40508000000.0
Tangible Book Value,22856000000.0,21001000000.0,20570000000.0,17190000000.0
Invested Capital,102165000000.0,89099000000.0,82335000000.0,73862000000.0
Working Capital,-5009000000.0,-5614000000.0,-1971000000.0,-2959000000.0
Net Tangible Assets,22856000000.0,21001000000.0,20570000000.0,17190000000.0
Capital Lease Obligations,2592000000.0,2438000000.0,2411000000.0,2058000000.0
Common Stock Equity,43111000000.0,41119000000.0,40479000000.0,35412000000.0
Total Capitalization,89851000000.0,77421000000.0,71811000000.0,65891000000.0
Total Equity Gross Minority Interest,60292000000.0,58114000000.0,56126000000.0,47218000000.0
Minority Interest,17181000000.0,16995000000.0,15647000000.0,11806000000.0
Stockholders Equity,43111000000.0,41119000000.0,40479000000.0,35412000000.0
Other Equity Interest,2000000.0,-932000000.0,547000000.0,-242000000.0
Treasury Stock,1465000000.0,1756000000.0,1860000000.0,1985000000.0
Retained Earnings,25964000000.0,24649000000.0,23560000000.0,21649000000.0
Additional Paid In Capital,13924000000.0,14070000000.0,14215000000.0,14361000000.0
Capital Stock,4763000000.0,4772000000.0,4775000000.0,4762000000.0
Common Stock,4763000000.0,4772000000.0,4775000000.0,4762000000.0
Total Liabilities Net Minority Interest,89741000000.0,92000000000.0,85626000000.0,75300000000.0
Total Non Current Liabilities Net Minority Interest,61669000000.0,63161000000.0,61272000000.0,57369000000.0
Other Non Current Liabilities,-9334000000.0,903000000.0,890000000.0,443000000.0
Derivative Product Liabilities,1285000000.0,3690000000.0,1673000000.0,991000000.0
Non Current Pension And Other Postretirement Benefit Plans,1456000000.0,1226000000.0,1592000000.0,2318000000.0
Tradeand Other Payables Non Current,821000000.0,965000000.0,1068000000.0,1221000000.0
Non Current Deferred Revenue,1252000000.0,1411000000.0,1413000000.0,1488000000.0
Non Current Deferred Taxes Liabilities,7379000000.0,7129000000.0,11364000000.0,9607000000.0
Long Term Debt And Capital Lease Obligation,49148000000.0,38589000000.0,33585000000.0,32406000000.0
Long Term Capital Lease Obligation,2408000000.0,2287000000.0,2253000000.0,1927000000.0
Long Term Debt,46740000000.0,36302000000.0,31332000000.0,30479000000.0
Long Term Provisions,3080000000.0,2999000000.0,3738000000.0,3518000000.0
Current Liabilities,28072000000.0,28839000000.0,24354000000.0,17931000000.0
Other Current Liabilities,877000000.0,1382000000.0,638000000.0,350000000.0
Current Debt And Capital Lease Obligation,12498000000.0,11829000000.0,10682000000.0,8102000000.0
Current Capital Lease Obligation,184000000.0,151000000.0,158000000.0,131000000.0
Current Debt,12314000000.0,11678000000.0,10524000000.0,7971000000.0
Pensionand Other Post Retirement Benefit Plans Current,40000000.0,42000000.0,27000000.0,23000000.0
Current Provisions,880000000.0,880000000.0,762000000.0,556000000.0
Payables,9625000000.0,9798000000.0,9157000000.0,7835000000.0
Other Payable,1303000000.0,1262000000.0,1205000000.0,1226000000.0
Dividends Payable,205000000.0,178000000.0,164000000.0,
Total Tax Payable,610000000.0,415000000.0,461000000.0,178000000.0
Accounts Payable,7507000000.0,7943000000.0,7327000000.0,6431000000.0
Total Assets,150033000000.0,150114000000.0,141752000000.0,122518000000.0
Total Non Current Assets,126970000000.0,126889000000.0,119369000000.0,107546000000.0
Defined Pension Benefit,298000000.0,392000000.0,317000000.0,5000000.0
Non Current Prepaid Assets,360000000.0,319000000.0,273000000.0,259000000.0
Non Current Deferred Taxes Assets,2009000000.0,1768000000.0,5917000000.0,5982000000.0
