,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,4253000000.0,3656000000.0,1188000000.0,2496000000.0
Repurchase Of Capital Stock,-2787000000.0,-1885000000.0,-1897000000.0,-2710000000.0
Repayment Of Debt,-9197000000.0,-10272000000.0,-7641000000.0,-10480000000.0
Issuance Of Debt,11662000000.0,14826000000.0,12488000000.0,14645000000.0
Issuance Of Capital Stock,110000000.0,91000000.0,73000000.0,127000000.0
Capital Expenditure,-7877000000.0,-6787000000.0,-6918000000.0,-5851000000.0
End Cash Position,3019000000.0,4608000000.0,4033000000.0,3427000000.0
Beginning Cash Position,4608000000.0,4033000000.0,3427000000.0,2113000000.0
Effect Of Exchange Rate Changes,62000000.0,135000000.0,119000000.0,-318000000.0
Changes In Cash,-1651000000.0,440000000.0,487000000.0,1632000000.0
Financing Cash Flow,-4088000000.0,151000000.0,1869000000.0,-71000000.0
Net Other Financing Charges,432000000.0,600000000.0,683000000.0,60000000.0
Interest Paid Cff,-2266000000.0,-1725000000.0,-884000000.0,-842000000.0
Cash Dividends Paid,-949000000.0,-890000000.0,-570000000.0,-562000000.0
Common Stock Dividend Paid,-949000000.0,-890000000.0,,-563000000.0
Net Common Stock Issuance,-2677000000.0,-1794000000.0,-1824000000.0,-2583000000.0
Common Stock Payments,-2787000000.0,-1885000000.0,-1897000000.0,-2710000000.0
Common Stock Issuance,110000000.0,91000000.0,73000000.0,127000000.0
Net Issuance Payments Of Debt,2465000000.0,4554000000.0,4847000000.0,4165000000.0
Net Long Term Debt Issuance,2465000000.0,4554000000.0,4847000000.0,4165000000.0
Long Term Debt Payments,-9197000000.0,-10272000000.0,-7641000000.0,-10480000000.0
Long Term Debt Issuance,11662000000.0,14826000000.0,12488000000.0,14645000000.0
Investing Cash Flow,-9693000000.0,-10154000000.0,-9488000000.0,-6644000000.0
Net Other Investing Changes,-761000000.0,-823000000.0,-403000000.0,-418000000.0
Interest Received Cfi,-180000000.0,-17000000.0,-112000000.0,-124000000.0
Net Investment Purchase And Sale,-728000000.0,-2461000000.0,-1334000000.0,87000000.0
Sale Of Investment,785000000.0,11000000.0,133000000.0,1122000000.0
Purchase Of Investment,-1513000000.0,-2472000000.0,-1467000000.0,-1035000000.0
Net Investment Properties Purchase And Sale,-3000000.0,-1000000.0,-3000000.0,-2000000.0
Purchase Of Investment Properties,-3000000.0,-1000000.0,-3000000.0,-2000000.0
Net Business Purchase And Sale,-144000000.0,-65000000.0,-718000000.0,-336000000.0
Sale Of Business,239000000.0,0.0,21000000.0,114000000.0
Purchase Of Business,-383000000.0,-65000000.0,-739000000.0,-450000000.0
Net Intangibles Purchase And Sale,-541000000.0,-510000000.0,-591000000.0,-446000000.0
Purchase Of Intangibles,-541000000.0,-510000000.0,-591000000.0,-446000000.0
Net PPE Purchase And Sale,-7336000000.0,-6277000000.0,-6327000000.0,-5405000000.0
Purchase Of PPE,-7336000000.0,-6277000000.0,-6327000000.0,-5405000000.0
Operating Cash Flow,12130000000.0,10443000000.0,8106000000.0,8347000000.0
Taxes Refund Paid,-1492000000.0,-1055000000.0,-832000000.0,-843000000.0
Interest Received Cfo,,,,65000000.0
Interest Paid Cfo,,,,-150000000.0
Dividend Received Cfo,72000000.0,67000000.0,49000000.0,57000000.0
Change In Working Capital,-371000000.0,-1136000000.0,-2728000000.0,-256000000.0
Change In Payable,-517000000.0,44000000.0,1927000000.0,394000000.0
Change In Inventory,-168000000.0,521000000.0,52000000.0,46000000.0
Change In Receivables,314000000.0,-1701000000.0,-4707000000.0,-696000000.0
Other Non Cash Items,1887000000.0,1538000000.0,693000000.0,728000000.0
Depreciation And Amortization,5810000000.0,5491000000.0,5088000000.0,4651000000.0
Amortization Cash Flow,5810000000.0,5491000000.0,,
Depreciation,,5491000000.0,5088000000.0,4651000000.0
Gain Loss On Investment Securities,,,,11000000.0
Net Foreign Currency Exchange Gain Loss,,,,-14000000.0
Gain Loss On Sale Of PPE,,,,-531000000.0
Net Income From Continuing Operations,6997000000.0,6196000000.0,6256000000.0,5028000000.0
