,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-192970818.505338,-128425937.698665,-80800507.855896,-84820200.0
Tax Rate For Calcs,0.229181,0.18452,0.303761,0.2238
Normalized EBITDA,15748000000.0,14178000000.0,12782000000.0,11066000000.0
Total Unusual Items,-842000000.0,-696000000.0,-266000000.0,-379000000.0
Total Unusual Items Excluding Goodwill,-842000000.0,-696000000.0,-266000000.0,-379000000.0
Net Income From Continuing Operation Net Minority Interest,4824000000.0,4410000000.0,3920000000.0,3629000000.0
Reconciled Depreciation,5810000000.0,5491000000.0,5088000000.0,4651000000.0
Reconciled Cost Of Revenue,26033000000.0,33750000000.0,22052000000.0,17000000000.0
EBITDA,14906000000.0,13482000000.0,12516000000.0,10687000000.0
EBIT,9096000000.0,7991000000.0,7428000000.0,6036000000.0
Net Interest Income,-2011000000.0,-1575000000.0,-1145000000.0,-1044000000.0
Interest Expense,2071000000.0,1699000000.0,1127000000.0,983000000.0
Interest Income,516000000.0,442000000.0,209000000.0,140000000.0
Normalized Income,5473029181.494662,4977574062.301335,4105199492.144104,3923179800.0
Net Income From Continuing And Discontinued Operation,4803000000.0,4339000000.0,3885000000.0,3611000000.0
Total Expenses,39692000000.0,45492000000.0,31374000000.0,27147000000.0
Total Operating Income As Reported,8973000000.0,7984000000.0,7343000000.0,5564000000.0
Diluted Average Shares,1612022621.0,1668025281.0,1664684326.0,1661442906.0
Basic Average Shares,1607894112.0,1664448137.0,1661474024.0,1658666843.0
Diluted EPS,2.856,2.5,2.24,2.128
Basic EPS,2.86,2.504,2267.98,2.132
Diluted NI Availto Com Stockholders,4803000000.0,4339000000.0,3885000000.0,3611000000.0
Net Income Common Stockholders,4803000000.0,4339000000.0,3885000000.0,3611000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4803000000.0,4339000000.0,3885000000.0,3611000000.0
Minority Interests,-591000000.0,-721000000.0,-467000000.0,-341000000.0
Net Income Including Noncontrolling Interests,5394000000.0,5060000000.0,4352000000.0,3952000000.0
Net Income Discontinuous Operations,-21000000.0,-71000000.0,-35000000.0,-18000000.0
Net Income Continuous Operations,5415000000.0,5131000000.0,4387000000.0,3970000000.0
Tax Provision,1610000000.0,1161000000.0,1914000000.0,1083000000.0
Pretax Income,7025000000.0,6292000000.0,6301000000.0,5053000000.0
Special Income Charges,-670000000.0,-457000000.0,-397000000.0,-434000000.0
Other Special Charges,,,,-13000000.0
Write Off,618000000.0,470000000.0,369000000.0,381000000.0
Impairment Of Capital Assets,52000000.0,-13000000.0,28000000.0,53000000.0
Net Non Operating Interest Income Expense,-2011000000.0,-1575000000.0,-1145000000.0,-1044000000.0
Total Other Finance Cost,456000000.0,318000000.0,227000000.0,201000000.0
Interest Expense Non Operating,2071000000.0,1699000000.0,1127000000.0,983000000.0
Interest Income Non Operating,516000000.0,442000000.0,209000000.0,140000000.0
Operating Income,9643000000.0,8457000000.0,7740000000.0,5998000000.0
Operating Expense,13659000000.0,11742000000.0,9322000000.0,10147000000.0
Other Operating Expenses,6816000000.0,5453000000.0,3834000000.0,4730000000.0
Depreciation And Amortization In Income Statement,4707000000.0,4682000000.0,4197000000.0,3972000000.0
Amortization,1056000000.0,1058000000.0,890000000.0,794000000.0
Depreciation Income Statement,3651000000.0,3624000000.0,3307000000.0,3178000000.0
Selling General And Administration,4000000000.0,3602000000.0,2936000000.0,2841000000.0
General And Administrative Expense,4000000000.0,3602000000.0,2936000000.0,2841000000.0
Gross Profit,23302000000.0,20199000000.0,17062000000.0,16145000000.0
Cost Of Revenue,26033000000.0,33750000000.0,22052000000.0,17000000000.0
Total Revenue,49335000000.0,53949000000.0,39114000000.0,33145000000.0
Operating Revenue,49335000000.0,53949000000.0,39114000000.0,33145000000.0
