,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,,,0.0,0.0
Ordinary Shares Number,53962300.0,50615237.0,50562000.0,50516000.0,
Share Issued,53962300.0,50615237.0,50562000.0,50516000.0,
Net Debt,2704797000.0,2498161000.0,2016568000.0,1785397000.0,
Total Debt,3073662000.0,2825590000.0,2194145000.0,2000640000.0,
Tangible Book Value,3330954000.0,2907569000.0,2807239000.0,2668436000.0,
Invested Capital,6404616000.0,5733159000.0,5001384000.0,4669076000.0,
Working Capital,287654000.0,369978000.0,145088000.0,270249000.0,
Net Tangible Assets,3330954000.0,2907569000.0,2807239000.0,2668436000.0,
Common Stock Equity,3330954000.0,2907569000.0,2807239000.0,2668436000.0,
Total Capitalization,6384731000.0,5683359000.0,5001384000.0,4669076000.0,
Total Equity Gross Minority Interest,3337955000.0,2914743000.0,2814615000.0,2675234000.0,
Minority Interest,7001000.0,7174000.0,7376000.0,6798000.0,
Stockholders Equity,3330954000.0,2907569000.0,2807239000.0,2668436000.0,
Gains Losses Not Affecting Retained Earnings,-13592000.0,-17184000.0,-12922000.0,-40040000.0,
Other Equity Adjustments,-13592000.0,-17184000.0,-12922000.0,-40040000.0,
Treasury Stock,,,,,0.0
Retained Earnings,2149548000.0,2036138000.0,1937972000.0,1833580000.0,
Capital Stock,1194998000.0,888615000.0,882189000.0,874896000.0,
Common Stock,1194998000.0,888615000.0,882189000.0,874896000.0,
Total Liabilities Net Minority Interest,5901408000.0,5561175000.0,4728643000.0,4535281000.0,
Total Non Current Liabilities Net Minority Interest,5200607000.0,4927099000.0,4180078000.0,4209657000.0,
Other Non Current Liabilities,181804000.0,160019000.0,77336000.0,63485000.0,
Employee Benefits,165992000.0,233965000.0,238037000.0,521462000.0,
Non Current Pension And Other Postretirement Benefit Plans,165992000.0,233965000.0,238037000.0,521462000.0,
Non Current Deferred Liabilities,822231000.0,882724000.0,873916000.0,842375000.0,
Non Current Deferred Taxes Liabilities,822231000.0,882724000.0,873916000.0,842375000.0,
Long Term Debt And Capital Lease Obligation,3053777000.0,2775790000.0,2194145000.0,2000640000.0,
Long Term Debt,3053777000.0,2775790000.0,2194145000.0,2000640000.0,
Current Liabilities,700801000.0,634076000.0,548565000.0,325624000.0,
Other Current Liabilities,88344000.0,61684000.0,91734000.0,42318000.0,
Current Deferred Liabilities,165229000.0,104297000.0,72222000.0,43472000.0,
Current Deferred Revenue,165229000.0,104297000.0,72222000.0,43472000.0,
Current Debt And Capital Lease Obligation,19885000.0,49800000.0,,,
Current Debt,19885000.0,49800000.0,,,
Pensionand Other Post Retirement Benefit Plans Current,70548000.0,64645000.0,59265000.0,55666000.0,
Payables And Accrued Expenses,356795000.0,353650000.0,325344000.0,184168000.0,
Current Accrued Expenses,42681000.0,38292000.0,24060000.0,23959000.0,
Interest Payable,42681000.0,38292000.0,24060000.0,23959000.0,
Payables,314114000.0,315358000.0,301284000.0,160209000.0,
Total Tax Payable,6981000.0,6854000.0,8565000.0,14229000.0,
Accounts Payable,307133000.0,308504000.0,292719000.0,145980000.0,
Total Assets,9239363000.0,8475918000.0,7543258000.0,7210515000.0,
Total Non Current Assets,8250908000.0,7471864000.0,6849605000.0,6614642000.0,
Other Non Current Assets,154193000.0,135848000.0,133371000.0,126565000.0,
Investments And Advances,161340000.0,163971000.0,121352000.0,123824000.0,
Other Investments,59652000.0,61740000.0,32692000.0,36683000.0,
Investmentin Financial Assets,71024000.0,68256000.0,64162000.0,54078000.0,
Held To Maturity Securities,71024000.0,68256000.0,64162000.0,54078000.0,
Long Term Equity Investment,30664000.0,33975000.0,24498000.0,33063000.0,
Investmentsin Joint Venturesat Cost,9666000.0,9897000.0,10311000.0,10386000.0,
Investments In Other Ventures Under Equity Method,20998000.0,24078000.0,14187000.0,22677000.0,
Net PPE,6517318000.0,5745230000.0,5172970000.0,4901822000.0,
Accumulated Depreciation,-2714706000.0,-2557744000.0,-2465279000.0,-2298951000.0,
Gross PPE,9232024000.0,8302974000.0,7638249000.0,7200773000.0,
Construction In Progress,1244559000.0,985502000.0,785706000.0,670585000.0,
Other Properties,16491000.0,16429000.0,16946000.0,16361000.0,
Current Assets,988455000.0,1004054000.0,693653000.0,595873000.0,
Other Current Assets,89315000.0,226306000.0,120388000.0,76931000.0,
Prepaid Assets,29461000.0,22840000.0,24517000.0,24676000.0,
Inventory,244720000.0,160467000.0,107223000.0,95597000.0,
Receivables,256094000.0,267012000.0,263948000.0,183426000.0,
Other Receivables,29627000.0,44661000.0,51179000.0,14994000.0,
Taxes Receivable,13932000.0,24574000.0,13734000.0,14770000.0,
Accounts Receivable,114824000.0,107256000.0,114173000.0,78819000.0,
Allowance For Doubtful Accounts Receivable,-5071000.0,-4869000.0,-5034000.0,-4499000.0,
Gross Accounts Receivable,119895000.0,112125000.0,119207000.0,83318000.0,
Cash Cash Equivalents And Short Term Investments,368865000.0,327429000.0,177577000.0,215243000.0,
Other Short Term Investments,,,,,25000000.0
Cash And Cash Equivalents,368865000.0,327429000.0,177577000.0,215243000.0,
