,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-414862000.0,-344110000.0,-81304000.0,63265000.0,
Repayment Of Debt,-49986000.0,-232006000.0,-4360000.0,0.0,
Issuance Of Debt,300000000.0,872000000.0,198000000.0,0.0,
Issuance Of Capital Stock,298450000.0,0.0,0.0,,
Capital Expenditure,-1009279000.0,-611137000.0,-432589000.0,-299999000.0,
Interest Paid Supplemental Data,109067000.0,97742000.0,85985000.0,83499000.0,
Income Tax Paid Supplemental Data,25200000.0,6200000.0,45885000.0,34330000.0,
End Cash Position,368865000.0,327429000.0,177577000.0,215243000.0,
Beginning Cash Position,327429000.0,177577000.0,215243000.0,275116000.0,
Changes In Cash,41436000.0,149852000.0,-37666000.0,-59873000.0,
Financing Cash Flow,364680000.0,472772000.0,35316000.0,-149484000.0,
Cash Flow From Continuing Financing Activities,364680000.0,472772000.0,35316000.0,-149484000.0,
Net Other Financing Charges,-7219000.0,-3677000.0,-4037000.0,-3365000.0,
Cash Dividends Paid,-176565000.0,-163545000.0,-154287000.0,-146119000.0,
Common Stock Dividend Paid,-176565000.0,-163545000.0,-154287000.0,-146119000.0,
Net Common Stock Issuance,298450000.0,0.0,0.0,,
Common Stock Issuance,298450000.0,0.0,0.0,,
Net Issuance Payments Of Debt,250014000.0,639994000.0,193640000.0,0.0,
Net Long Term Debt Issuance,250014000.0,639994000.0,193640000.0,0.0,
Long Term Debt Payments,-49986000.0,-232006000.0,-4360000.0,0.0,
Long Term Debt Issuance,300000000.0,872000000.0,198000000.0,0.0,
Investing Cash Flow,-917661000.0,-589947000.0,-424267000.0,-273653000.0,
Cash Flow From Continuing Investing Activities,-917661000.0,-589947000.0,-424267000.0,-273653000.0,
Net Other Investing Changes,98278000.0,28654000.0,22653000.0,7913000.0,
Dividends Received Cfi,0.0,0.0,8489000.0,14439000.0,
Net Investment Purchase And Sale,-2846000.0,-4931000.0,-12939000.0,19142000.0,
Sale Of Investment,10641000.0,8921000.0,88857000.0,61328000.0,
Purchase Of Investment,-13487000.0,-13852000.0,-101796000.0,-42186000.0,
Net Investment Properties Purchase And Sale,-3814000.0,-2533000.0,-9881000.0,-15148000.0,
Purchase Of Investment Properties,-3814000.0,-2533000.0,-9881000.0,-15148000.0,
Net PPE Purchase And Sale,-1009279000.0,-611137000.0,-432589000.0,-299999000.0,
Purchase Of PPE,-1009279000.0,-611137000.0,-432589000.0,-299999000.0,
Operating Cash Flow,594417000.0,267027000.0,351285000.0,363264000.0,
Cash Flow From Continuing Operating Activities,594417000.0,267027000.0,351285000.0,363264000.0,
Dividend Received Cfo,7850000.0,2950000.0,11586000.0,11711000.0,
Change In Working Capital,-1912000.0,-157174000.0,35598000.0,-19513000.0,
Change In Other Working Capital,42907000.0,-1839000.0,18323000.0,-22189000.0,
Change In Other Current Liabilities,,,,6460000.0,10030000.0
Change In Other Current Assets,,,,-19091000.0,-636000.0
Change In Payables And Accrued Expense,16939000.0,-81244000.0,112602000.0,17700000.0,
Change In Payable,16939000.0,-81244000.0,112602000.0,17700000.0,
Change In Account Payable,16939000.0,-81244000.0,112602000.0,17700000.0,
Change In Prepaid Assets,-8931000.0,-3220000.0,-2156000.0,-6581000.0,
Change In Inventory,-84261000.0,-53243000.0,-11626000.0,991000.0,
Change In Receivables,31434000.0,-17628000.0,-81545000.0,-9434000.0,
Changes In Account Receivables,,,,-6697000.0,-374000.0
Other Non Cash Items,46768000.0,-94892000.0,-146278000.0,-100533000.0,
Deferred Tax,-17592000.0,39613000.0,-511000.0,23901000.0,
Deferred Income Tax,-17592000.0,39613000.0,-511000.0,23901000.0,
Depreciation Amortization Depletion,228091000.0,199908000.0,173555000.0,179444000.0,
Depreciation And Amortization,228091000.0,199908000.0,173555000.0,179444000.0,
Operating Gains Losses,41261000.0,14729000.0,17775000.0,22382000.0,
Pension And Employee Benefit Expense,45800000.0,27155000.0,29286000.0,33817000.0,
Earnings Losses From Equity Investments,-4539000.0,-12426000.0,-11511000.0,-11435000.0,
Net Income From Continuing Operations,289951000.0,261893000.0,259560000.0,245872000.0,
