,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,3130193.282711,4870897.855728,5648783.634383,4795698.76655,
Tax Rate For Calcs,0.049353,0.094388,0.127248,0.130531,
Normalized EBITDA,605536000.0,553949000.0,515942000.0,512186000.0,
Total Unusual Items,63424000.0,51605000.0,44392000.0,36740000.0,
Total Unusual Items Excluding Goodwill,63424000.0,51605000.0,44392000.0,36740000.0,
Net Income From Continuing Operation Net Minority Interest,289174000.0,261195000.0,258982000.0,245550000.0,
Reconciled Depreciation,228091000.0,199908000.0,173555000.0,179444000.0,
Reconciled Cost Of Revenue,1494782000.0,1449515000.0,1313870000.0,1125842000.0,
EBITDA,668960000.0,605554000.0,560334000.0,548926000.0,
EBIT,440869000.0,405646000.0,386779000.0,369482000.0,
Net Interest Income,-113288000.0,-101191000.0,-83423000.0,-85290000.0,
Interest Expense,135865000.0,116457000.0,89375000.0,86698000.0,
Interest Income,22577000.0,15266000.0,5952000.0,1408000.0,
Normalized Income,228880193.282711,214460897.855728,220238783.634383,213605698.76655,
Net Income From Continuing And Discontinued Operation,289174000.0,261195000.0,258982000.0,245550000.0,
Total Expenses,1498794000.0,1452879000.0,1316803000.0,1128433000.0,
Total Operating Income As Reported,327839000.0,313477000.0,327178000.0,329651000.0,
Diluted Average Shares,52615000.0,50806000.0,50699000.0,50645000.0,
Basic Average Shares,52543000.0,50717000.0,50658000.0,50599000.0,
Diluted EPS,5.5,5.14,5.11,4.85,
Basic EPS,5.5,5.15,5.11,4.85,
Diluted NI Availto Com Stockholders,289174000.0,261195000.0,258982000.0,245550000.0,
Net Income Common Stockholders,289174000.0,261195000.0,258982000.0,245550000.0,
Net Income,289174000.0,261195000.0,258982000.0,245550000.0,
Minority Interests,-777000.0,-698000.0,-578000.0,-322000.0,
Net Income Including Noncontrolling Interests,289951000.0,261893000.0,259560000.0,245872000.0,
Net Income Continuous Operations,289951000.0,261893000.0,259560000.0,245872000.0,
Tax Provision,15053000.0,27296000.0,37844000.0,36912000.0,
Pretax Income,305004000.0,289189000.0,297404000.0,282784000.0,
Other Income Expense,90453000.0,76903000.0,53649000.0,38423000.0,
Other Non Operating Income Expenses,22490000.0,12872000.0,-2254000.0,-9752000.0,
Special Income Charges,63424000.0,51605000.0,44392000.0,36740000.0,
Other Special Charges,-63424000.0,-51605000.0,-44392000.0,-36740000.0,
Earnings From Equity Interest,4539000.0,12426000.0,11511000.0,11435000.0,
Gain On Sale Of Security,,,5952000.0,1408000.0,3813000.0
Net Non Operating Interest Income Expense,-113288000.0,-101191000.0,-83423000.0,-85290000.0,
Interest Expense Non Operating,135865000.0,116457000.0,89375000.0,86698000.0,
Interest Income Non Operating,22577000.0,15266000.0,5952000.0,1408000.0,
Operating Income,327839000.0,313477000.0,327178000.0,329651000.0,
Operating Expense,4012000.0,3364000.0,2933000.0,2591000.0,
Other Operating Expenses,4012000.0,3364000.0,2933000.0,2591000.0,
Selling General And Administration,,6513000.0,9196000.0,15249000.0,11865000.0
General And Administrative Expense,,6513000.0,9196000.0,15249000.0,11865000.0
Salaries And Wages,,6513000.0,9196000.0,15249000.0,11865000.0
Gross Profit,331851000.0,316841000.0,330111000.0,332242000.0,
Cost Of Revenue,1494782000.0,1449515000.0,1313870000.0,1125842000.0,
Total Revenue,1826633000.0,1766356000.0,1643981000.0,1458084000.0,
Operating Revenue,1822965000.0,1762894000.0,1641040000.0,1455410000.0,
