,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1360000.0,2945840.0,2945840.0,2945840.0
Ordinary Shares Number,208560447.0,201189189.0,190824913.0,187434469.0
Share Issued,209920447.0,204135029.0,193770753.0,190380309.0
Net Debt,40020882000.0,36892987000.0,28085366000.0,19224876927.0
Total Debt,56794628000.0,47780123000.0,37286029000.0,27617455381.0
Tangible Book Value,17766335000.0,14826211000.0,9904240000.0,9191045042.0
Invested Capital,76237995000.0,63473722000.0,47456562000.0,36694399315.0
Working Capital,1884554000.0,3391108000.0,64605000.0,2465335854.0
Net Tangible Assets,17766335000.0,14826211000.0,9904240000.0,9191045042.0
Capital Lease Obligations,713067000.0,643636000.0,879248000.0,910900340.0
Common Stock Equity,20156434000.0,16337235000.0,11049781000.0,9987844274.0
Total Capitalization,36180720000.0,30430729000.0,22044972000.0,17289380103.0
Total Equity Gross Minority Interest,33534142000.0,27003893000.0,14287252000.0,12990761983.0
Minority Interest,13377708000.0,10666658000.0,3237471000.0,3002917709.0
Stockholders Equity,20156434000.0,16337235000.0,11049781000.0,9987844274.0
Gains Losses Not Affecting Retained Earnings,359584000.0,217563000.0,-154375000.0,563393058.0
Other Equity Adjustments,359584000.0,217563000.0,-154375000.0,563393058.0
Treasury Stock,79282000.0,43170000.0,43170000.0,43169878.0
Retained Earnings,9137727000.0,6249883000.0,5629377000.0,4216350412.0
Additional Paid In Capital,10738376000.0,9912931000.0,5617923000.0,5251244630.0
Capital Stock,29000.0,28000.0,26000.0,26052.0
Common Stock,29000.0,28000.0,26000.0,26052.0
Total Liabilities Net Minority Interest,102297683000.0,81658289000.0,58696235000.0,40241612887.0
Total Non Current Liabilities Net Minority Interest,21237038000.0,16722103000.0,13236766000.0,9024817266.0
Non Current Accrued Expenses,2145426000.0,1422276000.0,858641000.0,769331650.0
Dueto Related Parties Non Current,,0.0,9642000.0,34812446.0
Tradeand Other Payables Non Current,2378684000.0,601759000.0,568495000.0,97372.0
Non Current Deferred Liabilities,131506000.0,194808000.0,183003000.0,328713193.0
Non Current Deferred Taxes Liabilities,131506000.0,194808000.0,183003000.0,328713193.0
Long Term Debt And Capital Lease Obligation,16581422000.0,14503260000.0,11616985000.0,7891862605.0
Long Term Capital Lease Obligation,557136000.0,409766000.0,621794000.0,590326776.0
Long Term Debt,16024286000.0,14093494000.0,10995191000.0,7301535829.0
Long Term Provisions,,,,769331650.0
Current Liabilities,81060645000.0,64936186000.0,45459469000.0,31216795621.0
Other Current Liabilities,1117005000.0,63137000.0,555893000.0,2469389811.0
Current Deferred Liabilities,6965298000.0,9224096000.0,6114354000.0,2451495092.0
Current Deferred Revenue,6961886000.0,9220267000.0,6114354000.0,2451495092.0
Current Debt And Capital Lease Obligation,40213206000.0,33276863000.0,25669044000.0,19725592776.0
Current Capital Lease Obligation,155931000.0,233870000.0,257454000.0,320573564.0
Current Debt,40057275000.0,33042993000.0,25411590000.0,19405019212.0
Other Current Borrowings,14366743000.0,12419170000.0,13339367000.0,10070142905.0
Current Notes Payable,25690532000.0,20623823000.0,12072223000.0,9334876307.0
Payables And Accrued Expenses,32765136000.0,22435227000.0,13120178000.0,9039707753.0
Current Accrued Expenses,3699884000.0,2941732000.0,1865361000.0,1486293095.0
Payables,29065252000.0,19493495000.0,11254817000.0,7553414658.0
Other Payable,11950499000.0,7894883000.0,3987075000.0,2640725560.0
Dueto Related Parties Current,11599000.0,5964000.0,4730000.0,94034632.0
Total Tax Payable,1627988000.0,1214572000.0,447295000.0,368045790.0
Income Tax Payable,1016039000.0,737735000.0,214856000.0,73720203.0
Accounts Payable,15475166000.0,10378076000.0,6815717000.0,4450608676.0
Total Assets,135831825000.0,108662182000.0,72983487000.0,53232374870.0
Total Non Current Assets,52886626000.0,40334888000.0,27459413000.0,19550243395.0
Other Non Current Assets,1591434000.0,1431043000.0,1207989000.0,1496513366.0
Non Current Prepaid Assets,830526000.0,571548000.0,599702000.0,223981763.0
Non Current Deferred Assets,1290004000.0,704244000.0,371767000.0,353767928.0
Non Current Deferred Taxes Assets,1290004000.0,704244000.0,371767000.0,255107432.0
Non Current Accounts Receivable,11853000.0,-1855000.0,604618000.0,596950241.0
Financial Assets,,,0.0,756929181.0
Investments And Advances,2221762000.0,1711072000.0,633866000.0,194257539.0
Other Investments,2117628000.0,1711072000.0,,
Investmentin Financial Assets,1021780000.0,423871000.0,633866000.0,0.0
Available For Sale Securities,1021780000.0,423871000.0,633866000.0,
Long Term Equity Investment,1199982000.0,1287201000.0,538865592.0,194257539.0
Investmentsin Associatesat Cost,,,538865592.0,194257539.0
Goodwill And Other Intangible Assets,2390099000.0,1511024000.0,1145541000.0,796799232.0
Other Intangible Assets,2390099000.0,1511024000.0,1145541000.0,796799232.0
Net PPE,44550948000.0,34407812000.0,22895930000.0,15131044145.0
Accumulated Depreciation,-11557978000.0,-6462379000.0,-5232342000.0,-3942700631.0
Gross PPE,56108926000.0,40870191000.0,28128272000.0,19073744776.0
Construction In Progress,6431421000.0,2713323000.0,4506243000.0,1592671366.0
Other Properties,742431000.0,955373000.0,1066863000.0,1145634538.0
Machinery Furniture Equipment,31739206000.0,24545590000.0,15680094000.0,11939317871.0
Buildings And Improvements,17195868000.0,12655905000.0,6875072000.0,4396121001.0
Properties,0.0,0.0,0.0,0.0
Current Assets,82945199000.0,68327294000.0,45524074000.0,33682131475.0
Other Current Assets,3402812000.0,3290903000.0,131827000.0,143495852.0
Assets Held For Sale Current,2003417000.0,0.0,684631000.0,0.0
Restricted Cash,10493990000.0,9972725000.0,9863962000.0,6993730919.0
Prepaid Assets,4565779000.0,3328144000.0,1917586000.0,1805885755.0
Inventory,18215537000.0,17450284000.0,13252352000.0,8376935829.0
Finished Goods,11568488000.0,8713231000.0,6868263000.0,4954674986.0
Work In Process,2103946000.0,3237480000.0,2623044000.0,1059864518.0
Raw Materials,4543103000.0,5499573000.0,3761045000.0,2362396325.0
Receivables,27179290000.0,23937239000.0,11202301000.0,8310405006.0
Receivables Adjustments Allowances,,-8118000.0,-5521000.0,-9588242.0
Other Receivables,103100000.0,119625000.0,295693000.0,962465833.0
Duefrom Related Parties Current,27412000.0,23105000.0,17348000.0,23756223.0
Taxes Receivable,,1374909000.0,1705159000.0,1228162128.0
Notes Receivable,4090085000.0,6979920000.0,1689102000.0,1084562555.0
Loans Receivable,,23459000.0,0.0,75930094.0
Accounts Receivable,22958693000.0,16814589000.0,7500520000.0,4945116415.0
Allowance For Doubtful Accounts Receivable,-685231000.0,-584127000.0,-323071000.0,-293359875.0
Gross Accounts Receivable,23643924000.0,17398716000.0,7823591000.0,5238476290.0
Cash Cash Equivalents And Short Term Investments,17084374000.0,10347999000.0,8471415000.0,8051678114.0
Other Short Term Investments,1023695000.0,104499000.0,150000000.0,570000000.0
Cash And Cash Equivalents,16060679000.0,10243500000.0,8321415000.0,7481678114.0
