,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-2024490000.0,-18132401000.0,-8255474000.0,-3554491000.0
Repurchase Of Capital Stock,-79282000.0,0.0,0.0,-29294000.0
Repayment Of Debt,-21245628000.0,-27840930000.0,-24570986000.0,-25589782000.0
Issuance Of Debt,30339545000.0,38215330000.0,35316528000.0,28123283000.0
Issuance Of Capital Stock,0.0,0.0,641065000.0,0.0
Capital Expenditure,-15850614000.0,-12331617000.0,-8686120000.0,-4145977000.0
Interest Paid Supplemental Data,1117871000.0,1072812000.0,801873000.0,670160000.0
Income Tax Paid Supplemental Data,1783845000.0,400338000.0,157366000.0,357781000.0
End Cash Position,19427281000.0,11270954000.0,9097246000.0,8074772000.0
Beginning Cash Position,11270954000.0,9097246000.0,8074772000.0,6273958000.0
Effect Of Exchange Rate Changes,848969000.0,227957000.0,-116790000.0,-169261000.0
Changes In Cash,7307358000.0,1945751000.0,1139264000.0,1970075000.0
Financing Cash Flow,8640904000.0,20018922000.0,12017851000.0,6297279000.0
Cash Flow From Continuing Financing Activities,8640904000.0,20018922000.0,12017851000.0,6297279000.0
Net Other Financing Charges,140579000.0,9639498000.0,,3678314000.0
Proceeds From Stock Option Exercised,45289000.0,5024000.0,631244000.0,114758000.0
Cash Dividends Paid,-559599000.0,0.0,0.0,
Common Stock Dividend Paid,-559599000.0,0.0,0.0,
Net Common Stock Issuance,-79282000.0,0.0,641065000.0,-29294000.0
Common Stock Payments,-79282000.0,0.0,0.0,-29294000.0
Common Stock Issuance,0.0,0.0,641065000.0,0.0
Net Issuance Payments Of Debt,9093917000.0,10374400000.0,10745542000.0,2533501000.0
Net Long Term Debt Issuance,9093917000.0,10374400000.0,10745542000.0,2533501000.0
Long Term Debt Payments,-21245628000.0,-27840930000.0,-24570986000.0,-25589782000.0
Long Term Debt Issuance,30339545000.0,38215330000.0,35316528000.0,28123283000.0
Investing Cash Flow,-15159670000.0,-12272387000.0,-11309233000.0,-4918690000.0
Cash Flow From Continuing Investing Activities,-15159670000.0,-12272387000.0,-11309233000.0,-4918690000.0
Net Other Investing Changes,1302191000.0,119204000.0,-2676784000.0,-335674000.0
Dividends Received Cfi,127363000.0,0.0,23213000.0,15598000.0
Net Investment Purchase And Sale,-1246577000.0,-67716000.0,325000000.0,-570000000.0
Sale Of Investment,115548000.0,259284000.0,723000000.0,0.0
Purchase Of Investment,-1362125000.0,-327000000.0,-398000000.0,-570000000.0
Net Business Purchase And Sale,36398000.0,-706434000.0,-315000000.0,28646000.0
Sale Of Business,36398000.0,0.0,0.0,48078000.0
