,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,29339352.0,179823960.0,-23118996.0,-336351645.0
Tax Rate For Calcs,0.168,0.306,0.178,0.315
Normalized EBITDA,16675942000.0,5228022000.0,3860176000.0,3693209000.0
Total Unusual Items,174639000.0,587660000.0,-129882000.0,-1067783000.0
Total Unusual Items Excluding Goodwill,174639000.0,587660000.0,-129882000.0,-1067783000.0
Net Income From Continuing Operation Net Minority Interest,3447443000.0,620506000.0,721018000.0,230385000.0
Reconciled Depreciation,8189280000.0,2759564000.0,1802071000.0,1383202000.0
Reconciled Cost Of Revenue,99630956000.0,70848983000.0,34168686000.0,28957798000.0
EBITDA,16850581000.0,5815682000.0,3730294000.0,2625426000.0
EBIT,8661301000.0,3056118000.0,1928223000.0,1242224000.0
Net Interest Income,-617605000.0,-490703000.0,-624029000.0,-459234000.0
Interest Expense,1171136000.0,1079409000.0,838320000.0,675852000.0
Interest Income,553531000.0,588706000.0,214291000.0,216618000.0
Normalized Income,3302143352.0,212669960.0,827781004.0,961816355.0
Net Income From Continuing And Discontinued Operation,3447443000.0,620506000.0,721018000.0,230385000.0
Total Expenses,110770469000.0,81234883000.0,38984618000.0,33038362000.0
Total Operating Income As Reported,6092620000.0,429246000.0,1102505000.0,1784948000.0
Diluted Average Shares,56528271.0,50102124.0,51429943.0,44734713.0
Basic Average Shares,51926369.0,49501065.0,47668217.0,44734713.0
Diluted EPS,60.92,13.28,8.04,-5.44
Basic EPS,66.4,13.44,15.12,5.16
Diluted NI Availto Com Stockholders,3441869000.0,620506000.0,412679000.0,-232367000.0
Average Dilution Earnings,-5574000.0,0.0,-308339000.0,-462752000.0
Net Income Common Stockholders,3447443000.0,620506000.0,721018000.0,230385000.0
Net Income,3447443000.0,620506000.0,721018000.0,230385000.0
Minority Interests,-3005111000.0,-944633000.0,-234554000.0,-104870000.0
Net Income Including Noncontrolling Interests,6452554000.0,1565139000.0,955572000.0,335255000.0
Net Income Continuous Operations,6452554000.0,1565139000.0,955572000.0,335255000.0
Earnings From Equity Interest Net Of Tax,222674000.0,193708000.0,59809000.0,-52706000.0
Tax Provision,1260285000.0,605278000.0,194140000.0,178411000.0
Pretax Income,7490165000.0,1976709000.0,1089903000.0,566372000.0
Other Income Expense,199648000.0,574999000.0,-127971000.0,-1065491000.0
Other Non Operating Income Expenses,25009000.0,-12661000.0,1911000.0,2292000.0
Special Income Charges,-640004000.0,-359500000.0,-273713000.0,-114168000.0
Gain On Sale Of Ppe,,1758000.0,0.0,0.0
Gain On Sale Of Business,0.0,14232000.0,0.0,0.0
Other Special Charges,,,-1911050.0,-2292191.0
Impairment Of Capital Assets,640004000.0,373732000.0,273713000.0,114168000.0
Gain On Sale Of Security,814643000.0,947160000.0,143831000.0,-953615000.0
Net Non Operating Interest Income Expense,-617605000.0,-490703000.0,-624029000.0,-459234000.0
Interest Expense Non Operating,1171136000.0,1079409000.0,838320000.0,675852000.0
Interest Income Non Operating,553531000.0,588706000.0,214291000.0,216618000.0
Operating Income,7908122000.0,1892413000.0,1841903000.0,2091097000.0
Operating Expense,11139513000.0,10385900000.0,4815932000.0,4080564000.0
Other Operating Expenses,-1175498000.0,-1089435000.0,-465685000.0,-191981000.0
Research And Development,911869000.0,724769000.0,461590000.0,389192000.0
Selling General And Administration,11403142000.0,10750566000.0,4820027000.0,3883353000.0
Selling And Marketing Expense,6819305000.0,7241888000.0,2856465000.0,2473982000.0
General And Administrative Expense,4583837000.0,3508678000.0,1963562000.0,1409371000.0
Other Gand A,4583837000.0,3508678000.0,1963562000.0,1409371000.0
Gross Profit,19047635000.0,12278313000.0,6657835000.0,6171661000.0
Cost Of Revenue,99630956000.0,70848983000.0,34168686000.0,28957798000.0
Total Revenue,118678591000.0,83127296000.0,40826521000.0,35129459000.0
Operating Revenue,118678591000.0,83127296000.0,40826521000.0,35129459000.0
