,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,16765116.0,15675634.0,14638846.0,14369133.0,
Share Issued,16765116.0,15675634.0,14638846.0,14369133.0,
Total Debt,157000000.0,174500000.0,163700000.0,131200000.0,
Tangible Book Value,-270700000.0,-7100000.0,-119800000.0,-196600000.0,
Invested Capital,317000000.0,205400000.0,86300000.0,-11600000.0,
Working Capital,668400000.0,214300000.0,137900000.0,72600000.0,
Net Tangible Assets,-270700000.0,-7100000.0,-119800000.0,-196600000.0,
Capital Lease Obligations,1400000.0,1400000.0,3300000.0,900000.0,
Common Stock Equity,161400000.0,32300000.0,-74100000.0,-141900000.0,
Preferred Stock Equity,,,,,100000.0
Total Capitalization,271100000.0,185000000.0,70300000.0,-17700000.0,
Total Equity Gross Minority Interest,161400000.0,32300000.0,-74100000.0,-141900000.0,
Stockholders Equity,161400000.0,32300000.0,-74100000.0,-141900000.0,
Gains Losses Not Affecting Retained Earnings,-500000.0,-300000.0,200000.0,500000.0,
Other Equity Adjustments,-500000.0,-300000.0,200000.0,500000.0,
Retained Earnings,-76300000.0,-149500000.0,-233900000.0,-284600000.0,
Additional Paid In Capital,236500000.0,180500000.0,158100000.0,140700000.0,
Capital Stock,1700000.0,1600000.0,1500000.0,1500000.0,
Common Stock,1700000.0,1600000.0,1500000.0,1500000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,932000000.0,763900000.0,779600000.0,714300000.0,
Total Non Current Liabilities Net Minority Interest,585200000.0,292800000.0,330400000.0,321000000.0,
Other Non Current Liabilities,396900000.0,8800000.0,11700000.0,13700000.0,
Employee Benefits,78600000.0,98500000.0,128100000.0,138000000.0,
Non Current Pension And Other Postretirement Benefit Plans,78600000.0,98500000.0,128100000.0,138000000.0,
Non Current Deferred Liabilities,0.0,32800000.0,46200000.0,45100000.0,
Non Current Deferred Revenue,0.0,32800000.0,46200000.0,45100000.0,
Long Term Debt And Capital Lease Obligation,109700000.0,152700000.0,144400000.0,124200000.0,
Long Term Debt,109700000.0,152700000.0,144400000.0,124200000.0,
Current Liabilities,346800000.0,471100000.0,449200000.0,393300000.0,
Other Current Liabilities,16200000.0,84300000.0,60800000.0,8400000.0,
Current Deferred Liabilities,216400000.0,282600000.0,273200000.0,303100000.0,
Current Deferred Revenue,216400000.0,282600000.0,273200000.0,303100000.0,
Current Debt And Capital Lease Obligation,47300000.0,21800000.0,19300000.0,7000000.0,
Current Capital Lease Obligation,1400000.0,1400000.0,3300000.0,900000.0,
Current Debt,45900000.0,20400000.0,16000000.0,6100000.0,
Other Current Borrowings,45900000.0,20400000.0,16000000.0,6100000.0,
Pensionand Other Post Retirement Benefit Plans Current,29400000.0,31200000.0,23000000.0,30100000.0,
Payables And Accrued Expenses,37500000.0,51200000.0,72900000.0,44700000.0,
Current Accrued Expenses,2200000.0,3200000.0,23400000.0,1900000.0,
Interest Payable,1300000.0,0.0,,,
Payables,35300000.0,48000000.0,49500000.0,42800000.0,
Other Payable,29500000.0,41900000.0,43600000.0,37900000.0,
Accounts Payable,5800000.0,6100000.0,5900000.0,4900000.0,
Total Assets,1093400000.0,796200000.0,705500000.0,572400000.0,
Total Non Current Assets,480700000.0,110800000.0,118400000.0,106500000.0,
Other Non Current Assets,7300000.0,3500000.0,8100000.0,2300000.0,
Non Current Prepaid Assets,2600000.0,32400000.0,32300000.0,2800000.0,
Non Current Deferred Assets,29300000.0,28500000.0,26800000.0,41400000.0,
Non Current Deferred Taxes Assets,29300000.0,28500000.0,26800000.0,41400000.0,
Goodwill And Other Intangible Assets,432100000.0,39400000.0,45700000.0,54700000.0,
Other Intangible Assets,432100000.0,39400000.0,45700000.0,54700000.0,
Net PPE,9400000.0,7000000.0,5500000.0,5300000.0,
Accumulated Depreciation,-5300000.0,-4300000.0,-3600000.0,-3000000.0,
Gross PPE,14700000.0,11300000.0,9100000.0,8300000.0,
Other Properties,1800000.0,1300000.0,1100000.0,1100000.0,
Machinery Furniture Equipment,6100000.0,3800000.0,2000000.0,1400000.0,
Buildings And Improvements,5600000.0,5000000.0,4800000.0,4600000.0,
Land And Improvements,1200000.0,1200000.0,1200000.0,1200000.0,
Current Assets,1015200000.0,685400000.0,587100000.0,465900000.0,
Other Current Assets,38300000.0,10800000.0,24200000.0,8600000.0,
Current Deferred Assets,63900000.0,117600000.0,135700000.0,143300000.0,
Inventory,161600000.0,306400000.0,209200000.0,91100000.0,
Other Inventories,5000000.0,21900000.0,24100000.0,8800000.0,
Raw Materials,156600000.0,284500000.0,185100000.0,82300000.0,
Receivables,80000000.0,49400000.0,38100000.0,29100000.0,
Other Receivables,10200000.0,9200000.0,9100000.0,6000000.0,
Accounts Receivable,69800000.0,40200000.0,29000000.0,23100000.0,
Cash Cash Equivalents And Short Term Investments,671400000.0,201200000.0,179900000.0,193800000.0,
Cash And Cash Equivalents,671400000.0,201200000.0,179900000.0,193800000.0,
