,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,32900000.0,7500000.0,19900000.0,48800000.0,
Repurchase Of Capital Stock,,0.0,0.0,-44400000.0,-61600000.0
Repayment Of Debt,,,,,0.0
Issuance Of Debt,388700000.0,0.0,0.0,,
Issuance Of Capital Stock,54700000.0,23200000.0,3600000.0,42100000.0,
Capital Expenditure,-4100000.0,-1600000.0,-700000.0,-1200000.0,
Interest Paid Supplemental Data,,,,,0.0
Income Tax Paid Supplemental Data,700000.0,0.0,0.0,,
End Cash Position,704000000.0,233800000.0,212400000.0,196800000.0,
Beginning Cash Position,233800000.0,212400000.0,196800000.0,157900000.0,
Effect Of Exchange Rate Changes,200000.0,0.0,0.0,,
Changes In Cash,470000000.0,21400000.0,15600000.0,38900000.0,
Financing Cash Flow,437100000.0,13900000.0,-4300000.0,-9900000.0,
Cash Flow From Continuing Financing Activities,437100000.0,13900000.0,-4300000.0,-9900000.0,
Net Other Financing Charges,,-200000.0,-300000.0,-2400000.0,-100000.0
Interest Paid Cff,-6100000.0,-6100000.0,-6100000.0,-6100000.0,
Proceeds From Stock Option Exercised,-200000.0,-3000000.0,-1500000.0,-1500000.0,
Cash Dividends Paid,0.0,0.0,0.0,0.0,
Net Preferred Stock Issuance,,0.0,0.0,-44400000.0,-61600000.0
Preferred Stock Payments,,0.0,0.0,-44400000.0,-61600000.0
Net Common Stock Issuance,54700000.0,23200000.0,3600000.0,42100000.0,
Common Stock Issuance,54700000.0,23200000.0,3600000.0,42100000.0,
Net Issuance Payments Of Debt,388700000.0,0.0,0.0,,0.0
Net Long Term Debt Issuance,388700000.0,0.0,0.0,,0.0
Long Term Debt Payments,,,,,0.0
Long Term Debt Issuance,388700000.0,0.0,0.0,,
Investing Cash Flow,-4100000.0,-1600000.0,-700000.0,-1200000.0,
Cash Flow From Continuing Investing Activities,-4100000.0,-1600000.0,-700000.0,-1200000.0,
Capital Expenditure Reported,-4100000.0,-1600000.0,-700000.0,-1200000.0,
Operating Cash Flow,37000000.0,9100000.0,20600000.0,50000000.0,
Cash Flow From Continuing Operating Activities,37000000.0,9100000.0,20600000.0,50000000.0,
Change In Working Capital,-32700000.0,-44300000.0,-93100000.0,-53300000.0,
Change In Other Working Capital,-23700000.0,5600000.0,-40700000.0,-54100000.0,
Change In Other Current Liabilities,,-5700000.0,-18100000.0,-67000000.0,-32700000.0
Change In Other Current Assets,2400000.0,14900000.0,-15600000.0,-1000000.0,
Change In Payables And Accrued Expense,-13800000.0,6800000.0,8300000.0,12000000.0,
Change In Payable,-13800000.0,6800000.0,8300000.0,12000000.0,
Change In Account Payable,-1400000.0,8500000.0,2600000.0,-4600000.0,
Change In Inventory,32900000.0,-60300000.0,-36100000.0,-10700000.0,
Change In Receivables,-30500000.0,-11300000.0,-9000000.0,500000.0,
Changes In Account Receivables,-30500000.0,-11300000.0,-9000000.0,500000.0,
Other Non Cash Items,2200000.0,-14200000.0,27500000.0,-2400000.0,
Stock Based Compensation,1500000.0,2300000.0,1900000.0,12100000.0,
Deferred Tax,-700000.0,-1600000.0,14700000.0,-39500000.0,
Deferred Income Tax,-700000.0,-1600000.0,14700000.0,-39500000.0,
Depreciation Amortization Depletion,10800000.0,7100000.0,9600000.0,8600000.0,
Depreciation And Amortization,10800000.0,7100000.0,9600000.0,8600000.0,
Amortization Cash Flow,9800000.0,6300000.0,9000000.0,8100000.0,
Amortization Of Intangibles,9800000.0,6300000.0,9000000.0,8100000.0,
Depreciation,1000000.0,700000.0,600000.0,600000.0,
Operating Gains Losses,-17300000.0,-24600000.0,7800000.0,-50500000.0,
Pension And Employee Benefit Expense,-17300000.0,-24600000.0,7800000.0,-50500000.0,
Net Income From Continuing Operations,73200000.0,84400000.0,52200000.0,175000000.0,
