,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,2646000.0,6035.502959,345000.0,27000.0,
Tax Rate For Calcs,0.21,0.001183,0.23,0.27,
Normalized EBITDA,73900000.0,87800000.0,76400000.0,144500000.0,
Total Unusual Items,12600000.0,5100000.0,1500000.0,100000.0,
Total Unusual Items Excluding Goodwill,12600000.0,5100000.0,1500000.0,100000.0,
Net Income From Continuing Operation Net Minority Interest,73200000.0,84400000.0,52200000.0,175000000.0,
Reconciled Depreciation,10800000.0,7100000.0,9600000.0,8600000.0,
Reconciled Cost Of Revenue,329500000.0,207300000.0,175300000.0,183300000.0,
EBITDA,86500000.0,92900000.0,77900000.0,144600000.0,
EBIT,75700000.0,85800000.0,68300000.0,136000000.0,
Net Interest Income,-2700000.0,-1300000.0,-500000.0,-100000.0,
Interest Expense,2700000.0,1300000.0,500000.0,100000.0,
Normalized Income,63246000.0,79306035.502959,51045000.0,174927000.0,
Net Income From Continuing And Discontinued Operation,73200000.0,84400000.0,52200000.0,175000000.0,
Total Expenses,393700000.0,264200000.0,233600000.0,230000000.0,
Total Operating Income As Reported,48000000.0,52400000.0,59700000.0,68300000.0,
Diluted Average Shares,16373000.0,15501000.0,14988000.0,13879000.0,
Basic Average Shares,16309000.0,15212000.0,14601000.0,13493000.0,
Diluted EPS,4.47,5.44,3.38,9.75,
Basic EPS,4.49,5.55,3.47,10.03,
Diluted NI Availto Com Stockholders,73200000.0,84400000.0,50700000.0,135300000.0,
Net Income Common Stockholders,73200000.0,84400000.0,50700000.0,135300000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,1500000.0,37600000.0,
Preferred Stock Dividends,,,,2100000.0,6700000.0
Net Income,73200000.0,84400000.0,52200000.0,175000000.0,
Net Income Including Noncontrolling Interests,73200000.0,84400000.0,52200000.0,175000000.0,
Net Income Continuous Operations,73200000.0,84400000.0,52200000.0,175000000.0,
Tax Provision,-200000.0,100000.0,15600000.0,-39100000.0,
Pretax Income,73000000.0,84500000.0,67800000.0,135900000.0,
Other Income Expense,27400000.0,29800000.0,8100000.0,67700000.0,
Other Non Operating Income Expenses,14800000.0,24700000.0,6600000.0,67600000.0,
Special Income Charges,-300000.0,-3600000.0,-500000.0,0.0,
Restructuring And Mergern Acquisition,300000.0,3600000.0,500000.0,0.0,
Gain On Sale Of Security,12900000.0,8700000.0,2000000.0,100000.0,
Net Non Operating Interest Income Expense,-2700000.0,-1300000.0,-500000.0,-100000.0,
Interest Expense Non Operating,2700000.0,1300000.0,500000.0,100000.0,
Operating Income,48300000.0,56000000.0,60200000.0,68300000.0,
Operating Expense,63200000.0,56100000.0,57700000.0,46200000.0,
Other Operating Expenses,17200000.0,14200000.0,14800000.0,2100000.0,
Depreciation Amortization Depletion Income Statement,9800000.0,6300000.0,9000000.0,8100000.0,
Depreciation And Amortization In Income Statement,9800000.0,6300000.0,9000000.0,8100000.0,
Amortization,9800000.0,6300000.0,9000000.0,8100000.0,
Amortization Of Intangibles Income Statement,9800000.0,6300000.0,9000000.0,8100000.0,
Selling General And Administration,36200000.0,35600000.0,33900000.0,36000000.0,
General And Administrative Expense,,,33900000.0,36000000.0,36000000.0
Other Gand A,,,33900000.0,36000000.0,36000000.0
Gross Profit,111500000.0,112100000.0,117900000.0,114500000.0,
Cost Of Revenue,330500000.0,208100000.0,175900000.0,183800000.0,
Total Revenue,442000000.0,320200000.0,293800000.0,298300000.0,
Operating Revenue,442000000.0,320200000.0,293800000.0,298300000.0,
