,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,2057000000.0,2052000000.0,1987000000.0,1963000000.0,
Share Issued,2057000000.0,2052000000.0,1987000000.0,1963000000.0,
Net Debt,80846000000.0,70521000000.0,63365000000.0,54188000000.0,
Total Debt,82333000000.0,73211000000.0,64966000000.0,54827000000.0,
Tangible Book Value,43520000000.0,40685000000.0,33616000000.0,31616000000.0,
Invested Capital,132434000000.0,120679000000.0,104195000000.0,92029000000.0,
Working Capital,-13404000000.0,-12602000000.0,-13205000000.0,-8149000000.0,
Net Tangible Assets,43520000000.0,40685000000.0,33616000000.0,31616000000.0,
Common Stock Equity,50101000000.0,47468000000.0,39229000000.0,37202000000.0,
Total Capitalization,122486000000.0,108873000000.0,94485000000.0,88162000000.0,
Total Equity Gross Minority Interest,60861000000.0,59024000000.0,49436000000.0,45669000000.0,
Minority Interest,10760000000.0,11556000000.0,10207000000.0,8467000000.0,
Stockholders Equity,50101000000.0,47468000000.0,39229000000.0,37202000000.0,
Gains Losses Not Affecting Retained Earnings,-126000000.0,-153000000.0,-218000000.0,0.0,
Other Equity Adjustments,-126000000.0,-153000000.0,-218000000.0,,-92000000.0
Retained Earnings,32946000000.0,30235000000.0,26707000000.0,25911000000.0,
Additional Paid In Capital,17260000000.0,17365000000.0,12720000000.0,11271000000.0,
Capital Stock,21000000.0,21000000.0,20000000.0,20000000.0,
Common Stock,21000000.0,21000000.0,20000000.0,20000000.0,
Total Liabilities Net Minority Interest,129283000000.0,118465000000.0,109499000000.0,95243000000.0,
Total Non Current Liabilities Net Minority Interest,103928000000.0,90502000000.0,82804000000.0,77806000000.0,
Other Non Current Liabilities,3480000000.0,2762000000.0,2696000000.0,2468000000.0,
Preferred Securities Outside Stock Equity,,1256000000.0,1110000000.0,245000000.0,0.0
Derivative Product Liabilities,2008000000.0,2741000000.0,2909000000.0,1713000000.0,
Non Current Deferred Liabilities,11749000000.0,10142000000.0,9072000000.0,8310000000.0,
Non Current Deferred Taxes Liabilities,11749000000.0,10142000000.0,9072000000.0,8310000000.0,
Long Term Debt And Capital Lease Obligation,72385000000.0,61405000000.0,55256000000.0,50960000000.0,
Long Term Debt,72385000000.0,61405000000.0,55256000000.0,50960000000.0,
Long Term Provisions,3671000000.0,3403000000.0,3245000000.0,3082000000.0,
Current Liabilities,25355000000.0,27963000000.0,26695000000.0,17437000000.0,
Other Current Liabilities,4369000000.0,4184000000.0,5634000000.0,4247000000.0,
Current Deferred Liabilities,694000000.0,638000000.0,560000000.0,485000000.0,
Current Deferred Revenue,694000000.0,638000000.0,560000000.0,485000000.0,
Current Debt And Capital Lease Obligation,9948000000.0,11806000000.0,9710000000.0,3867000000.0,
Current Debt,9948000000.0,11806000000.0,9710000000.0,3867000000.0,
Other Current Borrowings,8278000000.0,7156000000.0,8001000000.0,2485000000.0,
Commercial Paper,1670000000.0,4650000000.0,1709000000.0,1382000000.0,
Payables And Accrued Expenses,10344000000.0,11335000000.0,10791000000.0,8838000000.0,
Current Accrued Expenses,3362000000.0,2831000000.0,2479000000.0,1903000000.0,
Interest Payable,1016000000.0,970000000.0,719000000.0,525000000.0,
Payables,6982000000.0,8504000000.0,8312000000.0,6935000000.0,
Accounts Payable,6982000000.0,8504000000.0,8312000000.0,6935000000.0,
Total Assets,190144000000.0,177489000000.0,158935000000.0,140912000000.0,
Total Non Current Assets,178193000000.0,162128000000.0,145445000000.0,131624000000.0,
Other Non Current Assets,7744000000.0,6012000000.0,4936000000.0,3653000000.0,
Non Current Prepaid Assets,2496000000.0,2112000000.0,1832000000.0,2243000000.0,
Financial Assets,1774000000.0,1790000000.0,1935000000.0,1135000000.0,
Investments And Advances,15918000000.0,14854000000.0,14078000000.0,15081000000.0,
Other Investments,9800000000.0,8698000000.0,7496000000.0,8922000000.0,
Investmentin Financial Assets,,,7496000000.0,8922000000.0,7779000000.0
Long Term Equity Investment,6118000000.0,6156000000.0,6582000000.0,6159000000.0,
Goodwill And Other Intangible Assets,6581000000.0,6783000000.0,5613000000.0,5586000000.0,
Other Intangible Assets,1715000000.0,1692000000.0,759000000.0,742000000.0,
Goodwill,4866000000.0,5091000000.0,4854000000.0,4844000000.0,
Net PPE,138852000000.0,125776000000.0,111059000000.0,99348000000.0,
Accumulated Depreciation,-36159000000.0,-33489000000.0,-31263000000.0,-28899000000.0,
Gross PPE,175011000000.0,159265000000.0,142322000000.0,128247000000.0,
Construction In Progress,21658000000.0,18652000000.0,15675000000.0,14141000000.0,
Current Assets,11951000000.0,15361000000.0,13490000000.0,9288000000.0,
Other Current Assets,2603000000.0,2795000000.0,2954000000.0,2291000000.0,
Hedging Assets Current,879000000.0,1730000000.0,1590000000.0,689000000.0,
Inventory,2214000000.0,2106000000.0,1934000000.0,1561000000.0,
Receivables,4768000000.0,6040000000.0,5411000000.0,4108000000.0,
Other Receivables,1180000000.0,944000000.0,744000000.0,730000000.0,
Accounts Receivable,3336000000.0,3609000000.0,4349000000.0,3378000000.0,
Allowance For Doubtful Accounts Receivable,-56000000.0,-52000000.0,-54000000.0,-35000000.0,
Gross Accounts Receivable,3392000000.0,3661000000.0,4403000000.0,3413000000.0,
Cash Cash Equivalents And Short Term Investments,1487000000.0,2690000000.0,1601000000.0,639000000.0,
Cash And Cash Equivalents,1487000000.0,2690000000.0,1601000000.0,639000000.0,
