,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,4746000000.0,1753000000.0,-1480000000.0,-277000000.0,
Repurchase Of Capital Stock,,,,,-92000000.0
Repayment Of Debt,-19706000000.0,-10591000000.0,-5650000000.0,-10020000000.0,
Issuance Of Debt,31344000000.0,18778000000.0,15938000000.0,16683000000.0,
Issuance Of Capital Stock,48000000.0,4514000000.0,1514000000.0,14000000.0,
Capital Expenditure,-8514000000.0,-9548000000.0,-9742000000.0,-7830000000.0,
Interest Paid Supplemental Data,2737000000.0,2463000000.0,1375000000.0,1323000000.0,
Income Tax Paid Supplemental Data,,321000000.0,,-69000000.0,235000000.0
End Cash Position,1402000000.0,3420000000.0,3441000000.0,1316000000.0,
Beginning Cash Position,3420000000.0,3441000000.0,1316000000.0,1546000000.0,
Effect Of Exchange Rate Changes,-14000000.0,-4000000.0,-7000000.0,1000000.0,
Changes In Cash,-2004000000.0,-17000000.0,2132000000.0,-231000000.0,
Financing Cash Flow,7000000000.0,12149000000.0,12229000000.0,5807000000.0,
Cash Flow From Continuing Financing Activities,7000000000.0,12149000000.0,12229000000.0,5807000000.0,
Net Other Financing Charges,-451000000.0,3230000000.0,3779000000.0,2154000000.0,
Cash Dividends Paid,-4235000000.0,-3782000000.0,-3352000000.0,-3024000000.0,
Common Stock Dividend Paid,-4235000000.0,-3782000000.0,-3352000000.0,-3024000000.0,
Net Common Stock Issuance,48000000.0,4514000000.0,1514000000.0,14000000.0,
Common Stock Payments,,,,,-92000000.0
Common Stock Issuance,48000000.0,4514000000.0,1514000000.0,14000000.0,
Net Issuance Payments Of Debt,11638000000.0,8187000000.0,10288000000.0,6663000000.0,
Net Short Term Debt Issuance,-3018000000.0,2308000000.0,957000000.0,-426000000.0,
Short Term Debt Payments,-9593000000.0,-2613000000.0,-1125000000.0,-426000000.0,
Short Term Debt Issuance,6575000000.0,4921000000.0,2082000000.0,0.0,
Net Long Term Debt Issuance,14656000000.0,5879000000.0,9331000000.0,7089000000.0,
Long Term Debt Payments,-10113000000.0,-7978000000.0,-4525000000.0,-9594000000.0,
Long Term Debt Issuance,24769000000.0,13857000000.0,13856000000.0,16683000000.0,
Investing Cash Flow,-22264000000.0,-23467000000.0,-18359000000.0,-13591000000.0,
Cash Flow From Continuing Investing Activities,-22264000000.0,-23467000000.0,-18359000000.0,-13591000000.0,
Net Other Investing Changes,-16000000.0,-110000000.0,89000000.0,40000000.0,
Dividends Received Cfi,,,,,0.0
Net Investment Purchase And Sale,-13734000000.0,-14733000000.0,-8706000000.0,-5801000000.0,
Sale Of Investment,8104000000.0,6758000000.0,5421000000.0,7756000000.0,
Purchase Of Investment,-21838000000.0,-21491000000.0,-14127000000.0,-13557000000.0,
Net Business Purchase And Sale,0.0,924000000.0,0.0,0.0,
Sale Of Business,0.0,924000000.0,0.0,0.0,
Purchase Of Business,,,,,-1012000000.0
Net PPE Purchase And Sale,-399000000.0,-185000000.0,-223000000.0,-275000000.0,
Purchase Of PPE,-399000000.0,-185000000.0,-223000000.0,-275000000.0,
Capital Expenditure Reported,-8115000000.0,-9363000000.0,-9519000000.0,-7555000000.0,
Operating Cash Flow,13260000000.0,11301000000.0,8262000000.0,7553000000.0,
Cash Flow From Continuing Operating Activities,13260000000.0,11301000000.0,8262000000.0,7553000000.0,
Dividend Received Cfo,811000000.0,712000000.0,541000000.0,526000000.0,
Change In Working Capital,160000000.0,-1393000000.0,412000000.0,-486000000.0,
Change In Other Working Capital,,,,,-234000000.0
Change In Other Current Liabilities,1015000000.0,-1043000000.0,1841000000.0,1105000000.0,
Change In Other Current Assets,-855000000.0,-350000000.0,-1429000000.0,-1591000000.0,
Other Non Cash Items,475000000.0,739000000.0,-2191000000.0,-796000000.0,
Unrealized Gain Loss On Investment Securities,-107000000.0,-159000000.0,461000000.0,-267000000.0,
Deferred Tax,1308000000.0,708000000.0,534000000.0,436000000.0,
Deferred Income Tax,1308000000.0,708000000.0,534000000.0,436000000.0,
Depreciation Amortization Depletion,5761000000.0,6151000000.0,4790000000.0,4214000000.0,
Depreciation And Amortization,5761000000.0,6151000000.0,4790000000.0,4214000000.0,
Depreciation,5761000000.0,6151000000.0,4790000000.0,4214000000.0,
Operating Gains Losses,-846000000.0,-1739000000.0,469000000.0,1099000000.0,
Earnings Losses From Equity Investments,246000000.0,648000000.0,-203000000.0,-666000000.0,
Gain Loss On Investment Securities,-492000000.0,-1949000000.0,1378000000.0,2005000000.0,
Net Foreign Currency Exchange Gain Loss,-85000000.0,92000000.0,-104000000.0,-94000000.0,
Gain Loss On Sale Of Business,-515000000.0,-530000000.0,-602000000.0,-146000000.0,
Net Income From Continuing Operations,5698000000.0,6282000000.0,3246000000.0,2827000000.0,
