,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,46046049.362266,117329857.299671,38709000.0,61160000.0,
Tax Rate For Calcs,0.056154,0.138035,0.153,0.11,
Normalized EBITDA,13213000000.0,15913000000.0,8954000000.0,8103000000.0,
Total Unusual Items,820000000.0,850000000.0,253000000.0,556000000.0,
Total Unusual Items Excluding Goodwill,820000000.0,850000000.0,253000000.0,556000000.0,
Net Income From Continuing Operation Net Minority Interest,6946000000.0,7310000000.0,4147000000.0,3573000000.0,
Reconciled Depreciation,5761000000.0,6151000000.0,4790000000.0,4214000000.0,
Reconciled Cost Of Revenue,9587000000.0,9866000000.0,10530000000.0,8218000000.0,
EBITDA,14033000000.0,16763000000.0,9207000000.0,8659000000.0,
EBIT,8272000000.0,10612000000.0,4417000000.0,4445000000.0,
Net Interest Income,-2235000000.0,-3324000000.0,-585000000.0,-1270000000.0,
Interest Expense,2235000000.0,3324000000.0,585000000.0,1270000000.0,
Interest Income,,,,,38000000.0
Normalized Income,6172046049.362266,6577329857.299671,3932709000.0,3078160000.0,
Net Income From Continuing And Discontinued Operation,6946000000.0,7310000000.0,4147000000.0,3573000000.0,
Total Expenses,17626000000.0,18282000000.0,17397000000.0,14233000000.0,
Total Operating Income As Reported,7479000000.0,10237000000.0,4081000000.0,2913000000.0,
Diluted Average Shares,2059000000.0,2030800000.0,1987000000.0,1974033149.0,
Basic Average Shares,2057000000.0,2026100000.0,1987000000.0,1974033149.0,
Diluted EPS,3.37,3.6,2.087066,1.81,
Basic EPS,3.376762,3.61,2.087066,1.81,
Diluted NI Availto Com Stockholders,6946000000.0,7310000000.0,4147000000.0,3573000000.0,
Net Income Common Stockholders,6946000000.0,7310000000.0,4147000000.0,3573000000.0,
Net Income,6946000000.0,7310000000.0,4147000000.0,3573000000.0,
Minority Interests,1248000000.0,1028000000.0,901000000.0,746000000.0,
Net Income Including Noncontrolling Interests,5698000000.0,6282000000.0,3246000000.0,2827000000.0,
Net Income Continuous Operations,5698000000.0,6282000000.0,3246000000.0,2827000000.0,
Tax Provision,339000000.0,1006000000.0,586000000.0,348000000.0,
Pretax Income,6037000000.0,7288000000.0,3832000000.0,3175000000.0,
Other Income Expense,1145000000.0,780000000.0,858000000.0,1609000000.0,
Other Non Operating Income Expenses,571000000.0,578000000.0,402000000.0,387000000.0,
Special Income Charges,550000000.0,566000000.0,634000000.0,219000000.0,
Gain On Sale Of Business,352000000.0,405000000.0,522000000.0,77000000.0,
Other Special Charges,-198000000.0,-161000000.0,-112000000.0,-142000000.0,
Earnings From Equity Interest,-246000000.0,-648000000.0,203000000.0,666000000.0,
Gain On Sale Of Security,270000000.0,284000000.0,-381000000.0,337000000.0,
Net Non Operating Interest Income Expense,-2235000000.0,-3324000000.0,-585000000.0,-1270000000.0,
Interest Expense Non Operating,2235000000.0,3324000000.0,585000000.0,1270000000.0,
Interest Income Non Operating,,,,,38000000.0
Operating Income,7127000000.0,9832000000.0,3559000000.0,2836000000.0,
Operating Expense,7740000000.0,8144000000.0,6580000000.0,5725000000.0,
Other Operating Expenses,,,,-142000000.0,-93000000.0
Other Taxes,2278000000.0,2265000000.0,2077000000.0,1801000000.0,
Depreciation Amortization Depletion Income Statement,5462000000.0,5879000000.0,4503000000.0,3924000000.0,
Depreciation And Amortization In Income Statement,5462000000.0,5879000000.0,4503000000.0,3924000000.0,
Gross Profit,14867000000.0,17976000000.0,10139000000.0,8561000000.0,
Cost Of Revenue,9886000000.0,10138000000.0,10817000000.0,8508000000.0,
Total Revenue,24753000000.0,28114000000.0,20956000000.0,17069000000.0,
Operating Revenue,24753000000.0,28114000000.0,20956000000.0,17069000000.0,
