,2024-09-30,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-10535633.0,-6283395.0
Total Unusual Items,66000.0,0.0
Total Unusual Items Excluding Goodwill,66000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-10151556.0,-6250401.0
Reconciled Depreciation,106925.0,0.0
EBITDA,-10469633.0,-6283395.0
EBIT,-10576558.0,-6283395.0
Net Interest Income,359002.0,32994.0
Interest Income,359002.0,32994.0
Normalized Income,-10217556.0,-6250401.0
Net Income From Continuing And Discontinued Operation,-10151556.0,-6250401.0
Total Expenses,10576558.0,6283395.0
Total Operating Income As Reported,-10510558.0,-6283395.0
Diluted Average Shares,26222442.0,22389627.0
Basic Average Shares,26222442.0,22389627.0
Diluted EPS,-0.39,-0.28
Basic EPS,-0.39,-0.28
Diluted NI Availto Com Stockholders,-10151556.0,-6250401.0
Net Income Common Stockholders,-10151556.0,-6250401.0
Net Income,-10151556.0,-6250401.0
Net Income Including Noncontrolling Interests,-10151556.0,-6250401.0
Net Income Continuous Operations,-10151556.0,-6250401.0
Pretax Income,-10151556.0,-6250401.0
Other Income Expense,66000.0,32994.0
Other Non Operating Income Expenses,,32994.0
Special Income Charges,66000.0,0.0
Restructuring And Mergern Acquisition,-66000.0,0.0
Net Non Operating Interest Income Expense,359002.0,32994.0
Interest Income Non Operating,359002.0,32994.0
Operating Income,-10576558.0,-6283395.0
Operating Expense,10576558.0,6283395.0
Research And Development,3725565.0,1534000.0
Selling General And Administration,6850993.0,4749395.0
General And Administrative Expense,6850993.0,4749395.0
Other Gand A,6850993.0,4749395.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
