,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,422313000.0,104486000.0,-153030000.0,91310000.0,
Repurchase Of Capital Stock,-552009000.0,-693781000.0,0.0,0.0,
Repayment Of Debt,0.0,-20000000.0,0.0,0.0,
Issuance Of Debt,0.0,170000000.0,0.0,0.0,
Issuance Of Capital Stock,552009000.0,693857000.0,0.0,0.0,
Capital Expenditure,-6660000.0,-3183000.0,-5917000.0,-2963000.0,
End Cash Position,474054000.0,130008000.0,29070000.0,190589000.0,
Beginning Cash Position,130008000.0,29070000.0,190589000.0,2950000.0,
Effect Of Exchange Rate Changes,,,0.0,0.0,0.0
Changes In Cash,344046000.0,100938000.0,-161519000.0,187639000.0,
Financing Cash Flow,-78267000.0,-3572000.0,-8656000.0,96329000.0,
Cash Flow From Continuing Financing Activities,-78267000.0,-3572000.0,-8656000.0,96329000.0,
Net Other Financing Charges,-78267000.0,-153648000.0,-8656000.0,427725000.0,
Cash Dividends Paid,,0.0,0.0,-331396000.0,0.0
Net Common Stock Issuance,0.0,76000.0,0.0,0.0,
Common Stock Payments,-552009000.0,-693781000.0,0.0,0.0,
Common Stock Issuance,552009000.0,693857000.0,0.0,0.0,
Net Issuance Payments Of Debt,0.0,150000000.0,0.0,0.0,
Net Long Term Debt Issuance,0.0,150000000.0,0.0,0.0,
Long Term Debt Payments,0.0,-20000000.0,0.0,0.0,
Long Term Debt Issuance,0.0,170000000.0,0.0,0.0,
Investing Cash Flow,-6660000.0,-3159000.0,-5750000.0,-2963000.0,
Cash Flow From Continuing Investing Activities,-6660000.0,-3159000.0,-5750000.0,-2963000.0,
Net Intangibles Purchase And Sale,-500000.0,0.0,0.0,-500000.0,
Purchase Of Intangibles,-500000.0,0.0,0.0,-500000.0,
Net PPE Purchase And Sale,-6160000.0,-3159000.0,-5750000.0,-2463000.0,
Sale Of PPE,0.0,24000.0,167000.0,0.0,
Purchase Of PPE,-6160000.0,-3183000.0,-5917000.0,-2463000.0,
Operating Cash Flow,428973000.0,107669000.0,-147113000.0,94273000.0,
Cash Flow From Continuing Operating Activities,428973000.0,107669000.0,-147113000.0,94273000.0,
Change In Working Capital,-92758000.0,-79269000.0,-207067000.0,-52241000.0,
Change In Other Working Capital,82606000.0,120472000.0,15243000.0,-555000.0,
Change In Other Current Liabilities,-42468000.0,21838000.0,28173000.0,-6303000.0,
Change In Other Current Assets,-104171000.0,-18984000.0,-18003000.0,-17177000.0,
Change In Payables And Accrued Expense,245374000.0,-60308000.0,46327000.0,42915000.0,
Change In Payable,245374000.0,-60308000.0,46327000.0,42915000.0,
Change In Account Payable,245374000.0,-37026000.0,35818000.0,55557000.0,
Change In Inventory,-60981000.0,25062000.0,-87736000.0,-23287000.0,
Change In Receivables,-213118000.0,-167349000.0,-191071000.0,-47834000.0,
Changes In Account Receivables,-113955000.0,-160265000.0,-45458000.0,-6131000.0,
Other Non Cash Items,-67000.0,1752000.0,1613000.0,1461000.0,
Stock Based Compensation,56783000.0,31994000.0,3048000.0,4306000.0,
Provisionand Write Offof Assets,2427000.0,1243000.0,-1429000.0,2440000.0,
Deferred Tax,-37990000.0,25990000.0,-5337000.0,-2850000.0,
Deferred Income Tax,-37990000.0,25990000.0,-5337000.0,-2850000.0,
Depreciation Amortization Depletion,4363000.0,4626000.0,11146000.0,16809000.0,
Depreciation And Amortization,4363000.0,4626000.0,11146000.0,16809000.0,
Net Income From Continuing Operations,496215000.0,121333000.0,50913000.0,124348000.0,
