,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.184,0.282,0.218,0.213,
Normalized EBITDA,626180000.0,175542000.0,76288000.0,175340000.0,
Net Income From Continuing Operation Net Minority Interest,306241000.0,118887000.0,50913000.0,124348000.0,
Reconciled Depreciation,4363000.0,4626000.0,11146000.0,16809000.0,
Reconciled Cost Of Revenue,1686792000.0,1615164000.0,1310561000.0,963636000.0,
EBITDA,626180000.0,175542000.0,76288000.0,175340000.0,
EBIT,621817000.0,170916000.0,65142000.0,158531000.0,
Net Interest Income,-13820000.0,-1833000.0,-34000.0,-502000.0,
Interest Expense,13820000.0,1833000.0,34000.0,502000.0,
Interest Income,,,,,24000.0
Normalized Income,306241000.0,118887000.0,50913000.0,124348000.0,
Net Income From Continuing And Discontinued Operation,306241000.0,118887000.0,50913000.0,124348000.0,
Total Expenses,1912723000.0,1733652000.0,1391685000.0,1037086000.0,
Total Operating Income As Reported,587118000.0,168485000.0,65907000.0,158531000.0,
Diluted Average Shares,147284330.0,145834762.0,41879190.0,41879190.0,
Basic Average Shares,77067639.0,45869190.0,41879190.0,41879190.0,
Diluted EPS,3.37,0.02,0.0,0.0,
Basic EPS,3.97,0.02,0.0,0.0,
Diluted NI Availto Com Stockholders,306241000.0,1143000.0,0.0,0.0,
Net Income Common Stockholders,306241000.0,1143000.0,0.0,0.0,
Otherunder Preferred Stock Dividend,0.0,117744000.0,50913000.0,124348000.0,
Net Income,306241000.0,118887000.0,50913000.0,124348000.0,
Minority Interests,-189974000.0,-2446000.0,0.0,0.0,
Net Income Including Noncontrolling Interests,496215000.0,121333000.0,50913000.0,124348000.0,
Net Income From Tax Loss Carryforward,,-117744000.0,-50913000.0,-124348000.0,
Net Income Continuous Operations,496215000.0,121333000.0,50913000.0,124348000.0,
Tax Provision,111782000.0,47750000.0,14195000.0,33681000.0,
Pretax Income,607997000.0,169083000.0,65108000.0,158029000.0,
Other Income Expense,34699000.0,2431000.0,-765000.0,,
Other Non Operating Income Expenses,34699000.0,2431000.0,-765000.0,,
Net Non Operating Interest Income Expense,-13820000.0,-1833000.0,-34000.0,-502000.0,
Total Other Finance Cost,,-598000.0,799000.0,502000.0,
Interest Expense Non Operating,13820000.0,1833000.0,34000.0,502000.0,
Interest Income Non Operating,,,,,24000.0
Operating Income,587118000.0,168485000.0,65907000.0,158531000.0,
Operating Expense,225931000.0,118488000.0,81124000.0,73450000.0,
Research And Development,42360000.0,21619000.0,14176000.0,13008000.0,
Selling General And Administration,183571000.0,96869000.0,66948000.0,60442000.0,
Gross Profit,813049000.0,286973000.0,147031000.0,231981000.0,
Cost Of Revenue,1686792000.0,1615164000.0,1310561000.0,963636000.0,
Total Revenue,2499841000.0,1902137000.0,1457592000.0,1195617000.0,
Operating Revenue,2499841000.0,1902137000.0,1457592000.0,1195617000.0,
