,2022-12-31,2021-12-31
Ordinary Shares Number,122096270.0,122096270.0
Share Issued,122096270.0,122096270.0
Total Debt,304181.0,494317.0
Tangible Book Value,-28111066.0,-18730612.0
Invested Capital,-28111066.0,-18730612.0
Working Capital,9854216.0,10016468.0
Net Tangible Assets,-28111066.0,-18730612.0
Capital Lease Obligations,304181.0,494317.0
Common Stock Equity,-28111066.0,-18730612.0
Total Capitalization,-28111066.0,-18730612.0
Total Equity Gross Minority Interest,-28111066.0,-18730612.0
Stockholders Equity,-28111066.0,-18730612.0
Retained Earnings,-29320787.0,-19296896.0
Additional Paid In Capital,1209244.0,565821.0
Capital Stock,477.0,463.0
Common Stock,477.0,463.0
Total Liabilities Net Minority Interest,39098491.0,29771861.0
Total Non Current Liabilities Net Minority Interest,38464455.0,29334701.0
Preferred Securities Outside Stock Equity,25030520.0,25030520.0
Derivative Product Liabilities,13340000.0,4000000.0
Long Term Debt And Capital Lease Obligation,93935.0,304181.0
Long Term Capital Lease Obligation,93935.0,304181.0
Current Liabilities,634036.0,437160.0
Current Debt And Capital Lease Obligation,210246.0,190136.0
Current Capital Lease Obligation,210246.0,190136.0
Payables And Accrued Expenses,423790.0,247024.0
Current Accrued Expenses,87169.0,147118.0
Payables,336621.0,99906.0
Accounts Payable,336621.0,99906.0
Total Assets,10987425.0,11041249.0
Total Non Current Assets,499173.0,587621.0
Other Non Current Assets,51270.0,85459.0
Net PPE,447903.0,502162.0
Accumulated Depreciation,-32103.0,-2571.0
Gross PPE,480006.0,504733.0
Leases,59070.0,0.0
Other Properties,420936.0,504733.0
Current Assets,10488252.0,10453628.0
Current Deferred Assets,164358.0,0.0
Prepaid Assets,279366.0,9727.0
Receivables,391000.0,0.0
Other Receivables,391000.0,
Cash Cash Equivalents And Short Term Investments,9653528.0,10443901.0
Cash And Cash Equivalents,9653528.0,10443901.0
