,2022-12-31,2021-12-31
Free Cash Flow,-10142085.0,-5600399.0
Capital Expenditure,-149560.0,-59840.0
Interest Paid Supplemental Data,0.0,0.0
Income Tax Paid Supplemental Data,0.0,0.0
End Cash Position,9653528.0,10443901.0
Beginning Cash Position,10443901.0,11892672.0
Changes In Cash,-790373.0,-1448771.0
Financing Cash Flow,9351712.0,4151628.0
Cash Flow From Continuing Financing Activities,9351712.0,4151628.0
Net Other Financing Charges,8996523.0,4000000.0
Proceeds From Stock Option Exercised,355189.0,151628.0
Investing Cash Flow,-149560.0,-59840.0
Cash Flow From Continuing Investing Activities,-149560.0,-59840.0
Net PPE Purchase And Sale,-149560.0,-59840.0
Purchase Of PPE,-149560.0,-59840.0
Operating Cash Flow,-9992525.0,-5540559.0
Cash Flow From Continuing Operating Activities,-9992525.0,-5540559.0
Change In Working Capital,-286414.0,-511253.0
Change In Other Current Liabilities,-15849.0,49425.0
Change In Other Current Assets,34189.0,-4950.0
Change In Payables And Accrued Expense,15885.0,-565681.0
Change In Accrued Expense,-59949.0,-640302.0
Change In Payable,75834.0,74621.0
Change In Account Payable,75834.0,74621.0
Change In Prepaid Assets,-320639.0,9953.0
Stock Based Compensation,288248.0,124660.0
Depreciation Amortization Depletion,29532.0,2570.0
Depreciation And Amortization,29532.0,2570.0
Net Income From Continuing Operations,-10023891.0,-5156536.0
