,2024-04-30,2023-04-30,2022-04-30,2021-04-30,2020-04-30
Free Cash Flow,-32348000.0,-22726000.0,-21441000.0,-11700000.0,
Repurchase Of Capital Stock,,,-3000.0,-36000.0,-1000.0
Repayment Of Debt,,,0.0,-467000.0,0.0
Issuance Of Debt,,,0.0,1357000.0,0.0
Issuance Of Capital Stock,483000.0,0.0,0.0,80559000.0,
Capital Expenditure,-2585000.0,-1019000.0,-145000.0,-26000.0,
Interest Paid Supplemental Data,,,,0.0,7000.0
End Cash Position,3305000.0,7103000.0,8362000.0,83634000.0,
Beginning Cash Position,7103000.0,8362000.0,83634000.0,10930000.0,
Effect Of Exchange Rate Changes,0.0,0.0,-32000.0,134000.0,
Changes In Cash,-3798000.0,-1259000.0,-75240000.0,72570000.0,
Financing Cash Flow,469000.0,-14000.0,87000.0,84170000.0,
Cash Flow From Continuing Financing Activities,469000.0,-14000.0,87000.0,84170000.0,
Net Other Financing Charges,-14000.0,-14000.0,-3000.0,-245000.0,
Proceeds From Stock Option Exercised,,0.0,90000.0,3002000.0,0.0
Net Common Stock Issuance,483000.0,0.0,-3000.0,80523000.0,
Common Stock Payments,,,-3000.0,-36000.0,-1000.0
Common Stock Issuance,483000.0,0.0,0.0,80559000.0,
Net Issuance Payments Of Debt,,,0.0,890000.0,0.0
Net Short Term Debt Issuance,,,0.0,467000.0,0.0
Short Term Debt Issuance,,,0.0,467000.0,0.0
Net Long Term Debt Issuance,,,0.0,423000.0,0.0
Long Term Debt Payments,,,0.0,-467000.0,0.0
Long Term Debt Issuance,,,0.0,890000.0,0.0
Investing Cash Flow,25496000.0,20462000.0,-54031000.0,74000.0,
Cash Flow From Continuing Investing Activities,25496000.0,20462000.0,-54031000.0,74000.0,
Net Investment Purchase And Sale,28081000.0,21481000.0,-49442000.0,0.0,
Sale Of Investment,35975000.0,64923000.0,0.0,,0.0
Purchase Of Investment,-7894000.0,-43442000.0,-49442000.0,0.0,
Net Business Purchase And Sale,,0.0,-4444000.0,100000.0,0.0
Sale Of Business,,,0.0,100000.0,0.0
Purchase Of Business,,0.0,-4444000.0,0.0,
Net PPE Purchase And Sale,-2585000.0,-1019000.0,-145000.0,-26000.0,
Purchase Of PPE,-2585000.0,-1019000.0,-145000.0,-26000.0,
Operating Cash Flow,-29763000.0,-21707000.0,-21296000.0,-11674000.0,
Cash Flow From Continuing Operating Activities,-29763000.0,-21707000.0,-21296000.0,-11674000.0,
Change In Working Capital,-4442000.0,1297000.0,-2995000.0,1946000.0,
Change In Other Working Capital,-1076000.0,1249000.0,-74000.0,-165000.0,
Change In Other Current Liabilities,-514000.0,-311000.0,-309000.0,-237000.0,
Change In Other Current Assets,-753000.0,-527000.0,19000.0,106000.0,
Change In Payables And Accrued Expense,1605000.0,1516000.0,-2011000.0,2426000.0,
Change In Accrued Expense,-309000.0,1469000.0,-1004000.0,761000.0,
Change In Payable,1914000.0,47000.0,-1007000.0,1665000.0,
Change In Account Payable,2414000.0,47000.0,217000.0,441000.0,
Change In Inventory,-3787000.0,-602000.0,-292000.0,0.0,
Change In Receivables,83000.0,-28000.0,-328000.0,-184000.0,
Changes In Account Receivables,-51000.0,-262000.0,-133000.0,-245000.0,
Other Non Cash Items,-72000.0,1112000.0,-60000.0,,
Stock Based Compensation,1155000.0,1461000.0,1169000.0,781000.0,
Amortization Of Securities,-290000.0,113000.0,58000.0,0.0,
Deferred Tax,,0.0,-377000.0,0.0,
Deferred Income Tax,,0.0,-377000.0,0.0,
Depreciation Amortization Depletion,1161000.0,637000.0,515000.0,372000.0,
Depreciation And Amortization,1161000.0,637000.0,515000.0,372000.0,
Amortization Cash Flow,148000.0,158000.0,86000.0,6000.0,
Amortization Of Intangibles,148000.0,158000.0,86000.0,6000.0,
Depreciation,1013000.0,479000.0,429000.0,366000.0,
Operating Gains Losses,208000.0,-1000.0,-732000.0,-13000.0,
Gain Loss On Investment Securities,,,,,-6000.0
Net Foreign Currency Exchange Gain Loss,-2000.0,-1000.0,1000.0,-15000.0,
Gain Loss On Sale Of PPE,,,0.0,2000.0,0.0
Gain Loss On Sale Of Business,,0.0,157000.0,0.0,
Net Income From Continuing Operations,-27483000.0,-26326000.0,-18874000.0,-14760000.0,
