,2024-04-30,2023-04-30,2022-04-30,2021-04-30,2020-04-30
Tax Effect Of Unusual Items,-5848.0,-6530.0,69759.675315,0.0,
Tax Rate For Calcs,0.043,0.01,0.08808,0.0,
Normalized EBITDA,-28106000.0,-26814000.0,-21890000.0,-12011000.0,
Total Unusual Items,-136000.0,-653000.0,792000.0,-1209000.0,
Total Unusual Items Excluding Goodwill,-136000.0,-653000.0,792000.0,-1209000.0,
Net Income From Continuing Operation Net Minority Interest,-27483000.0,-26326000.0,-18874000.0,-14760000.0,
Reconciled Depreciation,1161000.0,637000.0,515000.0,372000.0,
Reconciled Cost Of Revenue,2699000.0,2496000.0,1860000.0,2279000.0,
EBITDA,-28242000.0,-27467000.0,-21098000.0,-13220000.0,
EBIT,-29403000.0,-28104000.0,-21613000.0,-13592000.0,
Net Interest Income,800000.0,902000.0,124000.0,124000.0,
Interest Income,800000.0,902000.0,124000.0,124000.0,
Normalized Income,-27352848.0,-25679530.0,-19596240.324685,-13551000.0,
Net Income From Continuing And Discontinued Operation,-27483000.0,-26326000.0,-18874000.0,-14760000.0,
Total Expenses,34928000.0,30836000.0,23372000.0,14798000.0,
Total Operating Income As Reported,-29331000.0,-29216000.0,-21553000.0,-13592000.0,
Diluted Average Shares,59031736.0,55998543.0,54010233.0,30018838.0,
Basic Average Shares,59031736.0,55998543.0,54010233.0,30018838.0,
Diluted EPS,-0.47,-0.47,-0.35,-0.49,
Basic EPS,-0.47,-0.47,-0.35,-0.49,
Diluted NI Availto Com Stockholders,-27483000.0,-26326000.0,-18874000.0,-14760000.0,
Net Income Common Stockholders,-27483000.0,-26326000.0,-18874000.0,-14760000.0,
Net Income,-27483000.0,-26326000.0,-18874000.0,-14760000.0,
Net Income Including Noncontrolling Interests,-27483000.0,-26326000.0,-18874000.0,-14760000.0,
Net Income Continuous Operations,-27483000.0,-26326000.0,-18874000.0,-14760000.0,
Tax Provision,-1254000.0,-278000.0,-1823000.0,0.0,
Pretax Income,-28737000.0,-26604000.0,-20697000.0,-14760000.0,
Other Income Expense,-134000.0,598000.0,792000.0,-1292000.0,
Other Non Operating Income Expenses,2000.0,1251000.0,60000.0,-83000.0,
Special Income Charges,-138000.0,-654000.0,793000.0,-1224000.0,
Gain On Sale Of Ppe,-210000.0,0.0,,,
Gain On Sale Of Business,,0.0,-157000.0,0.0,
Other Special Charges,,-458000.0,-890000.0,1224000.0,
Restructuring And Mergern Acquisition,-72000.0,1112000.0,-60000.0,,
Gain On Sale Of Security,2000.0,1000.0,-1000.0,15000.0,
Net Non Operating Interest Income Expense,800000.0,902000.0,124000.0,124000.0,
Interest Income Non Operating,800000.0,902000.0,124000.0,124000.0,
Operating Income,-29403000.0,-28104000.0,-21613000.0,-13592000.0,
Operating Expense,32229000.0,28340000.0,21512000.0,12519000.0,
Other Operating Expenses,32229000.0,28340000.0,21512000.0,12519000.0,
Research And Development,,,,4747000.0,4344000.0
Selling General And Administration,,,,7772000.0,6916000.0
Gross Profit,2826000.0,236000.0,-101000.0,-1073000.0,
Cost Of Revenue,2699000.0,2496000.0,1860000.0,2279000.0,
Total Revenue,5525000.0,2732000.0,1759000.0,1206000.0,
Operating Revenue,5525000.0,2732000.0,1759000.0,1206000.0,
