,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,258667.0,258667.0,,
Ordinary Shares Number,60358887.0,56095918.0,56056450.0,55983259.0
Share Issued,60617554.0,56354585.0,56056450.0,55983259.0
Net Debt,1892674000.0,1930863000.0,1669126000.0,1007575000.0
Total Debt,2115152000.0,2052713000.0,1934573000.0,1483919000.0
Tangible Book Value,1917274000.0,1443401000.0,1401731000.0,1586998000.0
Invested Capital,4403909000.0,3894306000.0,3763403000.0,3261812000.0
Working Capital,108991000.0,112807000.0,57776000.0,530507000.0
Net Tangible Assets,1917274000.0,1443401000.0,1401731000.0,1586998000.0
Capital Lease Obligations,26670000.0,25978000.0,26169000.0,28092000.0
Common Stock Equity,2315427000.0,1867571000.0,1854999000.0,1805985000.0
Total Capitalization,4104726000.0,3712532000.0,3377027000.0,3183198000.0
Total Equity Gross Minority Interest,2451586000.0,2030565000.0,2007790000.0,1951267000.0
Minority Interest,136159000.0,162994000.0,152791000.0,145282000.0
Stockholders Equity,2315427000.0,1867571000.0,1854999000.0,1805985000.0
Gains Losses Not Affecting Retained Earnings,-1332000.0,2500000.0,-2191000.0,-6620000.0
Other Equity Adjustments,-1332000.0,2500000.0,-2191000.0,-6620000.0
Treasury Stock,17964000.0,17964000.0,0.0,
Retained Earnings,719894000.0,623907000.0,585209000.0,550103000.0
Additional Paid In Capital,1614769000.0,1259072000.0,1271925000.0,1262446000.0
Capital Stock,60000.0,56000.0,56000.0,56000.0
Common Stock,60000.0,56000.0,56000.0,56000.0
Total Liabilities Net Minority Interest,2756693000.0,2581014000.0,2417888000.0,1937720000.0
Total Non Current Liabilities Net Minority Interest,2219681000.0,2237104000.0,1873732000.0,1689073000.0
Other Non Current Liabilities,22107000.0,3317000.0,4951000.0,6235000.0
Preferred Securities Outside Stock Equity,,,9329000.0,9830000.0
Employee Benefits,11844000.0,12833000.0,15694000.0,18749000.0
Non Current Pension And Other Postretirement Benefit Plans,11844000.0,12833000.0,15694000.0,18749000.0
Tradeand Other Payables Non Current,193285000.0,172818000.0,140683000.0,113446000.0
Non Current Deferred Liabilities,66748000.0,83465000.0,84662000.0,87972000.0
Non Current Deferred Taxes Liabilities,66748000.0,83465000.0,84662000.0,87972000.0
Long Term Debt And Capital Lease Obligation,1811327000.0,1867011000.0,1542851000.0,1399214000.0
Long Term Capital Lease Obligation,22028000.0,22050000.0,20823000.0,22001000.0
Long Term Debt,1789299000.0,1844961000.0,1522028000.0,1377213000.0
Long Term Provisions,114370000.0,97660000.0,84891000.0,63457000.0
Current Liabilities,537012000.0,343910000.0,544156000.0,248647000.0
Current Deferred Liabilities,19438000.0,9845000.0,10466000.0,12376000.0
Current Deferred Revenue,19438000.0,9845000.0,10466000.0,12376000.0
Current Debt And Capital Lease Obligation,303825000.0,185702000.0,391722000.0,84705000.0
Current Capital Lease Obligation,4642000.0,3928000.0,5346000.0,6091000.0
Current Debt,299183000.0,181774000.0,386376000.0,78614000.0
Other Current Borrowings,179212000.0,181774000.0,386376000.0,78614000.0
Line Of Credit,20000000.0,0.0,,0.0
Commercial Paper,99971000.0,0.0,,0.0
Payables And Accrued Expenses,213749000.0,148363000.0,141968000.0,151566000.0
Current Accrued Expenses,63454000.0,59148000.0,55760000.0,54496000.0
Interest Payable,17826000.0,14063000.0,11283000.0,7843000.0
Payables,150295000.0,89215000.0,86208000.0,97070000.0
Total Tax Payable,9601000.0,11664000.0,11044000.0,21291000.0
Income Tax Payable,6995000.0,8393000.0,8138000.0,19913000.0
Accounts Payable,140694000.0,77551000.0,75164000.0,75779000.0
Total Assets,5208279000.0,4611579000.0,4425678000.0,3888987000.0
Total Non Current Assets,4562276000.0,4154862000.0,3823746000.0,3109834000.0
Non Current Prepaid Assets,44631000.0,39762000.0,78915000.0,66989000.0
Non Current Deferred Assets,152570000.0,161365000.0,143450000.0,119299000.0
Non Current Deferred Taxes Assets,152570000.0,161365000.0,143450000.0,119299000.0
Investments And Advances,125439000.0,115693000.0,105886000.0,98217000.0
Long Term Equity Investment,125439000.0,115693000.0,105886000.0,98217000.0
Goodwill And Other Intangible Assets,398153000.0,424170000.0,453268000.0,218987000.0
Other Intangible Assets,307609000.0,333845000.0,363314000.0,194421000.0
Goodwill,90544000.0,90325000.0,89954000.0,24566000.0
Net PPE,3841483000.0,3413872000.0,3042227000.0,2606342000.0
Accumulated Depreciation,-1884984000.0,-1689572000.0,-1548032000.0,-1395543000.0
Gross PPE,5726467000.0,5103444000.0,4590259000.0,4001885000.0
Leases,12588000.0,13230000.0,9105000.0,52032000.0
Construction In Progress,814967000.0,893198000.0,721483000.0,479315000.0
Other Properties,4364302000.0,3737760000.0,3457760000.0,3149440000.0
Machinery Furniture Equipment,359028000.0,364699000.0,313091000.0,280941000.0
Land And Improvements,175582000.0,94557000.0,88820000.0,40157000.0
Current Assets,646003000.0,456717000.0,601932000.0,779154000.0
Other Current Assets,41595000.0,29571000.0,35920000.0,15354000.0
Restricted Cash,91962000.0,130804000.0,104166000.0,88526000.0
Prepaid Assets,,29571000.0,35920000.0,15354000.0
Inventory,45037000.0,22832000.0,28445000.0,35321000.0
Finished Goods,24449000.0,12203000.0,16906000.0,20486000.0
Raw Materials,20588000.0,10629000.0,11539000.0,14835000.0
Receivables,271601000.0,177638000.0,150780000.0,191701000.0
Other Receivables,62897000.0,48820000.0,27836000.0,42531000.0
Accounts Receivable,208704000.0,128818000.0,122944000.0,149170000.0
Allowance For Doubtful Accounts Receivable,-90000.0,-90000.0,-90000.0,-597000.0
Gross Accounts Receivable,208794000.0,128908000.0,123034000.0,149767000.0
Cash Cash Equivalents And Short Term Investments,195808000.0,95872000.0,282621000.0,448252000.0
Other Short Term Investments,,0.0,43343000.0,0.0
Cash And Cash Equivalents,195808000.0,95872000.0,239278000.0,448252000.0
