,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-308982000.0,-282502000.0,-160450000.0,-55733000.0
Repurchase Of Capital Stock,0.0,-17964000.0,0.0,0.0
Repayment Of Debt,-244002000.0,-407272000.0,-96227000.0,-1478224000.0
Issuance Of Debt,304808000.0,554957000.0,275000000.0,1668662000.0
Issuance Of Capital Stock,341671000.0,0.0,311000.0,339471000.0
Capital Expenditure,-618383000.0,-563476000.0,-419272000.0,-320738000.0
Interest Paid Supplemental Data,72236000.0,69132000.0,66627000.0,60830000.0
Income Tax Paid Supplemental Data,26250000.0,29004000.0,34357000.0,64795000.0
End Cash Position,287770000.0,226676000.0,343444000.0,536778000.0
Other Cash Adjustment Outside Changein Cash,,,,0.0
Beginning Cash Position,226676000.0,343444000.0,536778000.0,153110000.0
Effect Of Exchange Rate Changes,72000.0,-609000.0,-348000.0,1154000.0
Changes In Cash,61022000.0,-116159000.0,-192986000.0,382514000.0
Financing Cash Flow,379964000.0,126273000.0,186385000.0,503478000.0
Cash Flow From Continuing Financing Activities,379964000.0,126273000.0,186385000.0,503478000.0
Net Other Financing Charges,5585000.0,23656000.0,34287000.0,-3960000.0
Proceeds From Stock Option Exercised,314000.0,39000.0,0.0,0.0
Cash Dividends Paid,-28412000.0,-27143000.0,-26986000.0,-22471000.0
Common Stock Dividend Paid,-28412000.0,-27143000.0,-26986000.0,-22471000.0
Net Common Stock Issuance,341671000.0,-17964000.0,311000.0,339471000.0
Common Stock Payments,0.0,-17964000.0,0.0,0.0
Common Stock Issuance,341671000.0,0.0,311000.0,339471000.0
Net Issuance Payments Of Debt,60806000.0,147685000.0,178773000.0,190438000.0
Net Short Term Debt Issuance,119971000.0,-219126000.0,0.0,-90550000.0
Short Term Debt Payments,-35000000.0,-219126000.0,0.0,-1339950000.0
Short Term Debt Issuance,154971000.0,0.0,0.0,1249400000.0
Net Long Term Debt Issuance,-59165000.0,366811000.0,178773000.0,280988000.0
Long Term Debt Payments,-209002000.0,-188146000.0,-96227000.0,-138274000.0
Long Term Debt Issuance,149837000.0,554957000.0,275000000.0,419262000.0
Investing Cash Flow,-628343000.0,-523406000.0,-638193000.0,-385969000.0
Cash Flow From Continuing Investing Activities,-628343000.0,-523406000.0,-638193000.0,-385969000.0
Net Other Investing Changes,,600000.0,-911000.0,-1719000.0
Net Investment Purchase And Sale,221000.0,43979000.0,-40609000.0,845000.0
Sale Of Investment,221000.0,63171000.0,19461000.0,845000.0
Purchase Of Investment,0.0,-19192000.0,-60070000.0,0.0
Net Business Purchase And Sale,-10181000.0,-4509000.0,-177401000.0,-64357000.0
Sale Of Business,,,,0.0
Purchase Of Business,-10181000.0,-4509000.0,-177401000.0,-64357000.0
Capital Expenditure Reported,-618383000.0,-563476000.0,-419272000.0,-320738000.0
Operating Cash Flow,309401000.0,280974000.0,258822000.0,265005000.0
Cash Flow From Continuing Operating Activities,309401000.0,280974000.0,258822000.0,265005000.0
Change In Working Capital,-44491000.0,-21981000.0,-4372000.0,15025000.0
Change In Other Working Capital,8895000.0,-3324000.0,-4986000.0,8422000.0
Change In Other Current Liabilities,7218000.0,-5759000.0,-2918000.0,-5788000.0
Change In Other Current Assets,3761000.0,2717000.0,3010000.0,3825000.0
Change In Payables And Accrued Expense,68590000.0,-2045000.0,-21936000.0,-5373000.0
Change In Prepaid Assets,-11148000.0,7459000.0,-23259000.0,-3580000.0
Change In Inventory,-22205000.0,5613000.0,4127000.0,178000.0
Change In Receivables,-99602000.0,-26642000.0,41590000.0,17341000.0
Changes In Account Receivables,-97640000.0,-19929000.0,26738000.0,3520000.0
Other Non Cash Items,6164000.0,5832000.0,4503000.0,3570000.0
Stock Based Compensation,15478000.0,11646000.0,9168000.0,9830000.0
Asset Impairment Charge,3733000.0,33476000.0,0.0,0.0
Deferred Tax,-27365000.0,-31303000.0,-11556000.0,-19661000.0
Deferred Income Tax,-27365000.0,-31303000.0,-11556000.0,-19661000.0
Depreciation Amortization Depletion,224797000.0,198792000.0,182972000.0,156612000.0
Depreciation And Amortization,224797000.0,198792000.0,182972000.0,156612000.0
Operating Gains Losses,-2052000.0,6717000.0,2030000.0,-2177000.0
Pension And Employee Benefit Expense,154000.0,1019000.0,-1335000.0,-893000.0
Earnings Losses From Equity Investments,-35000.0,3072000.0,2624000.0,-92000.0
Gain Loss On Investment Securities,-2206000.0,1613000.0,741000.0,-1192000.0
Gain Loss On Sale Of PPE,35000.0,-89000.0,0.0,0.0
Net Income From Continuing Operations,133137000.0,77795000.0,76077000.0,101806000.0
