,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-301473.0,-6086080.0,-3473280.0,9744365.0
Tax Rate For Calcs,0.043,0.154,0.24,0.397
Normalized EBITDA,469774000.0,421664000.0,383653000.0,378737000.0
Total Unusual Items,-7011000.0,-39520000.0,-14472000.0,24545000.0
Total Unusual Items Excluding Goodwill,-7011000.0,-39520000.0,-14472000.0,24545000.0
Net Income From Continuing Operation Net Minority Interest,124399000.0,65841000.0,62092000.0,85456000.0
Reconciled Depreciation,224797000.0,198792000.0,182972000.0,156612000.0
Reconciled Cost Of Revenue,565406000.0,465335000.0,398746000.0,429067000.0
EBITDA,462763000.0,382144000.0,369181000.0,403282000.0
EBIT,237966000.0,183352000.0,186209000.0,246670000.0
Net Interest Income,-86898000.0,-84326000.0,-80534000.0,-76236000.0
Interest Expense,98881000.0,87743000.0,82658000.0,77953000.0
Interest Income,11983000.0,3417000.0,2124000.0,1717000.0
Normalized Income,131108527.0,99274920.0,73090720.0,70655365.0
Net Income From Continuing And Discontinued Operation,124399000.0,65841000.0,62092000.0,85456000.0
Total Expenses,659106000.0,547880000.0,493975000.0,512072000.0
Total Operating Income As Reported,166585000.0,152803000.0,169357000.0,214013000.0
Diluted Average Shares,59762000.0,56503000.0,56402000.0,51937000.0
Basic Average Shares,59424000.0,56063000.0,56004000.0,51567000.0
Diluted EPS,2.08,1.17,1.1,1.65
Basic EPS,2.09,1.17,1.11,1.66
Diluted NI Availto Com Stockholders,124399000.0,65841000.0,62092000.0,85456000.0
Net Income Common Stockholders,124399000.0,65841000.0,62092000.0,85456000.0
Net Income,124399000.0,65841000.0,62092000.0,85456000.0
Minority Interests,-8738000.0,-11954000.0,-13985000.0,-16350000.0
Net Income Including Noncontrolling Interests,133137000.0,77795000.0,76077000.0,101806000.0
Net Income Continuous Operations,133137000.0,77795000.0,76077000.0,101806000.0
Earnings From Equity Interest Net Of Tax,35000.0,-3072000.0,-2624000.0,92000.0
Tax Provision,5983000.0,14742000.0,24850000.0,67003000.0
Pretax Income,139085000.0,95609000.0,103551000.0,168717000.0
Other Income Expense,55665000.0,-6344000.0,14976000.0,51683000.0
Other Non Operating Income Expenses,62676000.0,33176000.0,29448000.0,27138000.0
Special Income Charges,-3733000.0,-33476000.0,248000.0,20743000.0
Other Special Charges,,,-248000.0,-20743000.0
Write Off,3733000.0,828000.0,0.0,0.0
Impairment Of Capital Assets,3733000.0,33476000.0,0.0,0.0
Gain On Sale Of Security,-3278000.0,-6044000.0,-14720000.0,3802000.0
Net Non Operating Interest Income Expense,-86898000.0,-84326000.0,-80534000.0,-76236000.0
Interest Expense Non Operating,98881000.0,87743000.0,82658000.0,77953000.0
Interest Income Non Operating,11983000.0,3417000.0,2124000.0,1717000.0
Operating Income,170318000.0,186279000.0,169109000.0,193270000.0
Operating Expense,93700000.0,82545000.0,95229000.0,83005000.0
Research And Development,7215000.0,5078000.0,4129000.0,5395000.0
Selling General And Administration,86485000.0,77467000.0,91100000.0,77610000.0
Selling And Marketing Expense,18306000.0,16193000.0,15199000.0,17384000.0
General And Administrative Expense,68179000.0,61274000.0,75901000.0,60226000.0
Other Gand A,68179000.0,61274000.0,75901000.0,60226000.0
Gross Profit,264018000.0,268824000.0,264338000.0,276275000.0
Cost Of Revenue,565406000.0,465335000.0,398746000.0,429067000.0
Total Revenue,829424000.0,734159000.0,663084000.0,705342000.0
Operating Revenue,829424000.0,734159000.0,663084000.0,705342000.0
