,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,19169366.0,18076127.0,17074710.0,15926068.0
Ordinary Shares Number,606135659.0,590345658.0,577654900.0,458051401.0
Share Issued,625305025.0,608421785.0,594729610.0,473977469.0
Net Debt,64156000.0,,,
Total Debt,968850000.0,898728000.0,810149000.0,560097000.0
Tangible Book Value,2709239000.0,3603882000.0,4227052000.0,474874000.0
Invested Capital,3097314000.0,4263200000.0,4926375000.0,886562000.0
Working Capital,822165000.0,2670023000.0,4027972000.0,526072000.0
Net Tangible Assets,2709239000.0,3603882000.0,4227052000.0,474874000.0
Capital Lease Obligations,769661000.0,695742000.0,489470000.0,259800000.0
Common Stock Equity,2898125000.0,4060214000.0,4605696000.0,586265000.0
Total Capitalization,3094598000.0,4258058000.0,4911123000.0,811733000.0
Total Equity Gross Minority Interest,2898125000.0,4060214000.0,4605696000.0,586265000.0
Stockholders Equity,2898125000.0,4060214000.0,4605696000.0,586265000.0
Gains Losses Not Affecting Retained Earnings,-6802000.0,-26004000.0,-1532000.0,1846000.0
Other Equity Adjustments,-6802000.0,-26004000.0,-1532000.0,1846000.0
Treasury Stock,106268000.0,96261000.0,72526000.0,40434000.0
Retained Earnings,-4489744000.0,-3120911000.0,-2396903000.0,-1462377000.0
Additional Paid In Capital,7494685000.0,7297306000.0,7070710000.0,2083169000.0
Capital Stock,6254000.0,6084000.0,5947000.0,4061000.0
Common Stock,6254000.0,6084000.0,5947000.0,4061000.0
Total Liabilities Net Minority Interest,2004613000.0,1704062000.0,1344380000.0,769828000.0
Total Non Current Liabilities Net Minority Interest,1039813000.0,1068787000.0,923827000.0,517617000.0
Other Non Current Liabilities,,,,45170000.0
Preferred Securities Outside Stock Equity,,,,0.0
Non Current Accrued Expenses,146679000.0,193051000.0,139797000.0,40447000.0
Non Current Deferred Liabilities,84163000.0,98085000.0,66713000.0,29511000.0
Non Current Deferred Revenue,84163000.0,98085000.0,66713000.0,29511000.0
Long Term Debt And Capital Lease Obligation,808971000.0,777651000.0,717317000.0,442936000.0
Long Term Capital Lease Obligation,612498000.0,579807000.0,411890000.0,217468000.0
Long Term Debt,196473000.0,197844000.0,305427000.0,225468000.0
Current Liabilities,964800000.0,635275000.0,420553000.0,252211000.0
Other Current Liabilities,,,,21083000.0
Current Deferred Liabilities,204139000.0,131813000.0,116377000.0,17226000.0
Current Deferred Revenue,204139000.0,131813000.0,116377000.0,17226000.0
Current Debt And Capital Lease Obligation,159879000.0,121077000.0,92832000.0,117161000.0
Current Capital Lease Obligation,157163000.0,115935000.0,77580000.0,42332000.0
Current Debt,2716000.0,5142000.0,15252000.0,74829000.0
Other Current Borrowings,2716000.0,5142000.0,15252000.0,74829000.0
Payables And Accrued Expenses,600782000.0,382385000.0,211344000.0,96741000.0
Current Accrued Expenses,260980000.0,121479000.0,71704000.0,37948000.0
Interest Payable,562000.0,421000.0,429000.0,649000.0
Payables,339802000.0,260906000.0,139640000.0,58793000.0
Total Tax Payable,17207000.0,15112000.0,10632000.0,3665000.0
Accounts Payable,322595000.0,245794000.0,129008000.0,58793000.0
Total Assets,4902738000.0,5764276000.0,5950076000.0,1356093000.0
Total Non Current Assets,3115773000.0,2458978000.0,1501551000.0,577810000.0
Other Non Current Assets,828675000.0,706450000.0,536339000.0,237189000.0
Non Current Accounts Receivable,29741000.0,41831000.0,120000.0,2838000.0
Investments And Advances,63783000.0,31250000.0,12892000.0,1000000.0
Long Term Equity Investment,63783000.0,31250000.0,12892000.0,1000000.0
Goodwill And Other Intangible Assets,188886000.0,456332000.0,378644000.0,111391000.0
Other Intangible Assets,188886000.0,207725000.0,158208000.0,39569000.0
Goodwill,0.0,248607000.0,220436000.0,71822000.0
Net PPE,2004688000.0,1223115000.0,573556000.0,229230000.0
Accumulated Depreciation,-109846000.0,-68506000.0,-45863000.0,-39115000.0
Gross PPE,2114534000.0,1291621000.0,619419000.0,229230000.0
Leases,,21363000.0,2099000.0,1121000.0
Construction In Progress,1109896000.0,575141000.0,169415000.0,15590000.0
Other Properties,596901000.0,523712000.0,334672000.0,229230000.0
Machinery Furniture Equipment,306459000.0,169633000.0,112068000.0,78859000.0
Buildings And Improvements,95229000.0,21363000.0,,
Land And Improvements,6049000.0,1772000.0,1165000.0,1165000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1786965000.0,3305298000.0,4448525000.0,778283000.0
Other Current Assets,104068000.0,150389000.0,59888000.0,26731000.0
Restricted Cash,216552000.0,158958000.0,118633000.0,55704000.0
Prepaid Assets,,,59888000.0,26731000.0
Inventory,961253000.0,645636000.0,269163000.0,134203000.0
Finished Goods,226110000.0,64113000.0,7079000.0,5411000.0
Work In Process,149574000.0,112231000.0,58341000.0,29349000.0
Raw Materials,585569000.0,469292000.0,203743000.0,104626000.0
Receivables,370059000.0,191906000.0,131312000.0,113505000.0
Other Receivables,126248000.0,62456000.0,38637000.0,15351000.0
Accounts Receivable,243811000.0,129450000.0,92675000.0,113505000.0
Allowance For Doubtful Accounts Receivable,-8798000.0,-43000.0,-39000.0,-172000.0
Gross Accounts Receivable,252609000.0,129493000.0,92714000.0,113677000.0
Cash Cash Equivalents And Short Term Investments,135033000.0,2158409000.0,3869529000.0,448140000.0
Other Short Term Investments,0.0,1467779000.0,1388260000.0,0.0
Cash And Cash Equivalents,135033000.0,690630000.0,2481269000.0,448140000.0
