,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-1802696000.0,-1292496000.0,-551442000.0,-205697000.0
Repurchase Of Capital Stock,,,0.0,0.0
Repayment Of Debt,-79635000.0,-176242000.0,-88311000.0,-165470000.0
Issuance Of Debt,104251000.0,122886000.0,108925000.0,369357000.0
Issuance Of Capital Stock,0.0,0.0,3587833000.0,1271714000.0
Capital Expenditure,-696126000.0,-463873000.0,-193266000.0,-50221000.0
Interest Paid Supplemental Data,41811000.0,35520000.0,19327000.0,28942000.0
End Cash Position,1169144000.0,1549344000.0,3132194000.0,1634284000.0
Other Cash Adjustment Outside Changein Cash,175397000.0,207789000.0,329045000.0,91876000.0
Beginning Cash Position,1549344000.0,3132194000.0,1634284000.0,369500000.0
Effect Of Exchange Rate Changes,-7799000.0,2600000.0,-802000.0,65000.0
Changes In Cash,-547798000.0,-1793239000.0,1169667000.0,1172843000.0
Financing Cash Flow,6117000.0,-77457000.0,3597779000.0,1515529000.0
Cash Flow From Continuing Financing Activities,6117000.0,-77457000.0,3597779000.0,1515529000.0
Net Other Financing Charges,-20112000.0,-26402000.0,-33633000.0,7905000.0
Proceeds From Stock Option Exercised,1613000.0,2301000.0,22965000.0,32023000.0
Net Preferred Stock Issuance,,,0.0,0.0
Preferred Stock Payments,,,0.0,0.0
Preferred Stock Issuance,,,,0.0
Net Common Stock Issuance,0.0,0.0,3587833000.0,1271714000.0
Common Stock Issuance,0.0,0.0,3587833000.0,1271714000.0
Net Issuance Payments Of Debt,24616000.0,-53356000.0,20614000.0,203887000.0
Net Long Term Debt Issuance,24616000.0,-53356000.0,20614000.0,203887000.0
Long Term Debt Payments,-79635000.0,-176242000.0,-88311000.0,-165470000.0
Long Term Debt Issuance,104251000.0,122886000.0,108925000.0,369357000.0
Investing Cash Flow,728052000.0,-679370000.0,-1740891000.0,-95334000.0
Cash Flow From Continuing Investing Activities,728052000.0,-679370000.0,-1740891000.0,-95334000.0
Net Investment Purchase And Sale,1495675000.0,-120067000.0,-1393503000.0,0.0
Sale Of Investment,1495675000.0,723555000.0,1935662000.0,0.0
Purchase Of Investment,0.0,-843622000.0,-3329165000.0,0.0
Net Business Purchase And Sale,-72601000.0,-95430000.0,-154122000.0,-45113000.0
Sale Of Business,,,28536000.0,0.0
Purchase Of Business,-72601000.0,-95430000.0,-154122000.0,-45113000.0
Net Intangibles Purchase And Sale,0.0,0.0,-928000.0,-1957000.0
Purchase Of Intangibles,0.0,0.0,-928000.0,-1957000.0
Net PPE Purchase And Sale,-695022000.0,-463873000.0,-192338000.0,-48264000.0
Sale Of PPE,1104000.0,0.0,0.0,0.0
Purchase Of PPE,-696126000.0,-463873000.0,-192338000.0,-48264000.0
Operating Cash Flow,-1106570000.0,-828623000.0,-358176000.0,-155476000.0
Cash Flow From Continuing Operating Activities,-1106570000.0,-828623000.0,-358176000.0,-155476000.0
Change In Working Capital,-458982000.0,-399549000.0,-75988000.0,-24697000.0
Change In Other Working Capital,58404000.0,40615000.0,70654000.0,20914000.0
Change In Payables And Accrued Expense,21722000.0,88458000.0,24908000.0,51880000.0
Change In Payable,21722000.0,88458000.0,24908000.0,51880000.0
Change In Account Payable,21722000.0,88458000.0,24908000.0,51880000.0
Change In Prepaid Assets,32549000.0,-92521000.0,-32392000.0,-18401000.0
Change In Inventory,-408631000.0,-365666000.0,-100949000.0,-63389000.0
Change In Receivables,-163026000.0,-70435000.0,-38209000.0,-15701000.0
Changes In Account Receivables,-122768000.0,-30920000.0,-27601000.0,-15701000.0
Other Non Cash Items,170117000.0,3675000.0,69066000.0,49026000.0
Stock Based Compensation,162908000.0,179627000.0,76470000.0,17135000.0
Unrealized Gain Loss On Investment Securities,-11421000.0,18159000.0,-6738000.0,0.0
Provisionand Write Offof Assets,8407000.0,0.0,0.0,700000.0
Asset Impairment Charge,269494000.0,5218000.0,10224000.0,6430000.0
Amortization Of Securities,-6610000.0,990000.0,9232000.0,0.0
Deferred Tax,-8534000.0,170000.0,-16197000.0,-30845000.0
Deferred Income Tax,-8534000.0,170000.0,-16197000.0,-30845000.0
Depreciation Amortization Depletion,71083000.0,51597000.0,23369000.0,15569000.0
Depreciation And Amortization,71083000.0,51597000.0,23369000.0,15569000.0
Amortization Cash Flow,19097000.0,21195000.0,2469000.0,1135000.0
Amortization Of Intangibles,19097000.0,21195000.0,2469000.0,1135000.0
Depreciation,51986000.0,30402000.0,20900000.0,14434000.0
Operating Gains Losses,65801000.0,35498000.0,12351000.0,407361000.0
Earnings Losses From Equity Investments,41786000.0,20166000.0,5704000.0,0.0
Gain Loss On Investment Securities,24015000.0,14078000.0,6647000.0,425047000.0
Gain Loss On Sale Of PPE,,,0.0,0.0
Net Income From Continuing Operations,-1368833000.0,-724008000.0,-459965000.0,-596155000.0
