,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1504515.0,-8867460.0,-501262.0,496668.452951
Tax Rate For Calcs,0.005,0.21,0.034,0.049195
Normalized EBITDA,-959010000.0,-590309000.0,-394825000.0,-561017000.0
Total Unusual Items,-300903000.0,-42226000.0,-14743000.0,10096000.0
Total Unusual Items Excluding Goodwill,-300903000.0,-42226000.0,-14743000.0,10096000.0
Net Income From Continuing Operation Net Minority Interest,-1368833000.0,-724008000.0,-459965000.0,-596155000.0
Reconciled Depreciation,71083000.0,51597000.0,23369000.0,15569000.0
Reconciled Cost Of Revenue,1399131000.0,895796000.0,673652000.0,376179000.0
EBITDA,-1259913000.0,-632535000.0,-409568000.0,-550921000.0
EBIT,-1330996000.0,-684132000.0,-432937000.0,-566490000.0
Net Interest Income,10628000.0,-1778000.0,-39185000.0,-59745000.0
Interest Expense,45201000.0,39037000.0,43225000.0,60510000.0
Interest Income,55829000.0,37259000.0,4040000.0,765000.0
Normalized Income,-1069434515.0,-690649460.0,-445723262.0,-605754331.547049
Net Income From Continuing And Discontinued Operation,-1368833000.0,-724008000.0,-459965000.0,-596155000.0
Total Expenses,1935345000.0,1359304000.0,918266000.0,483375000.0
Total Operating Income As Reported,-1343523000.0,-679550000.0,-437324000.0,-584202000.0
Diluted Average Shares,595468419.0,579716708.0,558182177.0,354790106.0
Basic Average Shares,595468419.0,579716708.0,558182177.0,354790106.0
Diluted EPS,-2.3,-1.25,-0.82,-1.58
Basic EPS,-2.3,-1.25,-0.82,-1.58
Diluted NI Availto Com Stockholders,-1368833000.0,-724008000.0,-459965000.0,-596181000.0
Net Income Common Stockholders,-1368833000.0,-724008000.0,-459965000.0,-596181000.0
Preferred Stock Dividends,,,,26000.0
Net Income,-1368833000.0,-724008000.0,-459965000.0,-596155000.0
Net Income Including Noncontrolling Interests,-1368833000.0,-724008000.0,-459965000.0,-596155000.0
Net Income Continuous Operations,-1368833000.0,-724008000.0,-459965000.0,-596155000.0
Tax Provision,-7364000.0,839000.0,-16197000.0,-30845000.0
Pretax Income,-1376197000.0,-723169000.0,-476162000.0,-627000000.0
Other Income Expense,-342820000.0,-63527000.0,-21053000.0,9357000.0
Other Non Operating Income Expenses,-131000.0,-1135000.0,-606000.0,-739000.0
Special Income Charges,-299518000.0,-22672000.0,-21400000.0,10096000.0
Other Special Charges,,986000.0,,-17686000.0
Impairment Of Capital Assets,269494000.0,5218000.0,10224000.0,6430000.0
Restructuring And Mergern Acquisition,30024000.0,16468000.0,11176000.0,1160000.0
Earnings From Equity Interest,-41786000.0,-20166000.0,-5704000.0,0.0
Gain On Sale Of Security,-1385000.0,-19554000.0,6657000.0,
Net Non Operating Interest Income Expense,10628000.0,-1778000.0,-39185000.0,-59745000.0
Interest Expense Non Operating,45201000.0,39037000.0,43225000.0,60510000.0
Interest Income Non Operating,55829000.0,37259000.0,4040000.0,765000.0
Operating Income,-1044005000.0,-657864000.0,-415924000.0,-576612000.0
Operating Expense,536214000.0,463508000.0,244614000.0,107196000.0
Research And Development,113745000.0,99579000.0,64762000.0,27848000.0
Selling General And Administration,422469000.0,363929000.0,179852000.0,79348000.0
Gross Profit,-507791000.0,-194356000.0,-171310000.0,-469416000.0
Cost Of Revenue,1399131000.0,895796000.0,673652000.0,376179000.0
Total Revenue,891340000.0,701440000.0,502342000.0,-93237000.0
Operating Revenue,880503000.0,698591000.0,501553000.0,-93548000.0
