,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,219392000.0,214184000.0,208176000.0,201406000.0
Share Issued,219392000.0,214184000.0,208176000.0,201406000.0
Net Debt,9993107000.0,7658641000.0,5885256000.0,4276180000.0
Total Debt,11086948000.0,8764757000.0,6871282000.0,5181966000.0
Tangible Book Value,2108228000.0,2427953000.0,1961676000.0,1779480000.0
Invested Capital,15902156000.0,15107271000.0,12757626000.0,10874056000.0
Working Capital,394100000.0,942192000.0,535599000.0,236373000.0
Net Tangible Assets,2108228000.0,2427953000.0,1961676000.0,1779480000.0
Capital Lease Obligations,415020000.0,365608000.0,368392000.0,385821000.0
Common Stock Equity,5230228000.0,6708122000.0,6254736000.0,6077911000.0
Total Capitalization,15354286000.0,14949461000.0,12567440000.0,10679020000.0
Total Equity Gross Minority Interest,6914013000.0,8179017000.0,7572587000.0,7289371000.0
Minority Interest,1683785000.0,1470895000.0,1317851000.0,1211460000.0
Stockholders Equity,5230228000.0,6708122000.0,6254736000.0,6077911000.0
Gains Losses Not Affecting Retained Earnings,54676000.0,67109000.0,-73050000.0,-106755000.0
Other Equity Adjustments,54676000.0,67109000.0,-73050000.0,
Retained Earnings,-1433699000.0,170798000.0,-2579000.0,76844000.0
Additional Paid In Capital,6609229000.0,6470194000.0,6330344000.0,6107802000.0
Capital Stock,22000.0,21000.0,21000.0,20000.0
Common Stock,22000.0,21000.0,21000.0,20000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,13536224000.0,11089788000.0,8910665000.0,7093572000.0
Total Non Current Liabilities Net Minority Interest,12048065000.0,9934337000.0,7898545000.0,6192216000.0
Other Non Current Liabilities,190866000.0,140290000.0,190056000.0,268684000.0
Preferred Securities Outside Stock Equity,,,,560461000.0
Non Current Deferred Liabilities,1386055000.0,1246395000.0,1070240000.0,985998000.0
Non Current Deferred Revenue,1263185000.0,1113348000.0,968487000.0,904093000.0
Non Current Deferred Taxes Liabilities,122870000.0,133047000.0,101753000.0,81905000.0
Long Term Debt And Capital Lease Obligation,10471144000.0,8547652000.0,6638249000.0,4937534000.0
Long Term Capital Lease Obligation,347086000.0,306313000.0,325545000.0,336425000.0
Long Term Debt,10124058000.0,8241339000.0,6312704000.0,4601109000.0
Current Liabilities,1488159000.0,1155451000.0,1012120000.0,901356000.0
Current Deferred Liabilities,136799000.0,191971000.0,120041000.0,116703000.0
Current Deferred Revenue,136799000.0,191971000.0,120041000.0,116703000.0
Current Debt And Capital Lease Obligation,615804000.0,217105000.0,233033000.0,244432000.0
Current Capital Lease Obligation,67934000.0,59295000.0,42847000.0,49396000.0
Current Debt,547870000.0,157810000.0,190186000.0,195036000.0
Other Current Borrowings,547870000.0,157810000.0,190186000.0,195036000.0
Pensionand Other Post Retirement Benefit Plans Current,93414000.0,101621000.0,100357000.0,91115000.0
Payables And Accrued Expenses,642142000.0,644754000.0,558689000.0,449106000.0
Current Accrued Expenses,376239000.0,273538000.0,238999000.0,213038000.0
Interest Payable,92881000.0,63595000.0,38665000.0,38340000.0
Payables,265903000.0,371216000.0,319690000.0,236068000.0
Dividends Payable,35180000.0,32050000.0,31582000.0,28627000.0
Accounts Payable,230723000.0,339166000.0,288108000.0,207441000.0
Total Assets,20450237000.0,19268805000.0,16483252000.0,14382943000.0
Total Non Current Assets,18567810000.0,17171162000.0,14935533000.0,13245214000.0
Other Non Current Assets,180982000.0,237315000.0,128010000.0,57114000.0
Non Current Deferred Assets,1399015000.0,985859000.0,631032000.0,328955000.0
Non Current Accounts Receivable,463605000.0,321063000.0,210316000.0,148872000.0
Investments And Advances,132563000.0,186197000.0,63826000.0,65356000.0
Long Term Equity Investment,132563000.0,186197000.0,63826000.0,65356000.0
Goodwill And Other Intangible Assets,3122000000.0,4280169000.0,4293060000.0,4298431000.0
Other Intangible Assets,,7527000.0,12891000.0,18262000.0
Goodwill,3122000000.0,4280169000.0,4280169000.0,4280169000.0
Net PPE,13269645000.0,11160559000.0,9609289000.0,8346486000.0
Accumulated Depreciation,-2313180000.0,-1819281000.0,-1382633000.0,-1010085000.0
Gross PPE,15582825000.0,12979840000.0,10991922000.0,9356571000.0
Leases,47810000.0,44547000.0,41209000.0,42614000.0
Construction In Progress,789466000.0,756029000.0,581826000.0,394127000.0
Other Properties,14496211000.0,12019387000.0,10238509000.0,8804728000.0
Machinery Furniture Equipment,249338000.0,159877000.0,130378000.0,115102000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1882259000.0,2097643000.0,1547719000.0,1137729000.0
Other Current Assets,262822000.0,146609000.0,44580000.0,
Restricted Cash,308869000.0,212367000.0,232649000.0,188095000.0
Prepaid Assets,,,44580000.0,51483000.0
Inventory,459746000.0,783904000.0,506819000.0,283045000.0
Work In Process,46336000.0,112024000.0,93000000.0,41950000.0
Raw Materials,413410000.0,671880000.0,413819000.0,241095000.0
Receivables,172001000.0,214255000.0,146037000.0,95141000.0
Receivables Adjustments Allowances,-19042000.0,-13381000.0,-11035000.0,-4861000.0
Other Receivables,4506000.0,8924000.0,9701000.0,2279000.0
Accounts Receivable,186537000.0,218712000.0,147371000.0,97723000.0
Cash Cash Equivalents And Short Term Investments,678821000.0,740508000.0,617634000.0,519965000.0
Cash And Cash Equivalents,678821000.0,740508000.0,617634000.0,519965000.0
Cash Financial,678821000.0,740508000.0,617634000.0,519965000.0
