,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-3428883000.0,-2859859000.0,-2503371000.0,-1287647000.0
Repurchase Of Capital Stock,,,0.0,0.0
Repayment Of Debt,-2731907000.0,-2684749000.0,-1644133000.0,-601562000.0
Issuance Of Debt,4920292000.0,4597742000.0,3307068000.0,942894000.0
Issuance Of Capital Stock,,0.0,0.0,75000000.0
Capital Expenditure,-2608143000.0,-2011066000.0,-1686185000.0,-969675000.0
Interest Paid Supplemental Data,,300118000.0,225250000.0,119626000.0
Income Tax Paid Supplemental Data,,0.0,0.0,0.0
End Cash Position,987838000.0,953023000.0,850431000.0,708208000.0
Beginning Cash Position,953023000.0,850431000.0,708208000.0,363229000.0
Changes In Cash,34815000.0,102592000.0,142223000.0,344979000.0
Financing Cash Flow,3468698000.0,3037451000.0,2645594000.0,1160740000.0
Cash Flow From Continuing Financing Activities,3468698000.0,3037451000.0,2645594000.0,1160740000.0
Net Other Financing Charges,1257702000.0,1091595000.0,946518000.0,695744000.0
Proceeds From Stock Option Exercised,22611000.0,32863000.0,36141000.0,48664000.0
Net Common Stock Issuance,,0.0,0.0,75000000.0
Common Stock Payments,,,0.0,0.0
Common Stock Issuance,,0.0,0.0,75000000.0
Net Issuance Payments Of Debt,2188385000.0,1912993000.0,1662935000.0,341332000.0
Net Short Term Debt Issuance,,,-19594000.0,-8825000.0
Short Term Debt Payments,,,-757640000.0,-191525000.0
Short Term Debt Issuance,,,738046000.0,182700000.0
Net Long Term Debt Issuance,2188385000.0,1912993000.0,1662935000.0,350157000.0
Long Term Debt Payments,-2731907000.0,-2684749000.0,-1644133000.0,-410037000.0
Long Term Debt Issuance,4920292000.0,4597742000.0,3307068000.0,760194000.0
Investing Cash Flow,-2613143000.0,-2086066000.0,-1686185000.0,-497789000.0
Cash Flow From Continuing Investing Activities,-2613143000.0,-2086066000.0,-1686185000.0,-497789000.0
Net Business Purchase And Sale,-5000000.0,-75000000.0,0.0,471886000.0
Sale Of Business,,,,537242000.0
Purchase Of Business,-5000000.0,-75000000.0,0.0,-65356000.0
Net PPE Purchase And Sale,-2608143000.0,-2011066000.0,-1686185000.0,-969675000.0
Purchase Of PPE,-2608143000.0,-2011066000.0,-1686185000.0,-969675000.0
Operating Cash Flow,-820740000.0,-848793000.0,-817186000.0,-317972000.0
Cash Flow From Continuing Operating Activities,-820740000.0,-848793000.0,-817186000.0,-317972000.0
Change In Working Capital,-195280000.0,-410777000.0,-485081000.0,-78998000.0
Change In Other Working Capital,106700000.0,227297000.0,78195000.0,41517000.0
Change In Payables And Accrued Expense,-165258000.0,104580000.0,100127000.0,-56024000.0
Change In Accrued Expense,-56473000.0,64122000.0,33195000.0,-10306000.0
Change In Payable,-108785000.0,40458000.0,66932000.0,-45718000.0
Change In Account Payable,-108785000.0,40458000.0,66932000.0,-45718000.0
Change In Prepaid Assets,-476628000.0,-378807000.0,-377505000.0,-117033000.0
Change In Inventory,324158000.0,-277085000.0,-223774000.0,47554000.0
Change In Receivables,15748000.0,-86762000.0,-62124000.0,4988000.0
Changes In Account Receivables,15748000.0,-86762000.0,-62124000.0,4988000.0
Other Non Cash Items,240542000.0,32563000.0,61408000.0,35018000.0
Stock Based Compensation,111781000.0,110633000.0,211000000.0,170587000.0
Asset Impairment Charge,1158000000.0,0.0,0.0,
Deferred Tax,-12716000.0,2291000.0,9607000.0,-60573000.0
Deferred Income Tax,-12716000.0,2291000.0,9607000.0,-60573000.0
Depreciation Amortization Depletion,531669000.0,451046000.0,388096000.0,242942000.0
Depreciation And Amortization,531669000.0,451046000.0,388096000.0,242942000.0
Operating Gains Losses,28105000.0,-184904000.0,-21686000.0,
Gain Loss On Investment Securities,28105000.0,-184904000.0,-21686000.0,
Net Income From Continuing Operations,-2682841000.0,-849645000.0,-980530000.0,-626948000.0
