,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-5442600.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0047,0.21,0.27,0.088103
Normalized EBITDA,-352874000.0,49511000.0,-255463000.0,-213978000.0
Total Unusual Items,-1158000000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,-1158000000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-1604497000.0,173377000.0,-79423000.0,-173394000.0
Reconciled Depreciation,531669000.0,451046000.0,388096000.0,242942000.0
Reconciled Cost Of Revenue,2096752000.0,2022710000.0,1365472000.0,505764000.0
EBITDA,-1510874000.0,49511000.0,-255463000.0,-213978000.0
EBIT,-2042543000.0,-401535000.0,-643559000.0,-456920000.0
Net Interest Income,-652989000.0,-445819000.0,-327700000.0,-230601000.0
Interest Expense,652989000.0,445819000.0,327700000.0,230601000.0
Normalized Income,-451939600.0,173377000.0,-79423000.0,-173394000.0
Net Income From Continuing And Discontinued Operation,-1604497000.0,173377000.0,-79423000.0,-173394000.0
Total Expenses,3080456000.0,2983614000.0,2276141000.0,1387299000.0
Total Operating Income As Reported,-1978643000.0,-662192000.0,-666187000.0,-465108000.0
Diluted Average Shares,216642000.0,219157000.0,205132000.0,139606000.0
Basic Average Shares,216642000.0,211347000.0,205132000.0,139606000.0
Diluted EPS,-7.41,0.8,-0.39,-1.24
Basic EPS,-7.41,0.82,-0.39,-1.24
Diluted NI Availto Com Stockholders,-1604497000.0,173377000.0,-79423000.0,-173394000.0
Net Income Common Stockholders,-1604497000.0,173377000.0,-79423000.0,-173394000.0
Net Income,-1604497000.0,173377000.0,-79423000.0,-173394000.0
Minority Interests,1078344000.0,1023022000.0,901107000.0,453554000.0
Net Income Including Noncontrolling Interests,-2682841000.0,-849645000.0,-980530000.0,-626948000.0
Net Income Continuous Operations,-2682841000.0,-849645000.0,-980530000.0,-626948000.0
Tax Provision,-12691000.0,2291000.0,9271000.0,-60573000.0
Pretax Income,-2695532000.0,-847354000.0,-971259000.0,-687521000.0
Other Income Expense,-1221900000.0,260657000.0,22628000.0,8188000.0
Other Non Operating Income Expenses,-63900000.0,260657000.0,22628000.0,8188000.0
Special Income Charges,-1158000000.0,0.0,0.0,
Impairment Of Capital Assets,1158000000.0,0.0,0.0,
Net Non Operating Interest Income Expense,-652989000.0,-445819000.0,-327700000.0,-230601000.0
Interest Expense Non Operating,652989000.0,445819000.0,327700000.0,230601000.0
Operating Income,-820643000.0,-662192000.0,-666187000.0,-465108000.0
Operating Expense,983704000.0,960904000.0,910669000.0,643773000.0
Depreciation Amortization Depletion Income Statement,,5364000.0,5370000.0,5180000.0
Depreciation And Amortization In Income Statement,,5364000.0,5370000.0,5180000.0
Amortization,,5364000.0,5370000.0,5180000.0
Amortization Of Intangibles Income Statement,,5364000.0,5370000.0,5180000.0
Research And Development,21816000.0,20907000.0,23165000.0,19548000.0
Selling General And Administration,961888000.0,939997000.0,887504000.0,619045000.0
Selling And Marketing Expense,740821000.0,745386000.0,622961000.0,352299000.0
General And Administrative Expense,221067000.0,194611000.0,264543000.0,266746000.0
Other Gand A,221067000.0,194611000.0,264543000.0,266746000.0
Gross Profit,163061000.0,298712000.0,244482000.0,178665000.0
Cost Of Revenue,2096752000.0,2022710000.0,1365472000.0,743526000.0
Total Revenue,2259813000.0,2321422000.0,1609954000.0,922191000.0
Operating Revenue,2259813000.0,2321422000.0,1609954000.0,922191000.0
