,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,,,0.0
Ordinary Shares Number,57123437.0,56133404.0,52815395.0,51560936.0
Share Issued,57123437.0,56133404.0,52815395.0,51560936.0
Net Debt,288913000.0,,91446000.0,
Total Debt,735300000.0,735538000.0,713683000.0,662605000.0
Tangible Book Value,2333568000.0,2125248000.0,1121549000.0,877460000.0
Invested Capital,3039290000.0,2800817000.0,1931574000.0,1676001000.0
Working Capital,2411075000.0,2009941000.0,1186110000.0,1283242000.0
Net Tangible Assets,2333568000.0,2125248000.0,1121549000.0,877460000.0
Capital Lease Obligations,107919000.0,111087000.0,92148000.0,72361000.0
Common Stock Equity,2411909000.0,2176366000.0,1310039000.0,1085757000.0
Total Capitalization,3039290000.0,2800817000.0,1931574000.0,1659107000.0
Total Equity Gross Minority Interest,2411909000.0,2176366000.0,1310039000.0,1085757000.0
Stockholders Equity,2411909000.0,2176366000.0,1310039000.0,1085757000.0
Gains Losses Not Affecting Retained Earnings,-46885000.0,-73109000.0,-27319000.0,3857000.0
Other Equity Adjustments,-46885000.0,-73109000.0,874000.0,3857000.0
Foreign Currency Translation Adjustments,,-45899000.0,-23484000.0,
Unrealized Gain Loss,,-25449000.0,-4709000.0,
Retained Earnings,778166000.0,743837000.0,650058000.0,478004000.0
Additional Paid In Capital,1680622000.0,1505632000.0,687295000.0,603891000.0
Capital Stock,6000.0,6000.0,5000.0,5000.0
Common Stock,6000.0,6000.0,5000.0,5000.0
Total Liabilities Net Minority Interest,2175822000.0,2089583000.0,1590914000.0,1351352000.0
Total Non Current Liabilities Net Minority Interest,1282591000.0,1199866000.0,1065733000.0,915253000.0
Other Non Current Liabilities,337097000.0,283160000.0,197485000.0,149948000.0
Employee Benefits,12967000.0,9848000.0,10632000.0,
Non Current Pension And Other Postretirement Benefit Plans,12967000.0,9848000.0,10632000.0,
Non Current Accrued Expenses,,,1739000.0,1561000.0
Tradeand Other Payables Non Current,3577000.0,3830000.0,5105000.0,5062000.0
Non Current Deferred Liabilities,214607000.0,186936000.0,151556000.0,123965000.0
Non Current Deferred Revenue,214607000.0,186936000.0,151556000.0,115372000.0
Non Current Deferred Taxes Liabilities,,,156000.0,8593000.0
Long Term Debt And Capital Lease Obligation,714343000.0,716092000.0,700955000.0,634717000.0
Long Term Capital Lease Obligation,86962000.0,91641000.0,79420000.0,61367000.0
Long Term Debt,627381000.0,624451000.0,621535000.0,573350000.0
Long Term Provisions,,,193680000.0,142380000.0
Current Liabilities,893231000.0,889717000.0,525181000.0,436099000.0
Other Current Liabilities,185700000.0,106699000.0,73672000.0,62614000.0
Current Deferred Liabilities,40836000.0,26641000.0,17789000.0,24648000.0
Current Deferred Revenue,40836000.0,26641000.0,17789000.0,24648000.0
Current Debt And Capital Lease Obligation,20957000.0,19446000.0,12728000.0,27888000.0
Current Capital Lease Obligation,20957000.0,19446000.0,12728000.0,10994000.0
Current Debt,,,148000.0,16894000.0
Other Current Borrowings,,,148000.0,16894000.0
Current Provisions,,43000.0,11622000.0,5866000.0
Payables And Accrued Expenses,645738000.0,736931000.0,409370000.0,315083000.0
Current Accrued Expenses,259267000.0,277100000.0,157302000.0,137713000.0
Payables,386471000.0,459831000.0,252068000.0,177370000.0
Other Payable,,,11236000.0,15319000.0
Accounts Payable,386471000.0,459831000.0,252068000.0,162051000.0
Total Assets,4587731000.0,4265949000.0,2900953000.0,2437109000.0
Total Non Current Assets,1283425000.0,1366291000.0,1189662000.0,717768000.0
Other Non Current Assets,18272000.0,8144000.0,33856000.0,5353000.0
Defined Pension Benefit,9241000.0,8799000.0,,
Non Current Deferred Assets,80912000.0,44153000.0,27572000.0,11676000.0
Non Current Deferred Taxes Assets,80912000.0,44153000.0,27572000.0,11676000.0
Non Current Note Receivables,2438000.0,0.0,,
Investments And Advances,415475000.0,647354000.0,482228000.0,147434000.0
Investmentin Financial Assets,407825000.0,645491000.0,482228000.0,147434000.0
Available For Sale Securities,407825000.0,645491000.0,482228000.0,147434000.0
Long Term Equity Investment,7650000.0,1863000.0,,
Investmentsin Associatesat Cost,7650000.0,1863000.0,,
Goodwill And Other Intangible Assets,78341000.0,51118000.0,188490000.0,208297000.0
Other Intangible Assets,35345000.0,19929000.0,58861000.0,67818000.0
Goodwill,42996000.0,31189000.0,129629000.0,140479000.0
Net PPE,678746000.0,606723000.0,457516000.0,345008000.0
Accumulated Depreciation,-234994000.0,-184530000.0,-150500000.0,-120574000.0
Gross PPE,913740000.0,791253000.0,608016000.0,465582000.0
Leases,96730000.0,85147000.0,73991000.0,48610000.0
Construction In Progress,88077000.0,47168000.0,112037000.0,48344000.0
Other Properties,131415000.0,121208000.0,88502000.0,71333000.0
Machinery Furniture Equipment,430882000.0,372442000.0,257138000.0,229505000.0
Buildings And Improvements,153813000.0,152218000.0,62519000.0,49855000.0
Land And Improvements,12823000.0,13070000.0,13829000.0,17935000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3304306000.0,2899658000.0,1711291000.0,1719341000.0
Other Current Assets,212470000.0,87250000.0,105951000.0,81393000.0
Restricted Cash,,,,2611000.0
Prepaid Assets,,,42511000.0,31352000.0
Inventory,1443449000.0,729201000.0,380143000.0,331696000.0
Finished Goods,1081960000.0,202537000.0,118894000.0,177872000.0
Work In Process,20885000.0,23407000.0,13863000.0,25461000.0
Raw Materials,340604000.0,503257000.0,247386000.0,128363000.0
