,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-361236000.0,-138057000.0,64878000.0,95865000.0
Repayment Of Debt,-2923000.0,-2972000.0,-17381000.0,-15595000.0
Issuance Of Debt,,0.0,0.0,634813000.0
Issuance Of Capital Stock,0.0,650526000.0,0.0,0.0
Capital Expenditure,-181123000.0,-169341000.0,-149251000.0,-126790000.0
Interest Paid Supplemental Data,,,36000.0,321000.0
Income Tax Paid Supplemental Data,137981000.0,74689000.0,45977000.0,38990000.0
End Cash Position,338468000.0,783112000.0,530089000.0,827146000.0
Beginning Cash Position,783112000.0,530089000.0,827146000.0,223901000.0
Effect Of Exchange Rate Changes,16319000.0,-15824000.0,-11797000.0,-23257000.0
Changes In Cash,-460963000.0,268847000.0,-285260000.0,626502000.0
Financing Cash Flow,-11956000.0,654607000.0,-15178000.0,640484000.0
Cash Flow From Continuing Financing Activities,-11956000.0,654607000.0,-15178000.0,640484000.0
Net Other Financing Charges,-9033000.0,7053000.0,2203000.0,4595000.0
Proceeds From Stock Option Exercised,,4030000.0,2203000.0,16671000.0
Net Common Stock Issuance,0.0,650526000.0,0.0,0.0
Common Stock Issuance,0.0,650526000.0,0.0,0.0
Net Issuance Payments Of Debt,-2923000.0,-2972000.0,-17381000.0,619218000.0
Net Long Term Debt Issuance,-2923000.0,-2972000.0,-17381000.0,619218000.0
Long Term Debt Payments,-2923000.0,-2972000.0,-17381000.0,-15595000.0
Long Term Debt Issuance,,0.0,0.0,634813000.0
Investing Cash Flow,-268894000.0,-417044000.0,-484211000.0,-236637000.0
Cash Flow From Continuing Investing Activities,-268894000.0,-417044000.0,-484211000.0,-236637000.0
Net Other Investing Changes,-48224000.0,3896000.0,-1224000.0,26771000.0
Net Investment Purchase And Sale,-16207000.0,-275961000.0,-317093000.0,-136618000.0
Sale Of Investment,280189000.0,231210000.0,262284000.0,141839000.0
Purchase Of Investment,-296396000.0,-507171000.0,-579377000.0,-278457000.0
Net Business Purchase And Sale,-23340000.0,24362000.0,-16643000.0,0.0
Sale Of Business,1313000.0,24362000.0,0.0,0.0
Purchase Of Business,-24653000.0,0.0,-16643000.0,0.0
Net Intangibles Purchase And Sale,-10600000.0,0.0,0.0,
Purchase Of Intangibles,-10600000.0,0.0,0.0,
Net PPE Purchase And Sale,-170523000.0,-169341000.0,-149251000.0,-126790000.0
Purchase Of PPE,-170523000.0,-169341000.0,-149251000.0,-126790000.0
Operating Cash Flow,-180113000.0,31284000.0,214129000.0,222655000.0
Cash Flow From Continuing Operating Activities,-180113000.0,31284000.0,214129000.0,222655000.0
Change In Working Capital,-390588000.0,-379705000.0,-118186000.0,-22285000.0
Change In Other Working Capital,39632000.0,44376000.0,29936000.0,-21438000.0
Change In Other Current Liabilities,133090000.0,120169000.0,60524000.0,43904000.0
Change In Payables And Accrued Expense,-77362000.0,319436000.0,121572000.0,21648000.0
Change In Accrued Expense,-9567000.0,124912000.0,29863000.0,18315000.0
Change In Payable,-67795000.0,194524000.0,91709000.0,3333000.0
Change In Account Payable,-67795000.0,194524000.0,91709000.0,3333000.0
Change In Prepaid Assets,-91523000.0,-64991000.0,-39444000.0,-3276000.0
Change In Inventory,-690854000.0,-341085000.0,-43051000.0,-149661000.0
Change In Receivables,296429000.0,-457610000.0,-247723000.0,86538000.0
Changes In Account Receivables,296429000.0,-457610000.0,-247723000.0,86538000.0
Other Non Cash Items,8164000.0,4382000.0,11931000.0,3185000.0
Stock Based Compensation,149945000.0,145539000.0,102593000.0,67309000.0
Asset Impairment Charge,30790000.0,119141000.0,0.0,0.0
Amortization Of Securities,,9310000.0,9462000.0,1168000.0
Deferred Tax,-43071000.0,-11055000.0,-12045000.0,-2738000.0
Deferred Income Tax,-43071000.0,-11055000.0,-12045000.0,-2738000.0
Depreciation Amortization Depletion,57196000.0,49676000.0,39535000.0,31834000.0
Depreciation And Amortization,57196000.0,49676000.0,39535000.0,31834000.0
Amortization Cash Flow,7652000.0,9096000.0,10176000.0,9479000.0
Amortization Of Intangibles,7652000.0,9096000.0,10176000.0,9479000.0
Depreciation,49544000.0,40580000.0,29359000.0,22355000.0
Operating Gains Losses,-26878000.0,9527000.0,21131000.0,3860000.0
Net Foreign Currency Exchange Gain Loss,-26878000.0,9527000.0,21131000.0,3860000.0
Gain Loss On Sale Of Business,,-7719000.0,0.0,0.0
Net Income From Continuing Operations,34329000.0,93779000.0,169170000.0,140322000.0
