,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1007160.0,-23807490.0,-1467360.0,4125384.0
Tax Rate For Calcs,0.21,0.21,0.096,0.142
Normalized EBITDA,147290000.0,344646000.0,245552000.0,169633000.0
Total Unusual Items,-4796000.0,-113369000.0,-15285000.0,29052000.0
Total Unusual Items Excluding Goodwill,-4796000.0,-113369000.0,-15285000.0,29052000.0
Net Income From Continuing Operation Net Minority Interest,34329000.0,93779000.0,169170000.0,140322000.0
Reconciled Depreciation,57196000.0,49676000.0,39535000.0,31834000.0
Reconciled Cost Of Revenue,2272705000.0,2265631000.0,1334547000.0,997912000.0
EBITDA,142494000.0,231277000.0,230267000.0,198685000.0
EBIT,85298000.0,181601000.0,190732000.0,166851000.0
Net Interest Income,14694000.0,581000.0,-6938000.0,-7947000.0
Interest Expense,4199000.0,4446000.0,3508000.0,3185000.0
Interest Income,33162000.0,13483000.0,3761000.0,3817000.0
Normalized Income,38117840.0,183340510.0,182987640.0,115395384.0
Net Income From Continuing And Discontinued Operation,34329000.0,93779000.0,169170000.0,140322000.0
Total Expenses,2905009000.0,2827621000.0,1755376000.0,1316710000.0
Total Operating Income As Reported,40205000.0,166120000.0,207139000.0,142561000.0
Diluted Average Shares,57237518.0,55164118.0,55971030.0,52795475.0
Basic Average Shares,56557106.0,55164118.0,52212963.0,50294624.0
Diluted EPS,0.6,1.65,3.06,2.66
Basic EPS,0.61,1.7,3.24,2.79
Diluted NI Availto Com Stockholders,34329000.0,95982000.0,171304000.0,140322000.0
Average Dilution Earnings,0.0,2203000.0,2134000.0,0.0
Net Income Common Stockholders,34329000.0,93779000.0,169170000.0,140322000.0
Net Income,34329000.0,93779000.0,169170000.0,140322000.0
Minority Interests,,,0.0,0.0
Net Income Including Noncontrolling Interests,34329000.0,93779000.0,169170000.0,140322000.0
Net Income Continuous Operations,34329000.0,93779000.0,169170000.0,140322000.0
Earnings From Equity Interest Net Of Tax,-350000.0,0.0,0.0,
Tax Provision,46420000.0,83376000.0,18054000.0,23344000.0
Pretax Income,81099000.0,177155000.0,187224000.0,163666000.0
Other Income Expense,-5114000.0,-106084000.0,-14327000.0,29052000.0
Other Non Operating Income Expenses,-318000.0,7285000.0,958000.0,4900000.0
Special Income Charges,-31314000.0,-116538000.0,-2209000.0,-1471000.0
Gain On Sale Of Ppe,1262000.0,2603000.0,0.0,
Gain On Sale Of Business,,,0.0,0.0
Other Special Charges,1786000.0,,,
Impairment Of Capital Assets,30790000.0,119141000.0,2209000.0,1471000.0
Gain On Sale Of Security,26518000.0,3169000.0,-13076000.0,29052000.0
Net Non Operating Interest Income Expense,14694000.0,581000.0,-6938000.0,-7947000.0
Total Other Finance Cost,14269000.0,8456000.0,7191000.0,8579000.0
Interest Expense Non Operating,4199000.0,4446000.0,3508000.0,3185000.0
Interest Income Non Operating,33162000.0,13483000.0,3761000.0,3817000.0
Operating Income,71519000.0,282658000.0,208489000.0,142561000.0
Operating Expense,632304000.0,561990000.0,420829000.0,318798000.0
Other Operating Expenses,,116538000.0,1350000.0,-3429000.0
Research And Development,321482000.0,289814000.0,219633000.0,163123000.0
Selling General And Administration,310822000.0,272176000.0,201196000.0,159104000.0
Selling And Marketing Expense,164318000.0,159680000.0,119000000.0,95985000.0
General And Administrative Expense,146504000.0,112496000.0,82196000.0,63119000.0
Other Gand A,146504000.0,112496000.0,82196000.0,63119000.0
Salaries And Wages,,,0.0,0.0
Gross Profit,703823000.0,844648000.0,629318000.0,461359000.0
Cost Of Revenue,2272705000.0,2265631000.0,1334547000.0,997912000.0
Total Revenue,2976528000.0,3110279000.0,1963865000.0,1459271000.0
Operating Revenue,2976528000.0,3110279000.0,1963865000.0,1459271000.0
