,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,76895166.0,69353019.0,43615304.0,43615304.0
Share Issued,76895166.0,69353019.0,43615304.0,43615304.0
Net Debt,,,,29050000.0
Total Debt,1495000.0,1568000.0,15481000.0,35493000.0
Tangible Book Value,307874000.0,270557000.0,-26391000.0,-53567000.0
Invested Capital,333911000.0,296771000.0,14041000.0,6915000.0
Working Capital,67088000.0,245858000.0,37666000.0,-58914000.0
Net Tangible Assets,307874000.0,270557000.0,-26391000.0,-26568000.0
Capital Lease Obligations,1495000.0,1568000.0,1440000.0,1579000.0
Common Stock Equity,333911000.0,296771000.0,0.0,-26999000.0
Total Capitalization,93457000.0,114679000.0,68398000.0,-26999000.0
Total Equity Gross Minority Interest,129338000.0,277087000.0,68398000.0,-26999000.0
Minority Interest,35881000.0,162408000.0,0.0,
Stockholders Equity,333911000.0,296771000.0,0.0,0.0
Retained Earnings,-240454000.0,-182092000.0,-781620000.0,-679127000.0
Additional Paid In Capital,333888000.0,296748000.0,0.0,
Capital Stock,23000.0,23000.0,0.0,
Common Stock,23000.0,23000.0,0.0,
Total Partnership Capital,-240454000.0,-182092000.0,68398000.0,-26999000.0
Limited Partnership Capital,,0.0,850018000.0,652128000.0
Total Liabilities Net Minority Interest,95520000.0,71548000.0,52799000.0,74056000.0
Total Non Current Liabilities Net Minority Interest,8062000.0,32991000.0,4391000.0,3512000.0
Other Non Current Liabilities,1442000.0,2786000.0,2976000.0,3245000.0
Derivative Product Liabilities,5722000.0,29349000.0,0.0,
Non Current Deferred Liabilities,898000.0,856000.0,1415000.0,267000.0
Non Current Deferred Revenue,898000.0,856000.0,1415000.0,267000.0
Current Liabilities,87458000.0,38557000.0,48408000.0,70544000.0
Other Current Liabilities,32323000.0,,,
Current Deferred Liabilities,,,,13358000.0
Current Debt And Capital Lease Obligation,1495000.0,1568000.0,15481000.0,35493000.0
Current Capital Lease Obligation,1495000.0,1568000.0,1440000.0,1579000.0
Current Debt,,,14041000.0,33914000.0
Other Current Borrowings,,,14041000.0,13621000.0
Current Notes Payable,,,,20293000.0
Pensionand Other Post Retirement Benefit Plans Current,8546000.0,9038000.0,10552000.0,4993000.0
Payables And Accrued Expenses,45094000.0,29519000.0,22375000.0,16700000.0
Current Accrued Expenses,169000.0,1568000.0,,1579000.0
Payables,44925000.0,27951000.0,22375000.0,16700000.0
Accounts Payable,44925000.0,27951000.0,22375000.0,16700000.0
Total Assets,224858000.0,348635000.0,121197000.0,47057000.0
Total Non Current Assets,70312000.0,64220000.0,35123000.0,35427000.0
Other Non Current Assets,3798000.0,33236000.0,3772000.0,3834000.0
Non Current Accounts Receivable,36361000.0,,,
Goodwill And Other Intangible Assets,26037000.0,26214000.0,26391000.0,26568000.0
Other Intangible Assets,17782000.0,17959000.0,18136000.0,18313000.0
Goodwill,8255000.0,8255000.0,8255000.0,8255000.0
Net PPE,4116000.0,4770000.0,4960000.0,5025000.0
Accumulated Depreciation,-20745000.0,-19431000.0,-20632000.0,-18614000.0
Gross PPE,24861000.0,24201000.0,25592000.0,23639000.0
Leases,2293000.0,2312000.0,2689000.0,2689000.0
Construction In Progress,0.0,112000.0,1518000.0,1743000.0
Other Properties,1165000.0,347000.0,347000.0,347000.0
Machinery Furniture Equipment,21403000.0,21430000.0,21038000.0,18860000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,154546000.0,284415000.0,86074000.0,11630000.0
Restricted Cash,5100000.0,0.0,,
Prepaid Assets,19054000.0,5531000.0,4147000.0,3976000.0
Receivables,10127000.0,11199000.0,4833000.0,2790000.0
Accounts Receivable,10127000.0,11199000.0,4833000.0,2790000.0
Cash Cash Equivalents And Short Term Investments,120265000.0,267685000.0,77094000.0,4864000.0
Other Short Term Investments,0.0,50000000.0,0.0,
Cash And Cash Equivalents,120265000.0,217685000.0,77094000.0,4864000.0
