,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-184979000.0,-150941000.0,-101114000.0,-50761000.0
Repurchase Of Capital Stock,0.0,-566000.0,-17000.0,-49000.0
Repayment Of Debt,0.0,0.0,-47200000.0,-3000000.0
Issuance Of Debt,0.0,0.0,27200000.0,23000000.0
Issuance Of Capital Stock,9836000.0,20000.0,192613000.0,18500000.0
Capital Expenditure,-1725000.0,-2332000.0,-1952000.0,-3526000.0
Interest Paid Supplemental Data,0.0,0.0,1478000.0,0.0
End Cash Position,125365000.0,244217000.0,77094000.0,4864000.0
Beginning Cash Position,244217000.0,77094000.0,4864000.0,17131000.0
Changes In Cash,-118852000.0,167123000.0,72230000.0,-12267000.0
Financing Cash Flow,16127000.0,368064000.0,173344000.0,38494000.0
Cash Flow From Continuing Financing Activities,16127000.0,368064000.0,173344000.0,38494000.0
Net Other Financing Charges,,339061000.0,,
Proceeds From Stock Option Exercised,6291000.0,29549000.0,748000.0,43000.0
Net Preferred Stock Issuance,0.0,0.0,192500000.0,18500000.0
Preferred Stock Issuance,0.0,0.0,192500000.0,18500000.0
Net Common Stock Issuance,9836000.0,-546000.0,96000.0,-49000.0
Common Stock Payments,0.0,-566000.0,-17000.0,-49000.0
Common Stock Issuance,9836000.0,20000.0,113000.0,0.0
Net Issuance Payments Of Debt,0.0,0.0,-20000000.0,20000000.0
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0
Short Term Debt Payments,0.0,0.0,-27200000.0,0.0
Short Term Debt Issuance,0.0,0.0,27200000.0,0.0
Net Long Term Debt Issuance,0.0,0.0,-20000000.0,20000000.0
Long Term Debt Payments,0.0,0.0,-20000000.0,-3000000.0
Long Term Debt Issuance,,0.0,0.0,23000000.0
Investing Cash Flow,48275000.0,-52332000.0,-1952000.0,-3526000.0
Cash Flow From Continuing Investing Activities,48275000.0,-52332000.0,-1952000.0,-3526000.0
Net Investment Purchase And Sale,50000000.0,-50000000.0,0.0,0.0
Purchase Of Investment,,-50000000.0,0.0,0.0
Net PPE Purchase And Sale,-1725000.0,-2332000.0,-1952000.0,-3526000.0
Purchase Of PPE,-1725000.0,-2332000.0,-1952000.0,-3526000.0
Operating Cash Flow,-183254000.0,-148609000.0,-99162000.0,-47235000.0
Cash Flow From Continuing Operating Activities,-183254000.0,-148609000.0,-99162000.0,-47235000.0
Change In Working Capital,3255000.0,-9302000.0,-6933000.0,33169000.0
Change In Other Working Capital,42000.0,-663000.0,-12106000.0,13582000.0
Change In Other Current Liabilities,30622000.0,-1504000.0,-1650000.0,-1594000.0
Change In Payables And Accrued Expense,17923000.0,1474000.0,10406000.0,3601000.0
Change In Accrued Expense,-323000.0,-1513000.0,4520000.0,-2892000.0
Change In Payable,18246000.0,2987000.0,5886000.0,6493000.0
Change In Account Payable,18246000.0,2987000.0,5886000.0,6493000.0
Change In Prepaid Assets,-10043000.0,-2243000.0,-1540000.0,-462000.0
Change In Inventory,-36361000.0,0.0,0.0,
Change In Receivables,1072000.0,-6366000.0,-2043000.0,18042000.0
Changes In Account Receivables,1072000.0,-6366000.0,-2043000.0,18042000.0
Other Non Cash Items,-2360000.0,2385000.0,1628000.0,2187000.0
Stock Based Compensation,16239000.0,9331000.0,6441000.0,3718000.0
Asset Impairment Charge,797000.0,0.0,0.0,
Depreciation Amortization Depletion,2557000.0,2698000.0,2195000.0,2078000.0
Depreciation And Amortization,2557000.0,2698000.0,2195000.0,2078000.0
Amortization Cash Flow,177000.0,177000.0,177000.0,178000.0
Amortization Of Intangibles,177000.0,177000.0,177000.0,178000.0
Depreciation,2380000.0,2521000.0,2018000.0,1900000.0
Operating Gains Losses,-23627000.0,-12148000.0,,
Gain Loss On Investment Securities,-23627000.0,-12148000.0,,
Gain Loss On Sale Of PPE,,,,0.0
Net Income From Continuing Operations,-180115000.0,-141573000.0,-102493000.0,-88387000.0
