,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-296635000.0,-239445000.0,-172105000.0,-156765000.0
Total Unusual Items,23627000.0,12148000.0,,
Total Unusual Items Excluding Goodwill,23627000.0,12148000.0,,
Net Income From Continuing Operation Net Minority Interest,-58362000.0,-57069000.0,-102493000.0,-88387000.0
Reconciled Depreciation,2557000.0,2698000.0,2195000.0,2078000.0
Reconciled Cost Of Revenue,18961000.0,7317000.0,1770000.0,355000.0
EBITDA,-273008000.0,-227297000.0,-172105000.0,-156765000.0
EBIT,-275565000.0,-229995000.0,-174300000.0,-158843000.0
Net Interest Income,10792000.0,3760000.0,-1715000.0,-653000.0
Interest Expense,,,,653000.0
Normalized Income,-81989000.0,-69217000.0,-102493000.0,-88387000.0
Net Income From Continuing And Discontinued Operation,-58362000.0,-57069000.0,-102493000.0,-88387000.0
Total Expenses,298375000.0,241799000.0,177162000.0,159443000.0
Total Operating Income As Reported,-275565000.0,-229995000.0,-174300000.0,-158843000.0
Diluted Average Shares,73386018.0,50763844.0,43615304.0,43615304.0
Basic Average Shares,73386018.0,50763844.0,43615304.0,43615304.0
Diluted EPS,-0.8,-0.51,-2.349932,-2.026513
Basic EPS,-0.8,-0.51,-2.349932,-2.026513
Diluted NI Availto Com Stockholders,-58362000.0,-25914000.0,-102493000.0,-88387000.0
Net Income Common Stockholders,-58362000.0,-25914000.0,-102493000.0,-88387000.0
Otherunder Preferred Stock Dividend,0.0,-31155000.0,0.0,0.0
Net Income,-58362000.0,-57069000.0,-102493000.0,-88387000.0
Minority Interests,121753000.0,84504000.0,0.0,0.0
Net Income Including Noncontrolling Interests,-180115000.0,-141573000.0,-102493000.0,-88387000.0
Net Income Continuous Operations,-180115000.0,-141573000.0,-102493000.0,-88387000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-180115000.0,-141573000.0,-102493000.0,-88387000.0
Other Income Expense,84658000.0,84662000.0,73522000.0,71109000.0
Other Non Operating Income Expenses,61031000.0,72514000.0,73522000.0,71109000.0
Gain On Sale Of Security,23627000.0,12148000.0,,
Net Non Operating Interest Income Expense,10792000.0,3760000.0,-1715000.0,-653000.0
Total Other Finance Cost,-10792000.0,-3760000.0,1715000.0,653000.0
Interest Expense Non Operating,,,,653000.0
Operating Income,-275565000.0,-229995000.0,-174300000.0,-158843000.0
Operating Expense,279414000.0,234482000.0,175392000.0,159088000.0
Other Operating Expenses,57960000.0,51513000.0,42279000.0,26645000.0
Research And Development,156050000.0,127662000.0,94388000.0,95267000.0
Selling General And Administration,65404000.0,55307000.0,38725000.0,37176000.0
General And Administrative Expense,65404000.0,55307000.0,38725000.0,37176000.0
Other Gand A,65404000.0,55307000.0,38725000.0,37176000.0
Gross Profit,3849000.0,4487000.0,1092000.0,245000.0
Cost Of Revenue,18961000.0,7317000.0,1770000.0,355000.0
Total Revenue,22810000.0,11804000.0,2862000.0,600000.0
Operating Revenue,22810000.0,11804000.0,2862000.0,600000.0
