,Value
ticker,FSLR
name,"First Solar, Inc."
market,stocks
locale,us
primary_exchange,XNAS
type,CS
active,True
currency_name,usd
cik,0001274494
composite_figi,BBG000BFL116
share_class_figi,BBG001S991Z7
market_cap,16641053862.08
phone_number,(602) 414-9300
address,"{'address1': '350 WEST WASHINGTON STREET', 'address2': 'SUITE 600', 'city': 'TEMPE', 'state': 'AZ', 'postal_code': '85288'}"
description,"First Solar designs and manufactures solar photovoltaic panels, modules, and systems for use in utility-scale development projects. The company's solar modules use cadmium telluride to convert sunlight into electricity. This is commonly called thin-film technology. First Solar is the world's largest thin-film solar module manufacturer. It has production lines in Vietnam, Malaysia, the United States, and India."
sic_code,3674
sic_description,SEMICONDUCTORS & RELATED DEVICES
ticker_root,FSLR
homepage_url,https://www.firstsolar.com
total_employees,6700
list_date,2006-11-17
branding,"{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/Zmlyc3Rzb2xhci5jb20/images/2024-10-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/Zmlyc3Rzb2xhci5jb20/images/2024-10-01_icon.jpeg'}"
share_class_shares_outstanding,107060000
weighted_shares_outstanding,107057732
round_lot,100
